signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_BPSK_000_000_-12dB,dual/train/signals/BFSK_BPSK_000_000_-12dB.npy,BFSK,BPSK,6,8,-12,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_-09dB,dual/train/signals/BFSK_BPSK_000_000_-09dB.npy,BFSK,BPSK,6,8,-9,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_-06dB,dual/train/signals/BFSK_BPSK_000_000_-06dB.npy,BFSK,BPSK,6,8,-6,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_-03dB,dual/train/signals/BFSK_BPSK_000_000_-03dB.npy,BFSK,BPSK,6,8,-3,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+00dB,dual/train/signals/BFSK_BPSK_000_000_+00dB.npy,BFSK,BPSK,6,8,0,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+03dB,dual/train/signals/BFSK_BPSK_000_000_+03dB.npy,BFSK,BPSK,6,8,3,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+06dB,dual/train/signals/BFSK_BPSK_000_000_+06dB.npy,BFSK,BPSK,6,8,6,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+09dB,dual/train/signals/BFSK_BPSK_000_000_+09dB.npy,BFSK,BPSK,6,8,9,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+12dB,dual/train/signals/BFSK_BPSK_000_000_+12dB.npy,BFSK,BPSK,6,8,12,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BPSK_000_000_+15dB,dual/train/signals/BFSK_BPSK_000_000_+15dB.npy,BFSK,BPSK,6,8,15,0.48030441900104054,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
