signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_P1_000_000_-12dB,dual/train/signals/BFSK_P1_000_000_-12dB.npy,BFSK,P1,6,10,-12,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_-09dB,dual/train/signals/BFSK_P1_000_000_-09dB.npy,BFSK,P1,6,10,-9,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_-06dB,dual/train/signals/BFSK_P1_000_000_-06dB.npy,BFSK,P1,6,10,-6,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_-03dB,dual/train/signals/BFSK_P1_000_000_-03dB.npy,BFSK,P1,6,10,-3,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+00dB,dual/train/signals/BFSK_P1_000_000_+00dB.npy,BFSK,P1,6,10,0,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+03dB,dual/train/signals/BFSK_P1_000_000_+03dB.npy,BFSK,P1,6,10,3,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+06dB,dual/train/signals/BFSK_P1_000_000_+06dB.npy,BFSK,P1,6,10,6,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+09dB,dual/train/signals/BFSK_P1_000_000_+09dB.npy,BFSK,P1,6,10,9,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+12dB,dual/train/signals/BFSK_P1_000_000_+12dB.npy,BFSK,P1,6,10,12,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+15dB,dual/train/signals/BFSK_P1_000_000_+15dB.npy,BFSK,P1,6,10,15,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+18dB,dual/train/signals/BFSK_P1_000_000_+18dB.npy,BFSK,P1,6,10,18,0.49919509284313124,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-12dB,dual/train/signals/BFSK_P1_000_001_-12dB.npy,BFSK,P1,6,10,-12,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-09dB,dual/train/signals/BFSK_P1_000_001_-09dB.npy,BFSK,P1,6,10,-9,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-06dB,dual/train/signals/BFSK_P1_000_001_-06dB.npy,BFSK,P1,6,10,-6,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-03dB,dual/train/signals/BFSK_P1_000_001_-03dB.npy,BFSK,P1,6,10,-3,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+00dB,dual/train/signals/BFSK_P1_000_001_+00dB.npy,BFSK,P1,6,10,0,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+03dB,dual/train/signals/BFSK_P1_000_001_+03dB.npy,BFSK,P1,6,10,3,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+06dB,dual/train/signals/BFSK_P1_000_001_+06dB.npy,BFSK,P1,6,10,6,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+09dB,dual/train/signals/BFSK_P1_000_001_+09dB.npy,BFSK,P1,6,10,9,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+12dB,dual/train/signals/BFSK_P1_000_001_+12dB.npy,BFSK,P1,6,10,12,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+15dB,dual/train/signals/BFSK_P1_000_001_+15dB.npy,BFSK,P1,6,10,15,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+18dB,dual/train/signals/BFSK_P1_000_001_+18dB.npy,BFSK,P1,6,10,18,0.46669349614059213,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-12dB,dual/train/signals/BFSK_P1_000_002_-12dB.npy,BFSK,P1,6,10,-12,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-09dB,dual/train/signals/BFSK_P1_000_002_-09dB.npy,BFSK,P1,6,10,-9,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-06dB,dual/train/signals/BFSK_P1_000_002_-06dB.npy,BFSK,P1,6,10,-6,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-03dB,dual/train/signals/BFSK_P1_000_002_-03dB.npy,BFSK,P1,6,10,-3,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+00dB,dual/train/signals/BFSK_P1_000_002_+00dB.npy,BFSK,P1,6,10,0,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+03dB,dual/train/signals/BFSK_P1_000_002_+03dB.npy,BFSK,P1,6,10,3,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+06dB,dual/train/signals/BFSK_P1_000_002_+06dB.npy,BFSK,P1,6,10,6,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+09dB,dual/train/signals/BFSK_P1_000_002_+09dB.npy,BFSK,P1,6,10,9,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+12dB,dual/train/signals/BFSK_P1_000_002_+12dB.npy,BFSK,P1,6,10,12,0.30501531700803786,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
