signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_QFSK_000_000_-12dB,dual/train/signals/BFSK_QFSK_000_000_-12dB.npy,BFSK,QFSK,6,7,-12,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_-09dB,dual/train/signals/BFSK_QFSK_000_000_-09dB.npy,BFSK,QFSK,6,7,-9,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_-06dB,dual/train/signals/BFSK_QFSK_000_000_-06dB.npy,BFSK,QFSK,6,7,-6,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_-03dB,dual/train/signals/BFSK_QFSK_000_000_-03dB.npy,BFSK,QFSK,6,7,-3,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+00dB,dual/train/signals/BFSK_QFSK_000_000_+00dB.npy,BFSK,QFSK,6,7,0,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+03dB,dual/train/signals/BFSK_QFSK_000_000_+03dB.npy,BFSK,QFSK,6,7,3,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+06dB,dual/train/signals/BFSK_QFSK_000_000_+06dB.npy,BFSK,QFSK,6,7,6,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+09dB,dual/train/signals/BFSK_QFSK_000_000_+09dB.npy,BFSK,QFSK,6,7,9,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+12dB,dual/train/signals/BFSK_QFSK_000_000_+12dB.npy,BFSK,QFSK,6,7,12,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+15dB,dual/train/signals/BFSK_QFSK_000_000_+15dB.npy,BFSK,QFSK,6,7,15,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+18dB,dual/train/signals/BFSK_QFSK_000_000_+18dB.npy,BFSK,QFSK,6,7,18,0.3273645930457322,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-12dB,dual/train/signals/BFSK_QFSK_000_001_-12dB.npy,BFSK,QFSK,6,7,-12,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-09dB,dual/train/signals/BFSK_QFSK_000_001_-09dB.npy,BFSK,QFSK,6,7,-9,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-06dB,dual/train/signals/BFSK_QFSK_000_001_-06dB.npy,BFSK,QFSK,6,7,-6,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-03dB,dual/train/signals/BFSK_QFSK_000_001_-03dB.npy,BFSK,QFSK,6,7,-3,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+00dB,dual/train/signals/BFSK_QFSK_000_001_+00dB.npy,BFSK,QFSK,6,7,0,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+03dB,dual/train/signals/BFSK_QFSK_000_001_+03dB.npy,BFSK,QFSK,6,7,3,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+06dB,dual/train/signals/BFSK_QFSK_000_001_+06dB.npy,BFSK,QFSK,6,7,6,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+09dB,dual/train/signals/BFSK_QFSK_000_001_+09dB.npy,BFSK,QFSK,6,7,9,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+12dB,dual/train/signals/BFSK_QFSK_000_001_+12dB.npy,BFSK,QFSK,6,7,12,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+15dB,dual/train/signals/BFSK_QFSK_000_001_+15dB.npy,BFSK,QFSK,6,7,15,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+18dB,dual/train/signals/BFSK_QFSK_000_001_+18dB.npy,BFSK,QFSK,6,7,18,0.4394672857333433,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-12dB,dual/train/signals/BFSK_QFSK_000_002_-12dB.npy,BFSK,QFSK,6,7,-12,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-09dB,dual/train/signals/BFSK_QFSK_000_002_-09dB.npy,BFSK,QFSK,6,7,-9,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-06dB,dual/train/signals/BFSK_QFSK_000_002_-06dB.npy,BFSK,QFSK,6,7,-6,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-03dB,dual/train/signals/BFSK_QFSK_000_002_-03dB.npy,BFSK,QFSK,6,7,-3,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+00dB,dual/train/signals/BFSK_QFSK_000_002_+00dB.npy,BFSK,QFSK,6,7,0,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+03dB,dual/train/signals/BFSK_QFSK_000_002_+03dB.npy,BFSK,QFSK,6,7,3,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+06dB,dual/train/signals/BFSK_QFSK_000_002_+06dB.npy,BFSK,QFSK,6,7,6,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+09dB,dual/train/signals/BFSK_QFSK_000_002_+09dB.npy,BFSK,QFSK,6,7,9,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+12dB,dual/train/signals/BFSK_QFSK_000_002_+12dB.npy,BFSK,QFSK,6,7,12,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+15dB,dual/train/signals/BFSK_QFSK_000_002_+15dB.npy,BFSK,QFSK,6,7,15,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+18dB,dual/train/signals/BFSK_QFSK_000_002_+18dB.npy,BFSK,QFSK,6,7,18,0.3781441133027086,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-12dB,dual/train/signals/BFSK_QFSK_000_003_-12dB.npy,BFSK,QFSK,6,7,-12,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-09dB,dual/train/signals/BFSK_QFSK_000_003_-09dB.npy,BFSK,QFSK,6,7,-9,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-06dB,dual/train/signals/BFSK_QFSK_000_003_-06dB.npy,BFSK,QFSK,6,7,-6,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-03dB,dual/train/signals/BFSK_QFSK_000_003_-03dB.npy,BFSK,QFSK,6,7,-3,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+00dB,dual/train/signals/BFSK_QFSK_000_003_+00dB.npy,BFSK,QFSK,6,7,0,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+03dB,dual/train/signals/BFSK_QFSK_000_003_+03dB.npy,BFSK,QFSK,6,7,3,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+06dB,dual/train/signals/BFSK_QFSK_000_003_+06dB.npy,BFSK,QFSK,6,7,6,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+09dB,dual/train/signals/BFSK_QFSK_000_003_+09dB.npy,BFSK,QFSK,6,7,9,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+12dB,dual/train/signals/BFSK_QFSK_000_003_+12dB.npy,BFSK,QFSK,6,7,12,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+15dB,dual/train/signals/BFSK_QFSK_000_003_+15dB.npy,BFSK,QFSK,6,7,15,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+18dB,dual/train/signals/BFSK_QFSK_000_003_+18dB.npy,BFSK,QFSK,6,7,18,0.3588826399400027,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
