signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_BFSK_000_000_-12dB,dual/train/signals/DLFM_BFSK_000_000_-12dB.npy,DLFM,BFSK,2,6,-12,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_-09dB,dual/train/signals/DLFM_BFSK_000_000_-09dB.npy,DLFM,BFSK,2,6,-9,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_-06dB,dual/train/signals/DLFM_BFSK_000_000_-06dB.npy,DLFM,BFSK,2,6,-6,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_-03dB,dual/train/signals/DLFM_BFSK_000_000_-03dB.npy,DLFM,BFSK,2,6,-3,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+00dB,dual/train/signals/DLFM_BFSK_000_000_+00dB.npy,DLFM,BFSK,2,6,0,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+03dB,dual/train/signals/DLFM_BFSK_000_000_+03dB.npy,DLFM,BFSK,2,6,3,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+06dB,dual/train/signals/DLFM_BFSK_000_000_+06dB.npy,DLFM,BFSK,2,6,6,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+09dB,dual/train/signals/DLFM_BFSK_000_000_+09dB.npy,DLFM,BFSK,2,6,9,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+12dB,dual/train/signals/DLFM_BFSK_000_000_+12dB.npy,DLFM,BFSK,2,6,12,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+15dB,dual/train/signals/DLFM_BFSK_000_000_+15dB.npy,DLFM,BFSK,2,6,15,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_000_+18dB,dual/train/signals/DLFM_BFSK_000_000_+18dB.npy,DLFM,BFSK,2,6,18,0.39213327825493766,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_-12dB,dual/train/signals/DLFM_BFSK_000_001_-12dB.npy,DLFM,BFSK,2,6,-12,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_-09dB,dual/train/signals/DLFM_BFSK_000_001_-09dB.npy,DLFM,BFSK,2,6,-9,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_-06dB,dual/train/signals/DLFM_BFSK_000_001_-06dB.npy,DLFM,BFSK,2,6,-6,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_-03dB,dual/train/signals/DLFM_BFSK_000_001_-03dB.npy,DLFM,BFSK,2,6,-3,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+00dB,dual/train/signals/DLFM_BFSK_000_001_+00dB.npy,DLFM,BFSK,2,6,0,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+03dB,dual/train/signals/DLFM_BFSK_000_001_+03dB.npy,DLFM,BFSK,2,6,3,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+06dB,dual/train/signals/DLFM_BFSK_000_001_+06dB.npy,DLFM,BFSK,2,6,6,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+09dB,dual/train/signals/DLFM_BFSK_000_001_+09dB.npy,DLFM,BFSK,2,6,9,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+12dB,dual/train/signals/DLFM_BFSK_000_001_+12dB.npy,DLFM,BFSK,2,6,12,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BFSK_000_001_+15dB,dual/train/signals/DLFM_BFSK_000_001_+15dB.npy,DLFM,BFSK,2,6,15,0.48450619476587614,1,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
