signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_Frank_000_000_-12dB,dual/train/signals/DLFM_Frank_000_000_-12dB.npy,DLFM,Frank,2,9,-12,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_-09dB,dual/train/signals/DLFM_Frank_000_000_-09dB.npy,DLFM,Frank,2,9,-9,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_-06dB,dual/train/signals/DLFM_Frank_000_000_-06dB.npy,DLFM,Frank,2,9,-6,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_-03dB,dual/train/signals/DLFM_Frank_000_000_-03dB.npy,DLFM,Frank,2,9,-3,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+00dB,dual/train/signals/DLFM_Frank_000_000_+00dB.npy,DLFM,Frank,2,9,0,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+03dB,dual/train/signals/DLFM_Frank_000_000_+03dB.npy,DLFM,Frank,2,9,3,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+06dB,dual/train/signals/DLFM_Frank_000_000_+06dB.npy,DLFM,Frank,2,9,6,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+09dB,dual/train/signals/DLFM_Frank_000_000_+09dB.npy,DLFM,Frank,2,9,9,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+12dB,dual/train/signals/DLFM_Frank_000_000_+12dB.npy,DLFM,Frank,2,9,12,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+15dB,dual/train/signals/DLFM_Frank_000_000_+15dB.npy,DLFM,Frank,2,9,15,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_000_+18dB,dual/train/signals/DLFM_Frank_000_000_+18dB.npy,DLFM,Frank,2,9,18,0.4917668713445058,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_-12dB,dual/train/signals/DLFM_Frank_000_001_-12dB.npy,DLFM,Frank,2,9,-12,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_-09dB,dual/train/signals/DLFM_Frank_000_001_-09dB.npy,DLFM,Frank,2,9,-9,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_-06dB,dual/train/signals/DLFM_Frank_000_001_-06dB.npy,DLFM,Frank,2,9,-6,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_-03dB,dual/train/signals/DLFM_Frank_000_001_-03dB.npy,DLFM,Frank,2,9,-3,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+00dB,dual/train/signals/DLFM_Frank_000_001_+00dB.npy,DLFM,Frank,2,9,0,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+03dB,dual/train/signals/DLFM_Frank_000_001_+03dB.npy,DLFM,Frank,2,9,3,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+06dB,dual/train/signals/DLFM_Frank_000_001_+06dB.npy,DLFM,Frank,2,9,6,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+09dB,dual/train/signals/DLFM_Frank_000_001_+09dB.npy,DLFM,Frank,2,9,9,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+12dB,dual/train/signals/DLFM_Frank_000_001_+12dB.npy,DLFM,Frank,2,9,12,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+15dB,dual/train/signals/DLFM_Frank_000_001_+15dB.npy,DLFM,Frank,2,9,15,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_001_+18dB,dual/train/signals/DLFM_Frank_000_001_+18dB.npy,DLFM,Frank,2,9,18,0.26645423749204955,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_-12dB,dual/train/signals/DLFM_Frank_000_002_-12dB.npy,DLFM,Frank,2,9,-12,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_-09dB,dual/train/signals/DLFM_Frank_000_002_-09dB.npy,DLFM,Frank,2,9,-9,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_-06dB,dual/train/signals/DLFM_Frank_000_002_-06dB.npy,DLFM,Frank,2,9,-6,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_-03dB,dual/train/signals/DLFM_Frank_000_002_-03dB.npy,DLFM,Frank,2,9,-3,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+00dB,dual/train/signals/DLFM_Frank_000_002_+00dB.npy,DLFM,Frank,2,9,0,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+03dB,dual/train/signals/DLFM_Frank_000_002_+03dB.npy,DLFM,Frank,2,9,3,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+06dB,dual/train/signals/DLFM_Frank_000_002_+06dB.npy,DLFM,Frank,2,9,6,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+09dB,dual/train/signals/DLFM_Frank_000_002_+09dB.npy,DLFM,Frank,2,9,9,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+12dB,dual/train/signals/DLFM_Frank_000_002_+12dB.npy,DLFM,Frank,2,9,12,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
DLFM_Frank_000_002_+15dB,dual/train/signals/DLFM_Frank_000_002_+15dB.npy,DLFM,Frank,2,9,15,0.42285667600479215,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
