signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_BFSK_000_000_-12dB,dual/train/signals/LFM_BFSK_000_000_-12dB.npy,LFM,BFSK,1,6,-12,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_-09dB,dual/train/signals/LFM_BFSK_000_000_-09dB.npy,LFM,BFSK,1,6,-9,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_-06dB,dual/train/signals/LFM_BFSK_000_000_-06dB.npy,LFM,BFSK,1,6,-6,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_-03dB,dual/train/signals/LFM_BFSK_000_000_-03dB.npy,LFM,BFSK,1,6,-3,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+00dB,dual/train/signals/LFM_BFSK_000_000_+00dB.npy,LFM,BFSK,1,6,0,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+03dB,dual/train/signals/LFM_BFSK_000_000_+03dB.npy,LFM,BFSK,1,6,3,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+06dB,dual/train/signals/LFM_BFSK_000_000_+06dB.npy,LFM,BFSK,1,6,6,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+09dB,dual/train/signals/LFM_BFSK_000_000_+09dB.npy,LFM,BFSK,1,6,9,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+12dB,dual/train/signals/LFM_BFSK_000_000_+12dB.npy,LFM,BFSK,1,6,12,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+15dB,dual/train/signals/LFM_BFSK_000_000_+15dB.npy,LFM,BFSK,1,6,15,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_000_+18dB,dual/train/signals/LFM_BFSK_000_000_+18dB.npy,LFM,BFSK,1,6,18,0.340890104364509,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_-12dB,dual/train/signals/LFM_BFSK_000_001_-12dB.npy,LFM,BFSK,1,6,-12,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_-09dB,dual/train/signals/LFM_BFSK_000_001_-09dB.npy,LFM,BFSK,1,6,-9,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_-06dB,dual/train/signals/LFM_BFSK_000_001_-06dB.npy,LFM,BFSK,1,6,-6,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_-03dB,dual/train/signals/LFM_BFSK_000_001_-03dB.npy,LFM,BFSK,1,6,-3,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_+00dB,dual/train/signals/LFM_BFSK_000_001_+00dB.npy,LFM,BFSK,1,6,0,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_BFSK_000_001_+03dB,dual/train/signals/LFM_BFSK_000_001_+03dB.npy,LFM,BFSK,1,6,3,0.3503856803573462,1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
