signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_BPSK_000_000_-12dB,dual/train/signals/LFM_BPSK_000_000_-12dB.npy,LFM,BPSK,1,8,-12,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_-09dB,dual/train/signals/LFM_BPSK_000_000_-09dB.npy,LFM,BPSK,1,8,-9,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_-06dB,dual/train/signals/LFM_BPSK_000_000_-06dB.npy,LFM,BPSK,1,8,-6,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_-03dB,dual/train/signals/LFM_BPSK_000_000_-03dB.npy,LFM,BPSK,1,8,-3,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+00dB,dual/train/signals/LFM_BPSK_000_000_+00dB.npy,LFM,BPSK,1,8,0,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+03dB,dual/train/signals/LFM_BPSK_000_000_+03dB.npy,LFM,BPSK,1,8,3,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+06dB,dual/train/signals/LFM_BPSK_000_000_+06dB.npy,LFM,BPSK,1,8,6,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+09dB,dual/train/signals/LFM_BPSK_000_000_+09dB.npy,LFM,BPSK,1,8,9,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+12dB,dual/train/signals/LFM_BPSK_000_000_+12dB.npy,LFM,BPSK,1,8,12,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+15dB,dual/train/signals/LFM_BPSK_000_000_+15dB.npy,LFM,BPSK,1,8,15,0.3243730723993883,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
