signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_DLFM_000_000_-12dB,dual/train/signals/LFM_DLFM_000_000_-12dB.npy,LFM,DLFM,1,2,-12,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_-09dB,dual/train/signals/LFM_DLFM_000_000_-09dB.npy,LFM,DLFM,1,2,-9,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_-06dB,dual/train/signals/LFM_DLFM_000_000_-06dB.npy,LFM,DLFM,1,2,-6,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_-03dB,dual/train/signals/LFM_DLFM_000_000_-03dB.npy,LFM,DLFM,1,2,-3,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+00dB,dual/train/signals/LFM_DLFM_000_000_+00dB.npy,LFM,DLFM,1,2,0,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+03dB,dual/train/signals/LFM_DLFM_000_000_+03dB.npy,LFM,DLFM,1,2,3,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+06dB,dual/train/signals/LFM_DLFM_000_000_+06dB.npy,LFM,DLFM,1,2,6,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+09dB,dual/train/signals/LFM_DLFM_000_000_+09dB.npy,LFM,DLFM,1,2,9,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+12dB,dual/train/signals/LFM_DLFM_000_000_+12dB.npy,LFM,DLFM,1,2,12,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+15dB,dual/train/signals/LFM_DLFM_000_000_+15dB.npy,LFM,DLFM,1,2,15,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+18dB,dual/train/signals/LFM_DLFM_000_000_+18dB.npy,LFM,DLFM,1,2,18,0.3305157949314822,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_-12dB,dual/train/signals/LFM_DLFM_000_001_-12dB.npy,LFM,DLFM,1,2,-12,0.36421405155597314,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_-09dB,dual/train/signals/LFM_DLFM_000_001_-09dB.npy,LFM,DLFM,1,2,-9,0.36421405155597314,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_-06dB,dual/train/signals/LFM_DLFM_000_001_-06dB.npy,LFM,DLFM,1,2,-6,0.36421405155597314,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
