signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_SFM_000_000_-12dB,dual/train/signals/LFM_SFM_000_000_-12dB.npy,LFM,SFM,1,5,-12,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_-09dB,dual/train/signals/LFM_SFM_000_000_-09dB.npy,LFM,SFM,1,5,-9,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_-06dB,dual/train/signals/LFM_SFM_000_000_-06dB.npy,LFM,SFM,1,5,-6,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_-03dB,dual/train/signals/LFM_SFM_000_000_-03dB.npy,LFM,SFM,1,5,-3,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+00dB,dual/train/signals/LFM_SFM_000_000_+00dB.npy,LFM,SFM,1,5,0,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+03dB,dual/train/signals/LFM_SFM_000_000_+03dB.npy,LFM,SFM,1,5,3,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+06dB,dual/train/signals/LFM_SFM_000_000_+06dB.npy,LFM,SFM,1,5,6,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+09dB,dual/train/signals/LFM_SFM_000_000_+09dB.npy,LFM,SFM,1,5,9,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+12dB,dual/train/signals/LFM_SFM_000_000_+12dB.npy,LFM,SFM,1,5,12,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+15dB,dual/train/signals/LFM_SFM_000_000_+15dB.npy,LFM,SFM,1,5,15,0.40588831575507867,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
