signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_BPSK_000_000_-12dB,dual/train/signals/MLFM_BPSK_000_000_-12dB.npy,MLFM,BPSK,3,8,-12,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_-09dB,dual/train/signals/MLFM_BPSK_000_000_-09dB.npy,MLFM,BPSK,3,8,-9,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_-06dB,dual/train/signals/MLFM_BPSK_000_000_-06dB.npy,MLFM,BPSK,3,8,-6,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_-03dB,dual/train/signals/MLFM_BPSK_000_000_-03dB.npy,MLFM,BPSK,3,8,-3,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+00dB,dual/train/signals/MLFM_BPSK_000_000_+00dB.npy,MLFM,BPSK,3,8,0,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+03dB,dual/train/signals/MLFM_BPSK_000_000_+03dB.npy,MLFM,BPSK,3,8,3,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+06dB,dual/train/signals/MLFM_BPSK_000_000_+06dB.npy,MLFM,BPSK,3,8,6,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+09dB,dual/train/signals/MLFM_BPSK_000_000_+09dB.npy,MLFM,BPSK,3,8,9,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+12dB,dual/train/signals/MLFM_BPSK_000_000_+12dB.npy,MLFM,BPSK,3,8,12,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+15dB,dual/train/signals/MLFM_BPSK_000_000_+15dB.npy,MLFM,BPSK,3,8,15,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+18dB,dual/train/signals/MLFM_BPSK_000_000_+18dB.npy,MLFM,BPSK,3,8,18,0.41234903176002835,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-12dB,dual/train/signals/MLFM_BPSK_000_001_-12dB.npy,MLFM,BPSK,3,8,-12,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-09dB,dual/train/signals/MLFM_BPSK_000_001_-09dB.npy,MLFM,BPSK,3,8,-9,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-06dB,dual/train/signals/MLFM_BPSK_000_001_-06dB.npy,MLFM,BPSK,3,8,-6,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-03dB,dual/train/signals/MLFM_BPSK_000_001_-03dB.npy,MLFM,BPSK,3,8,-3,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+00dB,dual/train/signals/MLFM_BPSK_000_001_+00dB.npy,MLFM,BPSK,3,8,0,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+03dB,dual/train/signals/MLFM_BPSK_000_001_+03dB.npy,MLFM,BPSK,3,8,3,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+06dB,dual/train/signals/MLFM_BPSK_000_001_+06dB.npy,MLFM,BPSK,3,8,6,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+09dB,dual/train/signals/MLFM_BPSK_000_001_+09dB.npy,MLFM,BPSK,3,8,9,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+12dB,dual/train/signals/MLFM_BPSK_000_001_+12dB.npy,MLFM,BPSK,3,8,12,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+15dB,dual/train/signals/MLFM_BPSK_000_001_+15dB.npy,MLFM,BPSK,3,8,15,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+18dB,dual/train/signals/MLFM_BPSK_000_001_+18dB.npy,MLFM,BPSK,3,8,18,0.33297963065535213,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_-12dB,dual/train/signals/MLFM_BPSK_000_002_-12dB.npy,MLFM,BPSK,3,8,-12,0.3613252671236671,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_-09dB,dual/train/signals/MLFM_BPSK_000_002_-09dB.npy,MLFM,BPSK,3,8,-9,0.3613252671236671,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
