signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_MLFM_000_000_-12dB,dual/train/signals/MLFM_MLFM_000_000_-12dB.npy,MLFM,MLFM,3,3,-12,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-09dB,dual/train/signals/MLFM_MLFM_000_000_-09dB.npy,MLFM,MLFM,3,3,-9,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-06dB,dual/train/signals/MLFM_MLFM_000_000_-06dB.npy,MLFM,MLFM,3,3,-6,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-03dB,dual/train/signals/MLFM_MLFM_000_000_-03dB.npy,MLFM,MLFM,3,3,-3,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+00dB,dual/train/signals/MLFM_MLFM_000_000_+00dB.npy,MLFM,MLFM,3,3,0,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+03dB,dual/train/signals/MLFM_MLFM_000_000_+03dB.npy,MLFM,MLFM,3,3,3,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+06dB,dual/train/signals/MLFM_MLFM_000_000_+06dB.npy,MLFM,MLFM,3,3,6,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+09dB,dual/train/signals/MLFM_MLFM_000_000_+09dB.npy,MLFM,MLFM,3,3,9,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+12dB,dual/train/signals/MLFM_MLFM_000_000_+12dB.npy,MLFM,MLFM,3,3,12,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+15dB,dual/train/signals/MLFM_MLFM_000_000_+15dB.npy,MLFM,MLFM,3,3,15,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+18dB,dual/train/signals/MLFM_MLFM_000_000_+18dB.npy,MLFM,MLFM,3,3,18,0.450772575582349,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-12dB,dual/train/signals/MLFM_MLFM_000_001_-12dB.npy,MLFM,MLFM,3,3,-12,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-09dB,dual/train/signals/MLFM_MLFM_000_001_-09dB.npy,MLFM,MLFM,3,3,-9,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-06dB,dual/train/signals/MLFM_MLFM_000_001_-06dB.npy,MLFM,MLFM,3,3,-6,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-03dB,dual/train/signals/MLFM_MLFM_000_001_-03dB.npy,MLFM,MLFM,3,3,-3,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+00dB,dual/train/signals/MLFM_MLFM_000_001_+00dB.npy,MLFM,MLFM,3,3,0,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+03dB,dual/train/signals/MLFM_MLFM_000_001_+03dB.npy,MLFM,MLFM,3,3,3,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+06dB,dual/train/signals/MLFM_MLFM_000_001_+06dB.npy,MLFM,MLFM,3,3,6,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+09dB,dual/train/signals/MLFM_MLFM_000_001_+09dB.npy,MLFM,MLFM,3,3,9,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+12dB,dual/train/signals/MLFM_MLFM_000_001_+12dB.npy,MLFM,MLFM,3,3,12,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+15dB,dual/train/signals/MLFM_MLFM_000_001_+15dB.npy,MLFM,MLFM,3,3,15,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+18dB,dual/train/signals/MLFM_MLFM_000_001_+18dB.npy,MLFM,MLFM,3,3,18,0.4396349983098392,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_-12dB,dual/train/signals/MLFM_MLFM_000_002_-12dB.npy,MLFM,MLFM,3,3,-12,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_-09dB,dual/train/signals/MLFM_MLFM_000_002_-09dB.npy,MLFM,MLFM,3,3,-9,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_-06dB,dual/train/signals/MLFM_MLFM_000_002_-06dB.npy,MLFM,MLFM,3,3,-6,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_-03dB,dual/train/signals/MLFM_MLFM_000_002_-03dB.npy,MLFM,MLFM,3,3,-3,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+00dB,dual/train/signals/MLFM_MLFM_000_002_+00dB.npy,MLFM,MLFM,3,3,0,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+03dB,dual/train/signals/MLFM_MLFM_000_002_+03dB.npy,MLFM,MLFM,3,3,3,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+06dB,dual/train/signals/MLFM_MLFM_000_002_+06dB.npy,MLFM,MLFM,3,3,6,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+09dB,dual/train/signals/MLFM_MLFM_000_002_+09dB.npy,MLFM,MLFM,3,3,9,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+12dB,dual/train/signals/MLFM_MLFM_000_002_+12dB.npy,MLFM,MLFM,3,3,12,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+15dB,dual/train/signals/MLFM_MLFM_000_002_+15dB.npy,MLFM,MLFM,3,3,15,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_002_+18dB,dual/train/signals/MLFM_MLFM_000_002_+18dB.npy,MLFM,MLFM,3,3,18,0.3240971183554188,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_-12dB,dual/train/signals/MLFM_MLFM_000_003_-12dB.npy,MLFM,MLFM,3,3,-12,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_-09dB,dual/train/signals/MLFM_MLFM_000_003_-09dB.npy,MLFM,MLFM,3,3,-9,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_-06dB,dual/train/signals/MLFM_MLFM_000_003_-06dB.npy,MLFM,MLFM,3,3,-6,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_-03dB,dual/train/signals/MLFM_MLFM_000_003_-03dB.npy,MLFM,MLFM,3,3,-3,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+00dB,dual/train/signals/MLFM_MLFM_000_003_+00dB.npy,MLFM,MLFM,3,3,0,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+03dB,dual/train/signals/MLFM_MLFM_000_003_+03dB.npy,MLFM,MLFM,3,3,3,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+06dB,dual/train/signals/MLFM_MLFM_000_003_+06dB.npy,MLFM,MLFM,3,3,6,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+09dB,dual/train/signals/MLFM_MLFM_000_003_+09dB.npy,MLFM,MLFM,3,3,9,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+12dB,dual/train/signals/MLFM_MLFM_000_003_+12dB.npy,MLFM,MLFM,3,3,12,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+15dB,dual/train/signals/MLFM_MLFM_000_003_+15dB.npy,MLFM,MLFM,3,3,15,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_003_+18dB,dual/train/signals/MLFM_MLFM_000_003_+18dB.npy,MLFM,MLFM,3,3,18,0.2512712981973996,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_-12dB,dual/train/signals/MLFM_MLFM_000_004_-12dB.npy,MLFM,MLFM,3,3,-12,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_-09dB,dual/train/signals/MLFM_MLFM_000_004_-09dB.npy,MLFM,MLFM,3,3,-9,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_-06dB,dual/train/signals/MLFM_MLFM_000_004_-06dB.npy,MLFM,MLFM,3,3,-6,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_-03dB,dual/train/signals/MLFM_MLFM_000_004_-03dB.npy,MLFM,MLFM,3,3,-3,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+00dB,dual/train/signals/MLFM_MLFM_000_004_+00dB.npy,MLFM,MLFM,3,3,0,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+03dB,dual/train/signals/MLFM_MLFM_000_004_+03dB.npy,MLFM,MLFM,3,3,3,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+06dB,dual/train/signals/MLFM_MLFM_000_004_+06dB.npy,MLFM,MLFM,3,3,6,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+09dB,dual/train/signals/MLFM_MLFM_000_004_+09dB.npy,MLFM,MLFM,3,3,9,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+12dB,dual/train/signals/MLFM_MLFM_000_004_+12dB.npy,MLFM,MLFM,3,3,12,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+15dB,dual/train/signals/MLFM_MLFM_000_004_+15dB.npy,MLFM,MLFM,3,3,15,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_004_+18dB,dual/train/signals/MLFM_MLFM_000_004_+18dB.npy,MLFM,MLFM,3,3,18,0.4287055965539013,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_-12dB,dual/train/signals/MLFM_MLFM_000_005_-12dB.npy,MLFM,MLFM,3,3,-12,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_-09dB,dual/train/signals/MLFM_MLFM_000_005_-09dB.npy,MLFM,MLFM,3,3,-9,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_-06dB,dual/train/signals/MLFM_MLFM_000_005_-06dB.npy,MLFM,MLFM,3,3,-6,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_-03dB,dual/train/signals/MLFM_MLFM_000_005_-03dB.npy,MLFM,MLFM,3,3,-3,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+00dB,dual/train/signals/MLFM_MLFM_000_005_+00dB.npy,MLFM,MLFM,3,3,0,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+03dB,dual/train/signals/MLFM_MLFM_000_005_+03dB.npy,MLFM,MLFM,3,3,3,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+06dB,dual/train/signals/MLFM_MLFM_000_005_+06dB.npy,MLFM,MLFM,3,3,6,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+09dB,dual/train/signals/MLFM_MLFM_000_005_+09dB.npy,MLFM,MLFM,3,3,9,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+12dB,dual/train/signals/MLFM_MLFM_000_005_+12dB.npy,MLFM,MLFM,3,3,12,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+15dB,dual/train/signals/MLFM_MLFM_000_005_+15dB.npy,MLFM,MLFM,3,3,15,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_005_+18dB,dual/train/signals/MLFM_MLFM_000_005_+18dB.npy,MLFM,MLFM,3,3,18,0.28826948772842287,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_-12dB,dual/train/signals/MLFM_MLFM_000_006_-12dB.npy,MLFM,MLFM,3,3,-12,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_-09dB,dual/train/signals/MLFM_MLFM_000_006_-09dB.npy,MLFM,MLFM,3,3,-9,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_-06dB,dual/train/signals/MLFM_MLFM_000_006_-06dB.npy,MLFM,MLFM,3,3,-6,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_-03dB,dual/train/signals/MLFM_MLFM_000_006_-03dB.npy,MLFM,MLFM,3,3,-3,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_+00dB,dual/train/signals/MLFM_MLFM_000_006_+00dB.npy,MLFM,MLFM,3,3,0,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_+03dB,dual/train/signals/MLFM_MLFM_000_006_+03dB.npy,MLFM,MLFM,3,3,3,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_006_+06dB,dual/train/signals/MLFM_MLFM_000_006_+06dB.npy,MLFM,MLFM,3,3,6,0.2690280108770763,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
