signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_P2_000_000_-12dB,dual/train/signals/MLFM_P2_000_000_-12dB.npy,MLFM,P2,3,11,-12,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_-09dB,dual/train/signals/MLFM_P2_000_000_-09dB.npy,MLFM,P2,3,11,-9,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_-06dB,dual/train/signals/MLFM_P2_000_000_-06dB.npy,MLFM,P2,3,11,-6,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_-03dB,dual/train/signals/MLFM_P2_000_000_-03dB.npy,MLFM,P2,3,11,-3,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+00dB,dual/train/signals/MLFM_P2_000_000_+00dB.npy,MLFM,P2,3,11,0,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+03dB,dual/train/signals/MLFM_P2_000_000_+03dB.npy,MLFM,P2,3,11,3,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+06dB,dual/train/signals/MLFM_P2_000_000_+06dB.npy,MLFM,P2,3,11,6,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+09dB,dual/train/signals/MLFM_P2_000_000_+09dB.npy,MLFM,P2,3,11,9,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+12dB,dual/train/signals/MLFM_P2_000_000_+12dB.npy,MLFM,P2,3,11,12,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+15dB,dual/train/signals/MLFM_P2_000_000_+15dB.npy,MLFM,P2,3,11,15,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_000_+18dB,dual/train/signals/MLFM_P2_000_000_+18dB.npy,MLFM,P2,3,11,18,0.4446473013449712,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_-12dB,dual/train/signals/MLFM_P2_000_001_-12dB.npy,MLFM,P2,3,11,-12,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_-09dB,dual/train/signals/MLFM_P2_000_001_-09dB.npy,MLFM,P2,3,11,-9,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_-06dB,dual/train/signals/MLFM_P2_000_001_-06dB.npy,MLFM,P2,3,11,-6,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_-03dB,dual/train/signals/MLFM_P2_000_001_-03dB.npy,MLFM,P2,3,11,-3,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+00dB,dual/train/signals/MLFM_P2_000_001_+00dB.npy,MLFM,P2,3,11,0,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+03dB,dual/train/signals/MLFM_P2_000_001_+03dB.npy,MLFM,P2,3,11,3,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+06dB,dual/train/signals/MLFM_P2_000_001_+06dB.npy,MLFM,P2,3,11,6,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+09dB,dual/train/signals/MLFM_P2_000_001_+09dB.npy,MLFM,P2,3,11,9,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+12dB,dual/train/signals/MLFM_P2_000_001_+12dB.npy,MLFM,P2,3,11,12,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+15dB,dual/train/signals/MLFM_P2_000_001_+15dB.npy,MLFM,P2,3,11,15,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_001_+18dB,dual/train/signals/MLFM_P2_000_001_+18dB.npy,MLFM,P2,3,11,18,0.28672725405678867,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_-12dB,dual/train/signals/MLFM_P2_000_002_-12dB.npy,MLFM,P2,3,11,-12,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_-09dB,dual/train/signals/MLFM_P2_000_002_-09dB.npy,MLFM,P2,3,11,-9,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_-06dB,dual/train/signals/MLFM_P2_000_002_-06dB.npy,MLFM,P2,3,11,-6,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_-03dB,dual/train/signals/MLFM_P2_000_002_-03dB.npy,MLFM,P2,3,11,-3,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+00dB,dual/train/signals/MLFM_P2_000_002_+00dB.npy,MLFM,P2,3,11,0,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+03dB,dual/train/signals/MLFM_P2_000_002_+03dB.npy,MLFM,P2,3,11,3,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+06dB,dual/train/signals/MLFM_P2_000_002_+06dB.npy,MLFM,P2,3,11,6,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+09dB,dual/train/signals/MLFM_P2_000_002_+09dB.npy,MLFM,P2,3,11,9,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+12dB,dual/train/signals/MLFM_P2_000_002_+12dB.npy,MLFM,P2,3,11,12,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+15dB,dual/train/signals/MLFM_P2_000_002_+15dB.npy,MLFM,P2,3,11,15,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_002_+18dB,dual/train/signals/MLFM_P2_000_002_+18dB.npy,MLFM,P2,3,11,18,0.42260770690164995,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_003_-12dB,dual/train/signals/MLFM_P2_000_003_-12dB.npy,MLFM,P2,3,11,-12,0.40893033376606147,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
MLFM_P2_000_003_-09dB,dual/train/signals/MLFM_P2_000_003_-09dB.npy,MLFM,P2,3,11,-9,0.40893033376606147,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
