signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_BFSK_000_000_-12dB,dual/train/signals/NM_BFSK_000_000_-12dB.npy,NM,BFSK,0,6,-12,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-09dB,dual/train/signals/NM_BFSK_000_000_-09dB.npy,NM,BFSK,0,6,-9,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-06dB,dual/train/signals/NM_BFSK_000_000_-06dB.npy,NM,BFSK,0,6,-6,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-03dB,dual/train/signals/NM_BFSK_000_000_-03dB.npy,NM,BFSK,0,6,-3,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+00dB,dual/train/signals/NM_BFSK_000_000_+00dB.npy,NM,BFSK,0,6,0,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+03dB,dual/train/signals/NM_BFSK_000_000_+03dB.npy,NM,BFSK,0,6,3,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+06dB,dual/train/signals/NM_BFSK_000_000_+06dB.npy,NM,BFSK,0,6,6,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+09dB,dual/train/signals/NM_BFSK_000_000_+09dB.npy,NM,BFSK,0,6,9,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+12dB,dual/train/signals/NM_BFSK_000_000_+12dB.npy,NM,BFSK,0,6,12,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+15dB,dual/train/signals/NM_BFSK_000_000_+15dB.npy,NM,BFSK,0,6,15,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+18dB,dual/train/signals/NM_BFSK_000_000_+18dB.npy,NM,BFSK,0,6,18,0.2548068475163877,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-12dB,dual/train/signals/NM_BFSK_000_001_-12dB.npy,NM,BFSK,0,6,-12,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-09dB,dual/train/signals/NM_BFSK_000_001_-09dB.npy,NM,BFSK,0,6,-9,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-06dB,dual/train/signals/NM_BFSK_000_001_-06dB.npy,NM,BFSK,0,6,-6,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-03dB,dual/train/signals/NM_BFSK_000_001_-03dB.npy,NM,BFSK,0,6,-3,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+00dB,dual/train/signals/NM_BFSK_000_001_+00dB.npy,NM,BFSK,0,6,0,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+03dB,dual/train/signals/NM_BFSK_000_001_+03dB.npy,NM,BFSK,0,6,3,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+06dB,dual/train/signals/NM_BFSK_000_001_+06dB.npy,NM,BFSK,0,6,6,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+09dB,dual/train/signals/NM_BFSK_000_001_+09dB.npy,NM,BFSK,0,6,9,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+12dB,dual/train/signals/NM_BFSK_000_001_+12dB.npy,NM,BFSK,0,6,12,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+15dB,dual/train/signals/NM_BFSK_000_001_+15dB.npy,NM,BFSK,0,6,15,0.39632963325148574,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
