signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_DLFM_000_000_-12dB,dual/train/signals/NM_DLFM_000_000_-12dB.npy,NM,DLFM,0,2,-12,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_-09dB,dual/train/signals/NM_DLFM_000_000_-09dB.npy,NM,DLFM,0,2,-9,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_-06dB,dual/train/signals/NM_DLFM_000_000_-06dB.npy,NM,DLFM,0,2,-6,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_-03dB,dual/train/signals/NM_DLFM_000_000_-03dB.npy,NM,DLFM,0,2,-3,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+00dB,dual/train/signals/NM_DLFM_000_000_+00dB.npy,NM,DLFM,0,2,0,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+03dB,dual/train/signals/NM_DLFM_000_000_+03dB.npy,NM,DLFM,0,2,3,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+06dB,dual/train/signals/NM_DLFM_000_000_+06dB.npy,NM,DLFM,0,2,6,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+09dB,dual/train/signals/NM_DLFM_000_000_+09dB.npy,NM,DLFM,0,2,9,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+12dB,dual/train/signals/NM_DLFM_000_000_+12dB.npy,NM,DLFM,0,2,12,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+15dB,dual/train/signals/NM_DLFM_000_000_+15dB.npy,NM,DLFM,0,2,15,0.35842393784903676,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
