signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_LFM_000_000_-12dB,dual/train/signals/NM_LFM_000_000_-12dB.npy,NM,LFM,0,1,-12,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_-09dB,dual/train/signals/NM_LFM_000_000_-09dB.npy,NM,LFM,0,1,-9,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_-06dB,dual/train/signals/NM_LFM_000_000_-06dB.npy,NM,LFM,0,1,-6,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_-03dB,dual/train/signals/NM_LFM_000_000_-03dB.npy,NM,LFM,0,1,-3,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+00dB,dual/train/signals/NM_LFM_000_000_+00dB.npy,NM,LFM,0,1,0,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+03dB,dual/train/signals/NM_LFM_000_000_+03dB.npy,NM,LFM,0,1,3,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+06dB,dual/train/signals/NM_LFM_000_000_+06dB.npy,NM,LFM,0,1,6,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+09dB,dual/train/signals/NM_LFM_000_000_+09dB.npy,NM,LFM,0,1,9,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+12dB,dual/train/signals/NM_LFM_000_000_+12dB.npy,NM,LFM,0,1,12,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+15dB,dual/train/signals/NM_LFM_000_000_+15dB.npy,NM,LFM,0,1,15,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+18dB,dual/train/signals/NM_LFM_000_000_+18dB.npy,NM,LFM,0,1,18,0.25138866351723343,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-12dB,dual/train/signals/NM_LFM_000_001_-12dB.npy,NM,LFM,0,1,-12,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-09dB,dual/train/signals/NM_LFM_000_001_-09dB.npy,NM,LFM,0,1,-9,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-06dB,dual/train/signals/NM_LFM_000_001_-06dB.npy,NM,LFM,0,1,-6,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-03dB,dual/train/signals/NM_LFM_000_001_-03dB.npy,NM,LFM,0,1,-3,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+00dB,dual/train/signals/NM_LFM_000_001_+00dB.npy,NM,LFM,0,1,0,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+03dB,dual/train/signals/NM_LFM_000_001_+03dB.npy,NM,LFM,0,1,3,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+06dB,dual/train/signals/NM_LFM_000_001_+06dB.npy,NM,LFM,0,1,6,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+09dB,dual/train/signals/NM_LFM_000_001_+09dB.npy,NM,LFM,0,1,9,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+12dB,dual/train/signals/NM_LFM_000_001_+12dB.npy,NM,LFM,0,1,12,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+15dB,dual/train/signals/NM_LFM_000_001_+15dB.npy,NM,LFM,0,1,15,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+18dB,dual/train/signals/NM_LFM_000_001_+18dB.npy,NM,LFM,0,1,18,0.4158927124544417,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-12dB,dual/train/signals/NM_LFM_000_002_-12dB.npy,NM,LFM,0,1,-12,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-09dB,dual/train/signals/NM_LFM_000_002_-09dB.npy,NM,LFM,0,1,-9,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-06dB,dual/train/signals/NM_LFM_000_002_-06dB.npy,NM,LFM,0,1,-6,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-03dB,dual/train/signals/NM_LFM_000_002_-03dB.npy,NM,LFM,0,1,-3,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+00dB,dual/train/signals/NM_LFM_000_002_+00dB.npy,NM,LFM,0,1,0,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+03dB,dual/train/signals/NM_LFM_000_002_+03dB.npy,NM,LFM,0,1,3,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+06dB,dual/train/signals/NM_LFM_000_002_+06dB.npy,NM,LFM,0,1,6,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+09dB,dual/train/signals/NM_LFM_000_002_+09dB.npy,NM,LFM,0,1,9,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+12dB,dual/train/signals/NM_LFM_000_002_+12dB.npy,NM,LFM,0,1,12,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+15dB,dual/train/signals/NM_LFM_000_002_+15dB.npy,NM,LFM,0,1,15,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_+18dB,dual/train/signals/NM_LFM_000_002_+18dB.npy,NM,LFM,0,1,18,0.291433463695008,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_003_-12dB,dual/train/signals/NM_LFM_000_003_-12dB.npy,NM,LFM,0,1,-12,0.26013064396566077,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_003_-09dB,dual/train/signals/NM_LFM_000_003_-09dB.npy,NM,LFM,0,1,-9,0.26013064396566077,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
