signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_P2_000_000_-12dB,dual/train/signals/NM_P2_000_000_-12dB.npy,NM,P2,0,11,-12,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_-09dB,dual/train/signals/NM_P2_000_000_-09dB.npy,NM,P2,0,11,-9,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_-06dB,dual/train/signals/NM_P2_000_000_-06dB.npy,NM,P2,0,11,-6,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_-03dB,dual/train/signals/NM_P2_000_000_-03dB.npy,NM,P2,0,11,-3,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+00dB,dual/train/signals/NM_P2_000_000_+00dB.npy,NM,P2,0,11,0,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+03dB,dual/train/signals/NM_P2_000_000_+03dB.npy,NM,P2,0,11,3,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+06dB,dual/train/signals/NM_P2_000_000_+06dB.npy,NM,P2,0,11,6,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+09dB,dual/train/signals/NM_P2_000_000_+09dB.npy,NM,P2,0,11,9,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+12dB,dual/train/signals/NM_P2_000_000_+12dB.npy,NM,P2,0,11,12,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+15dB,dual/train/signals/NM_P2_000_000_+15dB.npy,NM,P2,0,11,15,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_000_+18dB,dual/train/signals/NM_P2_000_000_+18dB.npy,NM,P2,0,11,18,0.4615535050934988,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_-12dB,dual/train/signals/NM_P2_000_001_-12dB.npy,NM,P2,0,11,-12,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_-09dB,dual/train/signals/NM_P2_000_001_-09dB.npy,NM,P2,0,11,-9,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_-06dB,dual/train/signals/NM_P2_000_001_-06dB.npy,NM,P2,0,11,-6,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_-03dB,dual/train/signals/NM_P2_000_001_-03dB.npy,NM,P2,0,11,-3,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+00dB,dual/train/signals/NM_P2_000_001_+00dB.npy,NM,P2,0,11,0,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+03dB,dual/train/signals/NM_P2_000_001_+03dB.npy,NM,P2,0,11,3,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+06dB,dual/train/signals/NM_P2_000_001_+06dB.npy,NM,P2,0,11,6,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+09dB,dual/train/signals/NM_P2_000_001_+09dB.npy,NM,P2,0,11,9,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+12dB,dual/train/signals/NM_P2_000_001_+12dB.npy,NM,P2,0,11,12,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+15dB,dual/train/signals/NM_P2_000_001_+15dB.npy,NM,P2,0,11,15,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_001_+18dB,dual/train/signals/NM_P2_000_001_+18dB.npy,NM,P2,0,11,18,0.2993393475723598,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_-12dB,dual/train/signals/NM_P2_000_002_-12dB.npy,NM,P2,0,11,-12,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_-09dB,dual/train/signals/NM_P2_000_002_-09dB.npy,NM,P2,0,11,-9,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_-06dB,dual/train/signals/NM_P2_000_002_-06dB.npy,NM,P2,0,11,-6,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_-03dB,dual/train/signals/NM_P2_000_002_-03dB.npy,NM,P2,0,11,-3,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+00dB,dual/train/signals/NM_P2_000_002_+00dB.npy,NM,P2,0,11,0,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+03dB,dual/train/signals/NM_P2_000_002_+03dB.npy,NM,P2,0,11,3,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+06dB,dual/train/signals/NM_P2_000_002_+06dB.npy,NM,P2,0,11,6,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+09dB,dual/train/signals/NM_P2_000_002_+09dB.npy,NM,P2,0,11,9,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+12dB,dual/train/signals/NM_P2_000_002_+12dB.npy,NM,P2,0,11,12,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+15dB,dual/train/signals/NM_P2_000_002_+15dB.npy,NM,P2,0,11,15,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_002_+18dB,dual/train/signals/NM_P2_000_002_+18dB.npy,NM,P2,0,11,18,0.327590665894952,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_-12dB,dual/train/signals/NM_P2_000_003_-12dB.npy,NM,P2,0,11,-12,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_-09dB,dual/train/signals/NM_P2_000_003_-09dB.npy,NM,P2,0,11,-9,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_-06dB,dual/train/signals/NM_P2_000_003_-06dB.npy,NM,P2,0,11,-6,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_-03dB,dual/train/signals/NM_P2_000_003_-03dB.npy,NM,P2,0,11,-3,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+00dB,dual/train/signals/NM_P2_000_003_+00dB.npy,NM,P2,0,11,0,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+03dB,dual/train/signals/NM_P2_000_003_+03dB.npy,NM,P2,0,11,3,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+06dB,dual/train/signals/NM_P2_000_003_+06dB.npy,NM,P2,0,11,6,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+09dB,dual/train/signals/NM_P2_000_003_+09dB.npy,NM,P2,0,11,9,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+12dB,dual/train/signals/NM_P2_000_003_+12dB.npy,NM,P2,0,11,12,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+15dB,dual/train/signals/NM_P2_000_003_+15dB.npy,NM,P2,0,11,15,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_003_+18dB,dual/train/signals/NM_P2_000_003_+18dB.npy,NM,P2,0,11,18,0.3880920038325161,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_-12dB,dual/train/signals/NM_P2_000_004_-12dB.npy,NM,P2,0,11,-12,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_-09dB,dual/train/signals/NM_P2_000_004_-09dB.npy,NM,P2,0,11,-9,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_-06dB,dual/train/signals/NM_P2_000_004_-06dB.npy,NM,P2,0,11,-6,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_-03dB,dual/train/signals/NM_P2_000_004_-03dB.npy,NM,P2,0,11,-3,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+00dB,dual/train/signals/NM_P2_000_004_+00dB.npy,NM,P2,0,11,0,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+03dB,dual/train/signals/NM_P2_000_004_+03dB.npy,NM,P2,0,11,3,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+06dB,dual/train/signals/NM_P2_000_004_+06dB.npy,NM,P2,0,11,6,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+09dB,dual/train/signals/NM_P2_000_004_+09dB.npy,NM,P2,0,11,9,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+12dB,dual/train/signals/NM_P2_000_004_+12dB.npy,NM,P2,0,11,12,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+15dB,dual/train/signals/NM_P2_000_004_+15dB.npy,NM,P2,0,11,15,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_004_+18dB,dual/train/signals/NM_P2_000_004_+18dB.npy,NM,P2,0,11,18,0.30049883798487276,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_-12dB,dual/train/signals/NM_P2_000_005_-12dB.npy,NM,P2,0,11,-12,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_-09dB,dual/train/signals/NM_P2_000_005_-09dB.npy,NM,P2,0,11,-9,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_-06dB,dual/train/signals/NM_P2_000_005_-06dB.npy,NM,P2,0,11,-6,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_-03dB,dual/train/signals/NM_P2_000_005_-03dB.npy,NM,P2,0,11,-3,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+00dB,dual/train/signals/NM_P2_000_005_+00dB.npy,NM,P2,0,11,0,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+03dB,dual/train/signals/NM_P2_000_005_+03dB.npy,NM,P2,0,11,3,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+06dB,dual/train/signals/NM_P2_000_005_+06dB.npy,NM,P2,0,11,6,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+09dB,dual/train/signals/NM_P2_000_005_+09dB.npy,NM,P2,0,11,9,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+12dB,dual/train/signals/NM_P2_000_005_+12dB.npy,NM,P2,0,11,12,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+15dB,dual/train/signals/NM_P2_000_005_+15dB.npy,NM,P2,0,11,15,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_005_+18dB,dual/train/signals/NM_P2_000_005_+18dB.npy,NM,P2,0,11,18,0.25495019288509635,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_-12dB,dual/train/signals/NM_P2_000_006_-12dB.npy,NM,P2,0,11,-12,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_-09dB,dual/train/signals/NM_P2_000_006_-09dB.npy,NM,P2,0,11,-9,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_-06dB,dual/train/signals/NM_P2_000_006_-06dB.npy,NM,P2,0,11,-6,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_-03dB,dual/train/signals/NM_P2_000_006_-03dB.npy,NM,P2,0,11,-3,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+00dB,dual/train/signals/NM_P2_000_006_+00dB.npy,NM,P2,0,11,0,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+03dB,dual/train/signals/NM_P2_000_006_+03dB.npy,NM,P2,0,11,3,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+06dB,dual/train/signals/NM_P2_000_006_+06dB.npy,NM,P2,0,11,6,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+09dB,dual/train/signals/NM_P2_000_006_+09dB.npy,NM,P2,0,11,9,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+12dB,dual/train/signals/NM_P2_000_006_+12dB.npy,NM,P2,0,11,12,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+15dB,dual/train/signals/NM_P2_000_006_+15dB.npy,NM,P2,0,11,15,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_006_+18dB,dual/train/signals/NM_P2_000_006_+18dB.npy,NM,P2,0,11,18,0.4697896925200883,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_-12dB,dual/train/signals/NM_P2_000_007_-12dB.npy,NM,P2,0,11,-12,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_-09dB,dual/train/signals/NM_P2_000_007_-09dB.npy,NM,P2,0,11,-9,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_-06dB,dual/train/signals/NM_P2_000_007_-06dB.npy,NM,P2,0,11,-6,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_-03dB,dual/train/signals/NM_P2_000_007_-03dB.npy,NM,P2,0,11,-3,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+00dB,dual/train/signals/NM_P2_000_007_+00dB.npy,NM,P2,0,11,0,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+03dB,dual/train/signals/NM_P2_000_007_+03dB.npy,NM,P2,0,11,3,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+06dB,dual/train/signals/NM_P2_000_007_+06dB.npy,NM,P2,0,11,6,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+09dB,dual/train/signals/NM_P2_000_007_+09dB.npy,NM,P2,0,11,9,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+12dB,dual/train/signals/NM_P2_000_007_+12dB.npy,NM,P2,0,11,12,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+15dB,dual/train/signals/NM_P2_000_007_+15dB.npy,NM,P2,0,11,15,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_007_+18dB,dual/train/signals/NM_P2_000_007_+18dB.npy,NM,P2,0,11,18,0.47051400509626423,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_-12dB,dual/train/signals/NM_P2_000_008_-12dB.npy,NM,P2,0,11,-12,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_-09dB,dual/train/signals/NM_P2_000_008_-09dB.npy,NM,P2,0,11,-9,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_-06dB,dual/train/signals/NM_P2_000_008_-06dB.npy,NM,P2,0,11,-6,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_-03dB,dual/train/signals/NM_P2_000_008_-03dB.npy,NM,P2,0,11,-3,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_+00dB,dual/train/signals/NM_P2_000_008_+00dB.npy,NM,P2,0,11,0,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
NM_P2_000_008_+03dB,dual/train/signals/NM_P2_000_008_+03dB.npy,NM,P2,0,11,3,0.424063162540877,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
