signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_QFSK_000_000_-12dB,dual/train/signals/NM_QFSK_000_000_-12dB.npy,NM,QFSK,0,7,-12,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-09dB,dual/train/signals/NM_QFSK_000_000_-09dB.npy,NM,QFSK,0,7,-9,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-06dB,dual/train/signals/NM_QFSK_000_000_-06dB.npy,NM,QFSK,0,7,-6,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-03dB,dual/train/signals/NM_QFSK_000_000_-03dB.npy,NM,QFSK,0,7,-3,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+00dB,dual/train/signals/NM_QFSK_000_000_+00dB.npy,NM,QFSK,0,7,0,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+03dB,dual/train/signals/NM_QFSK_000_000_+03dB.npy,NM,QFSK,0,7,3,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+06dB,dual/train/signals/NM_QFSK_000_000_+06dB.npy,NM,QFSK,0,7,6,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+09dB,dual/train/signals/NM_QFSK_000_000_+09dB.npy,NM,QFSK,0,7,9,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+12dB,dual/train/signals/NM_QFSK_000_000_+12dB.npy,NM,QFSK,0,7,12,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+15dB,dual/train/signals/NM_QFSK_000_000_+15dB.npy,NM,QFSK,0,7,15,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+18dB,dual/train/signals/NM_QFSK_000_000_+18dB.npy,NM,QFSK,0,7,18,0.2949054090312815,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-12dB,dual/train/signals/NM_QFSK_000_001_-12dB.npy,NM,QFSK,0,7,-12,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-09dB,dual/train/signals/NM_QFSK_000_001_-09dB.npy,NM,QFSK,0,7,-9,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-06dB,dual/train/signals/NM_QFSK_000_001_-06dB.npy,NM,QFSK,0,7,-6,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-03dB,dual/train/signals/NM_QFSK_000_001_-03dB.npy,NM,QFSK,0,7,-3,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+00dB,dual/train/signals/NM_QFSK_000_001_+00dB.npy,NM,QFSK,0,7,0,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+03dB,dual/train/signals/NM_QFSK_000_001_+03dB.npy,NM,QFSK,0,7,3,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+06dB,dual/train/signals/NM_QFSK_000_001_+06dB.npy,NM,QFSK,0,7,6,0.309611260955893,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
