signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_SFM_000_000_-12dB,dual/train/signals/NM_SFM_000_000_-12dB.npy,NM,SFM,0,5,-12,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_-09dB,dual/train/signals/NM_SFM_000_000_-09dB.npy,NM,SFM,0,5,-9,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_-06dB,dual/train/signals/NM_SFM_000_000_-06dB.npy,NM,SFM,0,5,-6,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_-03dB,dual/train/signals/NM_SFM_000_000_-03dB.npy,NM,SFM,0,5,-3,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+00dB,dual/train/signals/NM_SFM_000_000_+00dB.npy,NM,SFM,0,5,0,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+03dB,dual/train/signals/NM_SFM_000_000_+03dB.npy,NM,SFM,0,5,3,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+06dB,dual/train/signals/NM_SFM_000_000_+06dB.npy,NM,SFM,0,5,6,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+09dB,dual/train/signals/NM_SFM_000_000_+09dB.npy,NM,SFM,0,5,9,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+12dB,dual/train/signals/NM_SFM_000_000_+12dB.npy,NM,SFM,0,5,12,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+15dB,dual/train/signals/NM_SFM_000_000_+15dB.npy,NM,SFM,0,5,15,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_000_+18dB,dual/train/signals/NM_SFM_000_000_+18dB.npy,NM,SFM,0,5,18,0.2799513693428421,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_-12dB,dual/train/signals/NM_SFM_000_001_-12dB.npy,NM,SFM,0,5,-12,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_-09dB,dual/train/signals/NM_SFM_000_001_-09dB.npy,NM,SFM,0,5,-9,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_-06dB,dual/train/signals/NM_SFM_000_001_-06dB.npy,NM,SFM,0,5,-6,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_-03dB,dual/train/signals/NM_SFM_000_001_-03dB.npy,NM,SFM,0,5,-3,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_+00dB,dual/train/signals/NM_SFM_000_001_+00dB.npy,NM,SFM,0,5,0,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_SFM_000_001_+03dB,dual/train/signals/NM_SFM_000_001_+03dB.npy,NM,SFM,0,5,3,0.3647034930146658,1,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
