signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
P3_LFM_BPSK_000_000_-12dB,dual/train/signals/P3_LFM_BPSK_000_000_-12dB.npy,P3,LFM_BPSK,12,14,-12,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_-09dB,dual/train/signals/P3_LFM_BPSK_000_000_-09dB.npy,P3,LFM_BPSK,12,14,-9,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_-06dB,dual/train/signals/P3_LFM_BPSK_000_000_-06dB.npy,P3,LFM_BPSK,12,14,-6,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_-03dB,dual/train/signals/P3_LFM_BPSK_000_000_-03dB.npy,P3,LFM_BPSK,12,14,-3,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+00dB,dual/train/signals/P3_LFM_BPSK_000_000_+00dB.npy,P3,LFM_BPSK,12,14,0,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+03dB,dual/train/signals/P3_LFM_BPSK_000_000_+03dB.npy,P3,LFM_BPSK,12,14,3,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+06dB,dual/train/signals/P3_LFM_BPSK_000_000_+06dB.npy,P3,LFM_BPSK,12,14,6,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+09dB,dual/train/signals/P3_LFM_BPSK_000_000_+09dB.npy,P3,LFM_BPSK,12,14,9,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+12dB,dual/train/signals/P3_LFM_BPSK_000_000_+12dB.npy,P3,LFM_BPSK,12,14,12,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+15dB,dual/train/signals/P3_LFM_BPSK_000_000_+15dB.npy,P3,LFM_BPSK,12,14,15,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_000_+18dB,dual/train/signals/P3_LFM_BPSK_000_000_+18dB.npy,P3,LFM_BPSK,12,14,18,0.4880064429662955,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_-12dB,dual/train/signals/P3_LFM_BPSK_000_001_-12dB.npy,P3,LFM_BPSK,12,14,-12,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_-09dB,dual/train/signals/P3_LFM_BPSK_000_001_-09dB.npy,P3,LFM_BPSK,12,14,-9,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_-06dB,dual/train/signals/P3_LFM_BPSK_000_001_-06dB.npy,P3,LFM_BPSK,12,14,-6,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_-03dB,dual/train/signals/P3_LFM_BPSK_000_001_-03dB.npy,P3,LFM_BPSK,12,14,-3,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+00dB,dual/train/signals/P3_LFM_BPSK_000_001_+00dB.npy,P3,LFM_BPSK,12,14,0,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+03dB,dual/train/signals/P3_LFM_BPSK_000_001_+03dB.npy,P3,LFM_BPSK,12,14,3,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+06dB,dual/train/signals/P3_LFM_BPSK_000_001_+06dB.npy,P3,LFM_BPSK,12,14,6,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+09dB,dual/train/signals/P3_LFM_BPSK_000_001_+09dB.npy,P3,LFM_BPSK,12,14,9,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+12dB,dual/train/signals/P3_LFM_BPSK_000_001_+12dB.npy,P3,LFM_BPSK,12,14,12,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+15dB,dual/train/signals/P3_LFM_BPSK_000_001_+15dB.npy,P3,LFM_BPSK,12,14,15,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_001_+18dB,dual/train/signals/P3_LFM_BPSK_000_001_+18dB.npy,P3,LFM_BPSK,12,14,18,0.33542426396370817,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_002_-12dB,dual/train/signals/P3_LFM_BPSK_000_002_-12dB.npy,P3,LFM_BPSK,12,14,-12,0.46064176772389165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_002_-09dB,dual/train/signals/P3_LFM_BPSK_000_002_-09dB.npy,P3,LFM_BPSK,12,14,-9,0.46064176772389165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
P3_LFM_BPSK_000_002_-06dB,dual/train/signals/P3_LFM_BPSK_000_002_-06dB.npy,P3,LFM_BPSK,12,14,-6,0.46064176772389165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
