signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
QFSK_Frank_000_000_-12dB,dual/train/signals/QFSK_Frank_000_000_-12dB.npy,QFSK,Frank,7,9,-12,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_-09dB,dual/train/signals/QFSK_Frank_000_000_-09dB.npy,QFSK,Frank,7,9,-9,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_-06dB,dual/train/signals/QFSK_Frank_000_000_-06dB.npy,QFSK,Frank,7,9,-6,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_-03dB,dual/train/signals/QFSK_Frank_000_000_-03dB.npy,QFSK,Frank,7,9,-3,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+00dB,dual/train/signals/QFSK_Frank_000_000_+00dB.npy,QFSK,Frank,7,9,0,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+03dB,dual/train/signals/QFSK_Frank_000_000_+03dB.npy,QFSK,Frank,7,9,3,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+06dB,dual/train/signals/QFSK_Frank_000_000_+06dB.npy,QFSK,Frank,7,9,6,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+09dB,dual/train/signals/QFSK_Frank_000_000_+09dB.npy,QFSK,Frank,7,9,9,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+12dB,dual/train/signals/QFSK_Frank_000_000_+12dB.npy,QFSK,Frank,7,9,12,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+15dB,dual/train/signals/QFSK_Frank_000_000_+15dB.npy,QFSK,Frank,7,9,15,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+18dB,dual/train/signals/QFSK_Frank_000_000_+18dB.npy,QFSK,Frank,7,9,18,0.4492177373324616,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-12dB,dual/train/signals/QFSK_Frank_000_001_-12dB.npy,QFSK,Frank,7,9,-12,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-09dB,dual/train/signals/QFSK_Frank_000_001_-09dB.npy,QFSK,Frank,7,9,-9,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-06dB,dual/train/signals/QFSK_Frank_000_001_-06dB.npy,QFSK,Frank,7,9,-6,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-03dB,dual/train/signals/QFSK_Frank_000_001_-03dB.npy,QFSK,Frank,7,9,-3,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+00dB,dual/train/signals/QFSK_Frank_000_001_+00dB.npy,QFSK,Frank,7,9,0,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+03dB,dual/train/signals/QFSK_Frank_000_001_+03dB.npy,QFSK,Frank,7,9,3,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+06dB,dual/train/signals/QFSK_Frank_000_001_+06dB.npy,QFSK,Frank,7,9,6,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+09dB,dual/train/signals/QFSK_Frank_000_001_+09dB.npy,QFSK,Frank,7,9,9,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+12dB,dual/train/signals/QFSK_Frank_000_001_+12dB.npy,QFSK,Frank,7,9,12,0.3092498088919088,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
