signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_BPSK_000_000_-12dB,dual/train/signals/SFM_BPSK_000_000_-12dB.npy,SFM,BPSK,5,8,-12,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-09dB,dual/train/signals/SFM_BPSK_000_000_-09dB.npy,SFM,BPSK,5,8,-9,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-06dB,dual/train/signals/SFM_BPSK_000_000_-06dB.npy,SFM,BPSK,5,8,-6,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-03dB,dual/train/signals/SFM_BPSK_000_000_-03dB.npy,SFM,BPSK,5,8,-3,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+00dB,dual/train/signals/SFM_BPSK_000_000_+00dB.npy,SFM,BPSK,5,8,0,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+03dB,dual/train/signals/SFM_BPSK_000_000_+03dB.npy,SFM,BPSK,5,8,3,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+06dB,dual/train/signals/SFM_BPSK_000_000_+06dB.npy,SFM,BPSK,5,8,6,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+09dB,dual/train/signals/SFM_BPSK_000_000_+09dB.npy,SFM,BPSK,5,8,9,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+12dB,dual/train/signals/SFM_BPSK_000_000_+12dB.npy,SFM,BPSK,5,8,12,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+15dB,dual/train/signals/SFM_BPSK_000_000_+15dB.npy,SFM,BPSK,5,8,15,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+18dB,dual/train/signals/SFM_BPSK_000_000_+18dB.npy,SFM,BPSK,5,8,18,0.48045559784061587,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-12dB,dual/train/signals/SFM_BPSK_000_001_-12dB.npy,SFM,BPSK,5,8,-12,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-09dB,dual/train/signals/SFM_BPSK_000_001_-09dB.npy,SFM,BPSK,5,8,-9,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-06dB,dual/train/signals/SFM_BPSK_000_001_-06dB.npy,SFM,BPSK,5,8,-6,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-03dB,dual/train/signals/SFM_BPSK_000_001_-03dB.npy,SFM,BPSK,5,8,-3,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+00dB,dual/train/signals/SFM_BPSK_000_001_+00dB.npy,SFM,BPSK,5,8,0,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+03dB,dual/train/signals/SFM_BPSK_000_001_+03dB.npy,SFM,BPSK,5,8,3,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+06dB,dual/train/signals/SFM_BPSK_000_001_+06dB.npy,SFM,BPSK,5,8,6,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+09dB,dual/train/signals/SFM_BPSK_000_001_+09dB.npy,SFM,BPSK,5,8,9,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+12dB,dual/train/signals/SFM_BPSK_000_001_+12dB.npy,SFM,BPSK,5,8,12,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+15dB,dual/train/signals/SFM_BPSK_000_001_+15dB.npy,SFM,BPSK,5,8,15,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+18dB,dual/train/signals/SFM_BPSK_000_001_+18dB.npy,SFM,BPSK,5,8,18,0.35955777084564733,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-12dB,dual/train/signals/SFM_BPSK_000_002_-12dB.npy,SFM,BPSK,5,8,-12,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-09dB,dual/train/signals/SFM_BPSK_000_002_-09dB.npy,SFM,BPSK,5,8,-9,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-06dB,dual/train/signals/SFM_BPSK_000_002_-06dB.npy,SFM,BPSK,5,8,-6,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-03dB,dual/train/signals/SFM_BPSK_000_002_-03dB.npy,SFM,BPSK,5,8,-3,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+00dB,dual/train/signals/SFM_BPSK_000_002_+00dB.npy,SFM,BPSK,5,8,0,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+03dB,dual/train/signals/SFM_BPSK_000_002_+03dB.npy,SFM,BPSK,5,8,3,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+06dB,dual/train/signals/SFM_BPSK_000_002_+06dB.npy,SFM,BPSK,5,8,6,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+09dB,dual/train/signals/SFM_BPSK_000_002_+09dB.npy,SFM,BPSK,5,8,9,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+12dB,dual/train/signals/SFM_BPSK_000_002_+12dB.npy,SFM,BPSK,5,8,12,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+15dB,dual/train/signals/SFM_BPSK_000_002_+15dB.npy,SFM,BPSK,5,8,15,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
