signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_QFSK_000_000_-12dB,dual/train/signals/SFM_QFSK_000_000_-12dB.npy,SFM,QFSK,5,7,-12,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_-09dB,dual/train/signals/SFM_QFSK_000_000_-09dB.npy,SFM,QFSK,5,7,-9,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_-06dB,dual/train/signals/SFM_QFSK_000_000_-06dB.npy,SFM,QFSK,5,7,-6,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_-03dB,dual/train/signals/SFM_QFSK_000_000_-03dB.npy,SFM,QFSK,5,7,-3,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+00dB,dual/train/signals/SFM_QFSK_000_000_+00dB.npy,SFM,QFSK,5,7,0,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+03dB,dual/train/signals/SFM_QFSK_000_000_+03dB.npy,SFM,QFSK,5,7,3,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+06dB,dual/train/signals/SFM_QFSK_000_000_+06dB.npy,SFM,QFSK,5,7,6,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+09dB,dual/train/signals/SFM_QFSK_000_000_+09dB.npy,SFM,QFSK,5,7,9,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+12dB,dual/train/signals/SFM_QFSK_000_000_+12dB.npy,SFM,QFSK,5,7,12,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_QFSK_000_000_+15dB,dual/train/signals/SFM_QFSK_000_000_+15dB.npy,SFM,QFSK,5,7,15,0.25584788439826756,1,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
