signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
DLFM_0000_-12dB,single/train/signals/DLFM_0000_-12dB.npy,DLFM,2,-12,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-09dB,single/train/signals/DLFM_0000_-09dB.npy,DLFM,2,-9,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-06dB,single/train/signals/DLFM_0000_-06dB.npy,DLFM,2,-6,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-03dB,single/train/signals/DLFM_0000_-03dB.npy,DLFM,2,-3,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+00dB,single/train/signals/DLFM_0000_+00dB.npy,DLFM,2,0,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+03dB,single/train/signals/DLFM_0000_+03dB.npy,DLFM,2,3,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+06dB,single/train/signals/DLFM_0000_+06dB.npy,DLFM,2,6,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+09dB,single/train/signals/DLFM_0000_+09dB.npy,DLFM,2,9,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+12dB,single/train/signals/DLFM_0000_+12dB.npy,DLFM,2,12,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+15dB,single/train/signals/DLFM_0000_+15dB.npy,DLFM,2,15,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+18dB,single/train/signals/DLFM_0000_+18dB.npy,DLFM,2,18,"{'f0': 0.07704484354006441, 'delta_f': 0.06251420305813729}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-12dB,single/train/signals/DLFM_0001_-12dB.npy,DLFM,2,-12,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-09dB,single/train/signals/DLFM_0001_-09dB.npy,DLFM,2,-9,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-06dB,single/train/signals/DLFM_0001_-06dB.npy,DLFM,2,-6,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-03dB,single/train/signals/DLFM_0001_-03dB.npy,DLFM,2,-3,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+00dB,single/train/signals/DLFM_0001_+00dB.npy,DLFM,2,0,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+03dB,single/train/signals/DLFM_0001_+03dB.npy,DLFM,2,3,"{'f0': 0.18541990472570777, 'delta_f': 0.33287864491166536}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
