signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_BPSK_0000_-12dB,single/train/signals/LFM_BPSK_0000_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-09dB,single/train/signals/LFM_BPSK_0000_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-06dB,single/train/signals/LFM_BPSK_0000_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-03dB,single/train/signals/LFM_BPSK_0000_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+00dB,single/train/signals/LFM_BPSK_0000_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+03dB,single/train/signals/LFM_BPSK_0000_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+06dB,single/train/signals/LFM_BPSK_0000_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+09dB,single/train/signals/LFM_BPSK_0000_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+12dB,single/train/signals/LFM_BPSK_0000_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+15dB,single/train/signals/LFM_BPSK_0000_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+18dB,single/train/signals/LFM_BPSK_0000_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.09455028782344149, 'delta_f': 0.11795857995901672, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-12dB,single/train/signals/LFM_BPSK_0001_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-09dB,single/train/signals/LFM_BPSK_0001_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-06dB,single/train/signals/LFM_BPSK_0001_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-03dB,single/train/signals/LFM_BPSK_0001_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+00dB,single/train/signals/LFM_BPSK_0001_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+03dB,single/train/signals/LFM_BPSK_0001_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+06dB,single/train/signals/LFM_BPSK_0001_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+09dB,single/train/signals/LFM_BPSK_0001_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+12dB,single/train/signals/LFM_BPSK_0001_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+15dB,single/train/signals/LFM_BPSK_0001_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+18dB,single/train/signals/LFM_BPSK_0001_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.4102384127720721, 'delta_f': 0.39694633197902046, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-12dB,single/train/signals/LFM_BPSK_0002_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.22830432917675791, 'delta_f': 0.10688342575477211, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-09dB,single/train/signals/LFM_BPSK_0002_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.22830432917675791, 'delta_f': 0.10688342575477211, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-06dB,single/train/signals/LFM_BPSK_0002_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.22830432917675791, 'delta_f': 0.10688342575477211, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-03dB,single/train/signals/LFM_BPSK_0002_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.22830432917675791, 'delta_f': 0.10688342575477211, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
