signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_0000_-12dB,single/train/signals/LFM_0000_-12dB.npy,LFM,1,-12,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-09dB,single/train/signals/LFM_0000_-09dB.npy,LFM,1,-9,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-06dB,single/train/signals/LFM_0000_-06dB.npy,LFM,1,-6,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-03dB,single/train/signals/LFM_0000_-03dB.npy,LFM,1,-3,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+00dB,single/train/signals/LFM_0000_+00dB.npy,LFM,1,0,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+03dB,single/train/signals/LFM_0000_+03dB.npy,LFM,1,3,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+06dB,single/train/signals/LFM_0000_+06dB.npy,LFM,1,6,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+09dB,single/train/signals/LFM_0000_+09dB.npy,LFM,1,9,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+12dB,single/train/signals/LFM_0000_+12dB.npy,LFM,1,12,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+15dB,single/train/signals/LFM_0000_+15dB.npy,LFM,1,15,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+18dB,single/train/signals/LFM_0000_+18dB.npy,LFM,1,18,"{'f0': 0.15848462457552948, 'delta_f': 0.3323921137906171, 'direction': np.int64(-1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-12dB,single/train/signals/LFM_0001_-12dB.npy,LFM,1,-12,"{'f0': 0.36922703062006357, 'delta_f': 0.1720804029069245, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
