signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
MLFM_0000_-12dB,single/train/signals/MLFM_0000_-12dB.npy,MLFM,3,-12,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_-09dB,single/train/signals/MLFM_0000_-09dB.npy,MLFM,3,-9,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_-06dB,single/train/signals/MLFM_0000_-06dB.npy,MLFM,3,-6,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_-03dB,single/train/signals/MLFM_0000_-03dB.npy,MLFM,3,-3,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+00dB,single/train/signals/MLFM_0000_+00dB.npy,MLFM,3,0,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+03dB,single/train/signals/MLFM_0000_+03dB.npy,MLFM,3,3,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+06dB,single/train/signals/MLFM_0000_+06dB.npy,MLFM,3,6,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+09dB,single/train/signals/MLFM_0000_+09dB.npy,MLFM,3,9,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+12dB,single/train/signals/MLFM_0000_+12dB.npy,MLFM,3,12,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+15dB,single/train/signals/MLFM_0000_+15dB.npy,MLFM,3,15,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+18dB,single/train/signals/MLFM_0000_+18dB.npy,MLFM,3,18,"{'f0': 0.22739228474570528, 'delta_f': 0.22789199740662885, 'r': 0.56538694519599}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_-12dB,single/train/signals/MLFM_0001_-12dB.npy,MLFM,3,-12,"{'f0': 0.2926417119277961, 'delta_f': 0.25666507478786976, 'r': 0.6354528961248777}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
