signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
QFSK_0000_-12dB,single/train/signals/QFSK_0000_-12dB.npy,QFSK,7,-12,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_-09dB,single/train/signals/QFSK_0000_-09dB.npy,QFSK,7,-9,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_-06dB,single/train/signals/QFSK_0000_-06dB.npy,QFSK,7,-6,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_-03dB,single/train/signals/QFSK_0000_-03dB.npy,QFSK,7,-3,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+00dB,single/train/signals/QFSK_0000_+00dB.npy,QFSK,7,0,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+03dB,single/train/signals/QFSK_0000_+03dB.npy,QFSK,7,3,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+06dB,single/train/signals/QFSK_0000_+06dB.npy,QFSK,7,6,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+09dB,single/train/signals/QFSK_0000_+09dB.npy,QFSK,7,9,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+12dB,single/train/signals/QFSK_0000_+12dB.npy,QFSK,7,12,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+15dB,single/train/signals/QFSK_0000_+15dB.npy,QFSK,7,15,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0000_+18dB,single/train/signals/QFSK_0000_+18dB.npy,QFSK,7,18,"{'f': 0.23252727501380416, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0001_-12dB,single/train/signals/QFSK_0001_-12dB.npy,QFSK,7,-12,"{'f': 0.4465023336682547, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0001_-09dB,single/train/signals/QFSK_0001_-09dB.npy,QFSK,7,-9,"{'f': 0.4465023336682547, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0001_-06dB,single/train/signals/QFSK_0001_-06dB.npy,QFSK,7,-6,"{'f': 0.4465023336682547, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
QFSK_0001_-03dB,single/train/signals/QFSK_0001_-03dB.npy,QFSK,7,-3,"{'f': 0.4465023336682547, 'N_value': 4}",0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
