signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
SFM_0000_-12dB,single/train/signals/SFM_0000_-12dB.npy,SFM,5,-12,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-09dB,single/train/signals/SFM_0000_-09dB.npy,SFM,5,-9,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-06dB,single/train/signals/SFM_0000_-06dB.npy,SFM,5,-6,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-03dB,single/train/signals/SFM_0000_-03dB.npy,SFM,5,-3,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+00dB,single/train/signals/SFM_0000_+00dB.npy,SFM,5,0,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+03dB,single/train/signals/SFM_0000_+03dB.npy,SFM,5,3,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+06dB,single/train/signals/SFM_0000_+06dB.npy,SFM,5,6,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+09dB,single/train/signals/SFM_0000_+09dB.npy,SFM,5,9,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+12dB,single/train/signals/SFM_0000_+12dB.npy,SFM,5,12,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+15dB,single/train/signals/SFM_0000_+15dB.npy,SFM,5,15,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+18dB,single/train/signals/SFM_0000_+18dB.npy,SFM,5,18,"{'fmin': 0.07921201620059008, 'delta_f': 0.2509434626645033, 'fSFM': 1.312865607328955, 'phiSFM': 3.1240196352008986}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-12dB,single/train/signals/SFM_0001_-12dB.npy,SFM,5,-12,"{'fmin': 0.0603667435835158, 'delta_f': 0.175616601415993, 'fSFM': 9.901226638791362, 'phiSFM': 0.0068279246725660775}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-09dB,single/train/signals/SFM_0001_-09dB.npy,SFM,5,-9,"{'fmin': 0.0603667435835158, 'delta_f': 0.175616601415993, 'fSFM': 9.901226638791362, 'phiSFM': 0.0068279246725660775}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-06dB,single/train/signals/SFM_0001_-06dB.npy,SFM,5,-6,"{'fmin': 0.0603667435835158, 'delta_f': 0.175616601415993, 'fSFM': 9.901226638791362, 'phiSFM': 0.0068279246725660775}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
