signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_P4_000_000_-12dB,dual/train/signals/BFSK_P4_000_000_-12dB.npy,BFSK,P4,6,13,-12,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_-09dB,dual/train/signals/BFSK_P4_000_000_-09dB.npy,BFSK,P4,6,13,-9,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_-06dB,dual/train/signals/BFSK_P4_000_000_-06dB.npy,BFSK,P4,6,13,-6,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_-03dB,dual/train/signals/BFSK_P4_000_000_-03dB.npy,BFSK,P4,6,13,-3,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+00dB,dual/train/signals/BFSK_P4_000_000_+00dB.npy,BFSK,P4,6,13,0,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+03dB,dual/train/signals/BFSK_P4_000_000_+03dB.npy,BFSK,P4,6,13,3,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+06dB,dual/train/signals/BFSK_P4_000_000_+06dB.npy,BFSK,P4,6,13,6,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+09dB,dual/train/signals/BFSK_P4_000_000_+09dB.npy,BFSK,P4,6,13,9,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+12dB,dual/train/signals/BFSK_P4_000_000_+12dB.npy,BFSK,P4,6,13,12,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+15dB,dual/train/signals/BFSK_P4_000_000_+15dB.npy,BFSK,P4,6,13,15,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_000_+18dB,dual/train/signals/BFSK_P4_000_000_+18dB.npy,BFSK,P4,6,13,18,0.2638862654247409,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_-12dB,dual/train/signals/BFSK_P4_000_001_-12dB.npy,BFSK,P4,6,13,-12,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_-09dB,dual/train/signals/BFSK_P4_000_001_-09dB.npy,BFSK,P4,6,13,-9,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_-06dB,dual/train/signals/BFSK_P4_000_001_-06dB.npy,BFSK,P4,6,13,-6,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_-03dB,dual/train/signals/BFSK_P4_000_001_-03dB.npy,BFSK,P4,6,13,-3,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+00dB,dual/train/signals/BFSK_P4_000_001_+00dB.npy,BFSK,P4,6,13,0,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+03dB,dual/train/signals/BFSK_P4_000_001_+03dB.npy,BFSK,P4,6,13,3,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+06dB,dual/train/signals/BFSK_P4_000_001_+06dB.npy,BFSK,P4,6,13,6,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+09dB,dual/train/signals/BFSK_P4_000_001_+09dB.npy,BFSK,P4,6,13,9,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+12dB,dual/train/signals/BFSK_P4_000_001_+12dB.npy,BFSK,P4,6,13,12,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+15dB,dual/train/signals/BFSK_P4_000_001_+15dB.npy,BFSK,P4,6,13,15,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_001_+18dB,dual/train/signals/BFSK_P4_000_001_+18dB.npy,BFSK,P4,6,13,18,0.4972741005001189,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_-12dB,dual/train/signals/BFSK_P4_000_002_-12dB.npy,BFSK,P4,6,13,-12,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_-09dB,dual/train/signals/BFSK_P4_000_002_-09dB.npy,BFSK,P4,6,13,-9,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_-06dB,dual/train/signals/BFSK_P4_000_002_-06dB.npy,BFSK,P4,6,13,-6,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_-03dB,dual/train/signals/BFSK_P4_000_002_-03dB.npy,BFSK,P4,6,13,-3,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+00dB,dual/train/signals/BFSK_P4_000_002_+00dB.npy,BFSK,P4,6,13,0,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+03dB,dual/train/signals/BFSK_P4_000_002_+03dB.npy,BFSK,P4,6,13,3,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+06dB,dual/train/signals/BFSK_P4_000_002_+06dB.npy,BFSK,P4,6,13,6,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+09dB,dual/train/signals/BFSK_P4_000_002_+09dB.npy,BFSK,P4,6,13,9,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+12dB,dual/train/signals/BFSK_P4_000_002_+12dB.npy,BFSK,P4,6,13,12,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+15dB,dual/train/signals/BFSK_P4_000_002_+15dB.npy,BFSK,P4,6,13,15,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_002_+18dB,dual/train/signals/BFSK_P4_000_002_+18dB.npy,BFSK,P4,6,13,18,0.4271283334658123,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_-12dB,dual/train/signals/BFSK_P4_000_003_-12dB.npy,BFSK,P4,6,13,-12,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_-09dB,dual/train/signals/BFSK_P4_000_003_-09dB.npy,BFSK,P4,6,13,-9,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_-06dB,dual/train/signals/BFSK_P4_000_003_-06dB.npy,BFSK,P4,6,13,-6,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_-03dB,dual/train/signals/BFSK_P4_000_003_-03dB.npy,BFSK,P4,6,13,-3,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+00dB,dual/train/signals/BFSK_P4_000_003_+00dB.npy,BFSK,P4,6,13,0,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+03dB,dual/train/signals/BFSK_P4_000_003_+03dB.npy,BFSK,P4,6,13,3,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+06dB,dual/train/signals/BFSK_P4_000_003_+06dB.npy,BFSK,P4,6,13,6,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+09dB,dual/train/signals/BFSK_P4_000_003_+09dB.npy,BFSK,P4,6,13,9,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+12dB,dual/train/signals/BFSK_P4_000_003_+12dB.npy,BFSK,P4,6,13,12,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+15dB,dual/train/signals/BFSK_P4_000_003_+15dB.npy,BFSK,P4,6,13,15,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_003_+18dB,dual/train/signals/BFSK_P4_000_003_+18dB.npy,BFSK,P4,6,13,18,0.48848665939088853,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_-12dB,dual/train/signals/BFSK_P4_000_004_-12dB.npy,BFSK,P4,6,13,-12,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_-09dB,dual/train/signals/BFSK_P4_000_004_-09dB.npy,BFSK,P4,6,13,-9,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_-06dB,dual/train/signals/BFSK_P4_000_004_-06dB.npy,BFSK,P4,6,13,-6,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_-03dB,dual/train/signals/BFSK_P4_000_004_-03dB.npy,BFSK,P4,6,13,-3,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+00dB,dual/train/signals/BFSK_P4_000_004_+00dB.npy,BFSK,P4,6,13,0,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+03dB,dual/train/signals/BFSK_P4_000_004_+03dB.npy,BFSK,P4,6,13,3,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+06dB,dual/train/signals/BFSK_P4_000_004_+06dB.npy,BFSK,P4,6,13,6,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+09dB,dual/train/signals/BFSK_P4_000_004_+09dB.npy,BFSK,P4,6,13,9,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+12dB,dual/train/signals/BFSK_P4_000_004_+12dB.npy,BFSK,P4,6,13,12,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+15dB,dual/train/signals/BFSK_P4_000_004_+15dB.npy,BFSK,P4,6,13,15,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_004_+18dB,dual/train/signals/BFSK_P4_000_004_+18dB.npy,BFSK,P4,6,13,18,0.26868566093544594,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_-12dB,dual/train/signals/BFSK_P4_000_005_-12dB.npy,BFSK,P4,6,13,-12,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_-09dB,dual/train/signals/BFSK_P4_000_005_-09dB.npy,BFSK,P4,6,13,-9,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_-06dB,dual/train/signals/BFSK_P4_000_005_-06dB.npy,BFSK,P4,6,13,-6,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_-03dB,dual/train/signals/BFSK_P4_000_005_-03dB.npy,BFSK,P4,6,13,-3,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+00dB,dual/train/signals/BFSK_P4_000_005_+00dB.npy,BFSK,P4,6,13,0,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+03dB,dual/train/signals/BFSK_P4_000_005_+03dB.npy,BFSK,P4,6,13,3,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+06dB,dual/train/signals/BFSK_P4_000_005_+06dB.npy,BFSK,P4,6,13,6,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+09dB,dual/train/signals/BFSK_P4_000_005_+09dB.npy,BFSK,P4,6,13,9,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+12dB,dual/train/signals/BFSK_P4_000_005_+12dB.npy,BFSK,P4,6,13,12,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+15dB,dual/train/signals/BFSK_P4_000_005_+15dB.npy,BFSK,P4,6,13,15,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_005_+18dB,dual/train/signals/BFSK_P4_000_005_+18dB.npy,BFSK,P4,6,13,18,0.3615964637571597,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_-12dB,dual/train/signals/BFSK_P4_000_006_-12dB.npy,BFSK,P4,6,13,-12,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_-09dB,dual/train/signals/BFSK_P4_000_006_-09dB.npy,BFSK,P4,6,13,-9,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_-06dB,dual/train/signals/BFSK_P4_000_006_-06dB.npy,BFSK,P4,6,13,-6,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_-03dB,dual/train/signals/BFSK_P4_000_006_-03dB.npy,BFSK,P4,6,13,-3,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+00dB,dual/train/signals/BFSK_P4_000_006_+00dB.npy,BFSK,P4,6,13,0,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+03dB,dual/train/signals/BFSK_P4_000_006_+03dB.npy,BFSK,P4,6,13,3,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+06dB,dual/train/signals/BFSK_P4_000_006_+06dB.npy,BFSK,P4,6,13,6,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+09dB,dual/train/signals/BFSK_P4_000_006_+09dB.npy,BFSK,P4,6,13,9,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+12dB,dual/train/signals/BFSK_P4_000_006_+12dB.npy,BFSK,P4,6,13,12,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+15dB,dual/train/signals/BFSK_P4_000_006_+15dB.npy,BFSK,P4,6,13,15,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_006_+18dB,dual/train/signals/BFSK_P4_000_006_+18dB.npy,BFSK,P4,6,13,18,0.2569070944079287,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_007_-12dB,dual/train/signals/BFSK_P4_000_007_-12dB.npy,BFSK,P4,6,13,-12,0.4863791983529892,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_007_-09dB,dual/train/signals/BFSK_P4_000_007_-09dB.npy,BFSK,P4,6,13,-9,0.4863791983529892,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_007_-06dB,dual/train/signals/BFSK_P4_000_007_-06dB.npy,BFSK,P4,6,13,-6,0.4863791983529892,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_007_-03dB,dual/train/signals/BFSK_P4_000_007_-03dB.npy,BFSK,P4,6,13,-3,0.4863791983529892,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
BFSK_P4_000_007_+00dB,dual/train/signals/BFSK_P4_000_007_+00dB.npy,BFSK,P4,6,13,0,0.4863791983529892,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
