signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BPSK_BPSK_000_000_-12dB,dual/train/signals/BPSK_BPSK_000_000_-12dB.npy,BPSK,BPSK,8,8,-12,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_-09dB,dual/train/signals/BPSK_BPSK_000_000_-09dB.npy,BPSK,BPSK,8,8,-9,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_-06dB,dual/train/signals/BPSK_BPSK_000_000_-06dB.npy,BPSK,BPSK,8,8,-6,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_-03dB,dual/train/signals/BPSK_BPSK_000_000_-03dB.npy,BPSK,BPSK,8,8,-3,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+00dB,dual/train/signals/BPSK_BPSK_000_000_+00dB.npy,BPSK,BPSK,8,8,0,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+03dB,dual/train/signals/BPSK_BPSK_000_000_+03dB.npy,BPSK,BPSK,8,8,3,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+06dB,dual/train/signals/BPSK_BPSK_000_000_+06dB.npy,BPSK,BPSK,8,8,6,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+09dB,dual/train/signals/BPSK_BPSK_000_000_+09dB.npy,BPSK,BPSK,8,8,9,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+12dB,dual/train/signals/BPSK_BPSK_000_000_+12dB.npy,BPSK,BPSK,8,8,12,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+15dB,dual/train/signals/BPSK_BPSK_000_000_+15dB.npy,BPSK,BPSK,8,8,15,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+18dB,dual/train/signals/BPSK_BPSK_000_000_+18dB.npy,BPSK,BPSK,8,8,18,0.3371301477920243,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_-12dB,dual/train/signals/BPSK_BPSK_000_001_-12dB.npy,BPSK,BPSK,8,8,-12,0.28859532143102706,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_-09dB,dual/train/signals/BPSK_BPSK_000_001_-09dB.npy,BPSK,BPSK,8,8,-9,0.28859532143102706,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
