signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_BPSK_000_000_-12dB,dual/train/signals/DLFM_BPSK_000_000_-12dB.npy,DLFM,BPSK,2,8,-12,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_-09dB,dual/train/signals/DLFM_BPSK_000_000_-09dB.npy,DLFM,BPSK,2,8,-9,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_-06dB,dual/train/signals/DLFM_BPSK_000_000_-06dB.npy,DLFM,BPSK,2,8,-6,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_-03dB,dual/train/signals/DLFM_BPSK_000_000_-03dB.npy,DLFM,BPSK,2,8,-3,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+00dB,dual/train/signals/DLFM_BPSK_000_000_+00dB.npy,DLFM,BPSK,2,8,0,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+03dB,dual/train/signals/DLFM_BPSK_000_000_+03dB.npy,DLFM,BPSK,2,8,3,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+06dB,dual/train/signals/DLFM_BPSK_000_000_+06dB.npy,DLFM,BPSK,2,8,6,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+09dB,dual/train/signals/DLFM_BPSK_000_000_+09dB.npy,DLFM,BPSK,2,8,9,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+12dB,dual/train/signals/DLFM_BPSK_000_000_+12dB.npy,DLFM,BPSK,2,8,12,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+15dB,dual/train/signals/DLFM_BPSK_000_000_+15dB.npy,DLFM,BPSK,2,8,15,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_000_+18dB,dual/train/signals/DLFM_BPSK_000_000_+18dB.npy,DLFM,BPSK,2,8,18,0.4449124608614943,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_-12dB,dual/train/signals/DLFM_BPSK_000_001_-12dB.npy,DLFM,BPSK,2,8,-12,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_-09dB,dual/train/signals/DLFM_BPSK_000_001_-09dB.npy,DLFM,BPSK,2,8,-9,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_-06dB,dual/train/signals/DLFM_BPSK_000_001_-06dB.npy,DLFM,BPSK,2,8,-6,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_-03dB,dual/train/signals/DLFM_BPSK_000_001_-03dB.npy,DLFM,BPSK,2,8,-3,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_+00dB,dual/train/signals/DLFM_BPSK_000_001_+00dB.npy,DLFM,BPSK,2,8,0,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_+03dB,dual/train/signals/DLFM_BPSK_000_001_+03dB.npy,DLFM,BPSK,2,8,3,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_+06dB,dual/train/signals/DLFM_BPSK_000_001_+06dB.npy,DLFM,BPSK,2,8,6,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
DLFM_BPSK_000_001_+09dB,dual/train/signals/DLFM_BPSK_000_001_+09dB.npy,DLFM,BPSK,2,8,9,0.48673609843315324,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
