signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_MLFM_000_000_-12dB,dual/train/signals/DLFM_MLFM_000_000_-12dB.npy,DLFM,MLFM,2,3,-12,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_-09dB,dual/train/signals/DLFM_MLFM_000_000_-09dB.npy,DLFM,MLFM,2,3,-9,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_-06dB,dual/train/signals/DLFM_MLFM_000_000_-06dB.npy,DLFM,MLFM,2,3,-6,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_-03dB,dual/train/signals/DLFM_MLFM_000_000_-03dB.npy,DLFM,MLFM,2,3,-3,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+00dB,dual/train/signals/DLFM_MLFM_000_000_+00dB.npy,DLFM,MLFM,2,3,0,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+03dB,dual/train/signals/DLFM_MLFM_000_000_+03dB.npy,DLFM,MLFM,2,3,3,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+06dB,dual/train/signals/DLFM_MLFM_000_000_+06dB.npy,DLFM,MLFM,2,3,6,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+09dB,dual/train/signals/DLFM_MLFM_000_000_+09dB.npy,DLFM,MLFM,2,3,9,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+12dB,dual/train/signals/DLFM_MLFM_000_000_+12dB.npy,DLFM,MLFM,2,3,12,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_MLFM_000_000_+15dB,dual/train/signals/DLFM_MLFM_000_000_+15dB.npy,DLFM,MLFM,2,3,15,0.25646520616896584,1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
