signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_P2_000_000_-12dB,dual/train/signals/DLFM_P2_000_000_-12dB.npy,DLFM,P2,2,11,-12,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_-09dB,dual/train/signals/DLFM_P2_000_000_-09dB.npy,DLFM,P2,2,11,-9,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_-06dB,dual/train/signals/DLFM_P2_000_000_-06dB.npy,DLFM,P2,2,11,-6,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_-03dB,dual/train/signals/DLFM_P2_000_000_-03dB.npy,DLFM,P2,2,11,-3,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+00dB,dual/train/signals/DLFM_P2_000_000_+00dB.npy,DLFM,P2,2,11,0,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+03dB,dual/train/signals/DLFM_P2_000_000_+03dB.npy,DLFM,P2,2,11,3,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+06dB,dual/train/signals/DLFM_P2_000_000_+06dB.npy,DLFM,P2,2,11,6,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+09dB,dual/train/signals/DLFM_P2_000_000_+09dB.npy,DLFM,P2,2,11,9,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+12dB,dual/train/signals/DLFM_P2_000_000_+12dB.npy,DLFM,P2,2,11,12,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+15dB,dual/train/signals/DLFM_P2_000_000_+15dB.npy,DLFM,P2,2,11,15,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_000_+18dB,dual/train/signals/DLFM_P2_000_000_+18dB.npy,DLFM,P2,2,11,18,0.3514250495814059,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_-12dB,dual/train/signals/DLFM_P2_000_001_-12dB.npy,DLFM,P2,2,11,-12,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_-09dB,dual/train/signals/DLFM_P2_000_001_-09dB.npy,DLFM,P2,2,11,-9,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_-06dB,dual/train/signals/DLFM_P2_000_001_-06dB.npy,DLFM,P2,2,11,-6,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_-03dB,dual/train/signals/DLFM_P2_000_001_-03dB.npy,DLFM,P2,2,11,-3,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+00dB,dual/train/signals/DLFM_P2_000_001_+00dB.npy,DLFM,P2,2,11,0,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+03dB,dual/train/signals/DLFM_P2_000_001_+03dB.npy,DLFM,P2,2,11,3,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+06dB,dual/train/signals/DLFM_P2_000_001_+06dB.npy,DLFM,P2,2,11,6,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+09dB,dual/train/signals/DLFM_P2_000_001_+09dB.npy,DLFM,P2,2,11,9,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+12dB,dual/train/signals/DLFM_P2_000_001_+12dB.npy,DLFM,P2,2,11,12,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+15dB,dual/train/signals/DLFM_P2_000_001_+15dB.npy,DLFM,P2,2,11,15,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_001_+18dB,dual/train/signals/DLFM_P2_000_001_+18dB.npy,DLFM,P2,2,11,18,0.40981438266019743,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_002_-12dB,dual/train/signals/DLFM_P2_000_002_-12dB.npy,DLFM,P2,2,11,-12,0.4817307857459792,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_002_-09dB,dual/train/signals/DLFM_P2_000_002_-09dB.npy,DLFM,P2,2,11,-9,0.4817307857459792,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
DLFM_P2_000_002_-06dB,dual/train/signals/DLFM_P2_000_002_-06dB.npy,DLFM,P2,2,11,-6,0.4817307857459792,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
