signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_EQFM_000_000_-12dB,dual/train/signals/EQFM_EQFM_000_000_-12dB.npy,EQFM,EQFM,4,4,-12,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_-09dB,dual/train/signals/EQFM_EQFM_000_000_-09dB.npy,EQFM,EQFM,4,4,-9,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_-06dB,dual/train/signals/EQFM_EQFM_000_000_-06dB.npy,EQFM,EQFM,4,4,-6,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_-03dB,dual/train/signals/EQFM_EQFM_000_000_-03dB.npy,EQFM,EQFM,4,4,-3,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+00dB,dual/train/signals/EQFM_EQFM_000_000_+00dB.npy,EQFM,EQFM,4,4,0,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+03dB,dual/train/signals/EQFM_EQFM_000_000_+03dB.npy,EQFM,EQFM,4,4,3,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+06dB,dual/train/signals/EQFM_EQFM_000_000_+06dB.npy,EQFM,EQFM,4,4,6,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+09dB,dual/train/signals/EQFM_EQFM_000_000_+09dB.npy,EQFM,EQFM,4,4,9,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+12dB,dual/train/signals/EQFM_EQFM_000_000_+12dB.npy,EQFM,EQFM,4,4,12,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+15dB,dual/train/signals/EQFM_EQFM_000_000_+15dB.npy,EQFM,EQFM,4,4,15,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_000_+18dB,dual/train/signals/EQFM_EQFM_000_000_+18dB.npy,EQFM,EQFM,4,4,18,0.2915023407963458,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_-12dB,dual/train/signals/EQFM_EQFM_000_001_-12dB.npy,EQFM,EQFM,4,4,-12,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_-09dB,dual/train/signals/EQFM_EQFM_000_001_-09dB.npy,EQFM,EQFM,4,4,-9,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_-06dB,dual/train/signals/EQFM_EQFM_000_001_-06dB.npy,EQFM,EQFM,4,4,-6,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_-03dB,dual/train/signals/EQFM_EQFM_000_001_-03dB.npy,EQFM,EQFM,4,4,-3,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+00dB,dual/train/signals/EQFM_EQFM_000_001_+00dB.npy,EQFM,EQFM,4,4,0,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+03dB,dual/train/signals/EQFM_EQFM_000_001_+03dB.npy,EQFM,EQFM,4,4,3,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+06dB,dual/train/signals/EQFM_EQFM_000_001_+06dB.npy,EQFM,EQFM,4,4,6,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+09dB,dual/train/signals/EQFM_EQFM_000_001_+09dB.npy,EQFM,EQFM,4,4,9,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+12dB,dual/train/signals/EQFM_EQFM_000_001_+12dB.npy,EQFM,EQFM,4,4,12,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+15dB,dual/train/signals/EQFM_EQFM_000_001_+15dB.npy,EQFM,EQFM,4,4,15,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_001_+18dB,dual/train/signals/EQFM_EQFM_000_001_+18dB.npy,EQFM,EQFM,4,4,18,0.2790431708295323,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_002_-12dB,dual/train/signals/EQFM_EQFM_000_002_-12dB.npy,EQFM,EQFM,4,4,-12,0.4212222940638761,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_002_-09dB,dual/train/signals/EQFM_EQFM_000_002_-09dB.npy,EQFM,EQFM,4,4,-9,0.4212222940638761,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_002_-06dB,dual/train/signals/EQFM_EQFM_000_002_-06dB.npy,EQFM,EQFM,4,4,-6,0.4212222940638761,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_EQFM_000_002_-03dB,dual/train/signals/EQFM_EQFM_000_002_-03dB.npy,EQFM,EQFM,4,4,-3,0.4212222940638761,1,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
