signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_Frank_000_000_-12dB,dual/train/signals/EQFM_Frank_000_000_-12dB.npy,EQFM,Frank,4,9,-12,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_-09dB,dual/train/signals/EQFM_Frank_000_000_-09dB.npy,EQFM,Frank,4,9,-9,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_-06dB,dual/train/signals/EQFM_Frank_000_000_-06dB.npy,EQFM,Frank,4,9,-6,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_-03dB,dual/train/signals/EQFM_Frank_000_000_-03dB.npy,EQFM,Frank,4,9,-3,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+00dB,dual/train/signals/EQFM_Frank_000_000_+00dB.npy,EQFM,Frank,4,9,0,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+03dB,dual/train/signals/EQFM_Frank_000_000_+03dB.npy,EQFM,Frank,4,9,3,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+06dB,dual/train/signals/EQFM_Frank_000_000_+06dB.npy,EQFM,Frank,4,9,6,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+09dB,dual/train/signals/EQFM_Frank_000_000_+09dB.npy,EQFM,Frank,4,9,9,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+12dB,dual/train/signals/EQFM_Frank_000_000_+12dB.npy,EQFM,Frank,4,9,12,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+15dB,dual/train/signals/EQFM_Frank_000_000_+15dB.npy,EQFM,Frank,4,9,15,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_000_+18dB,dual/train/signals/EQFM_Frank_000_000_+18dB.npy,EQFM,Frank,4,9,18,0.43485963830395247,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_001_-12dB,dual/train/signals/EQFM_Frank_000_001_-12dB.npy,EQFM,Frank,4,9,-12,0.25426659993924794,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_001_-09dB,dual/train/signals/EQFM_Frank_000_001_-09dB.npy,EQFM,Frank,4,9,-9,0.25426659993924794,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_001_-06dB,dual/train/signals/EQFM_Frank_000_001_-06dB.npy,EQFM,Frank,4,9,-6,0.25426659993924794,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_001_-03dB,dual/train/signals/EQFM_Frank_000_001_-03dB.npy,EQFM,Frank,4,9,-3,0.25426659993924794,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EQFM_Frank_000_001_+00dB,dual/train/signals/EQFM_Frank_000_001_+00dB.npy,EQFM,Frank,4,9,0,0.25426659993924794,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
