signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_P4_000_000_-12dB,dual/train/signals/EQFM_P4_000_000_-12dB.npy,EQFM,P4,4,13,-12,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_-09dB,dual/train/signals/EQFM_P4_000_000_-09dB.npy,EQFM,P4,4,13,-9,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_-06dB,dual/train/signals/EQFM_P4_000_000_-06dB.npy,EQFM,P4,4,13,-6,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_-03dB,dual/train/signals/EQFM_P4_000_000_-03dB.npy,EQFM,P4,4,13,-3,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+00dB,dual/train/signals/EQFM_P4_000_000_+00dB.npy,EQFM,P4,4,13,0,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+03dB,dual/train/signals/EQFM_P4_000_000_+03dB.npy,EQFM,P4,4,13,3,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+06dB,dual/train/signals/EQFM_P4_000_000_+06dB.npy,EQFM,P4,4,13,6,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+09dB,dual/train/signals/EQFM_P4_000_000_+09dB.npy,EQFM,P4,4,13,9,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+12dB,dual/train/signals/EQFM_P4_000_000_+12dB.npy,EQFM,P4,4,13,12,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+15dB,dual/train/signals/EQFM_P4_000_000_+15dB.npy,EQFM,P4,4,13,15,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_000_+18dB,dual/train/signals/EQFM_P4_000_000_+18dB.npy,EQFM,P4,4,13,18,0.49828082186302447,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_-12dB,dual/train/signals/EQFM_P4_000_001_-12dB.npy,EQFM,P4,4,13,-12,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_-09dB,dual/train/signals/EQFM_P4_000_001_-09dB.npy,EQFM,P4,4,13,-9,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_-06dB,dual/train/signals/EQFM_P4_000_001_-06dB.npy,EQFM,P4,4,13,-6,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_-03dB,dual/train/signals/EQFM_P4_000_001_-03dB.npy,EQFM,P4,4,13,-3,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+00dB,dual/train/signals/EQFM_P4_000_001_+00dB.npy,EQFM,P4,4,13,0,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+03dB,dual/train/signals/EQFM_P4_000_001_+03dB.npy,EQFM,P4,4,13,3,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+06dB,dual/train/signals/EQFM_P4_000_001_+06dB.npy,EQFM,P4,4,13,6,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+09dB,dual/train/signals/EQFM_P4_000_001_+09dB.npy,EQFM,P4,4,13,9,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+12dB,dual/train/signals/EQFM_P4_000_001_+12dB.npy,EQFM,P4,4,13,12,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+15dB,dual/train/signals/EQFM_P4_000_001_+15dB.npy,EQFM,P4,4,13,15,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_001_+18dB,dual/train/signals/EQFM_P4_000_001_+18dB.npy,EQFM,P4,4,13,18,0.492259967751561,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_-12dB,dual/train/signals/EQFM_P4_000_002_-12dB.npy,EQFM,P4,4,13,-12,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_-09dB,dual/train/signals/EQFM_P4_000_002_-09dB.npy,EQFM,P4,4,13,-9,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_-06dB,dual/train/signals/EQFM_P4_000_002_-06dB.npy,EQFM,P4,4,13,-6,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_-03dB,dual/train/signals/EQFM_P4_000_002_-03dB.npy,EQFM,P4,4,13,-3,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_+00dB,dual/train/signals/EQFM_P4_000_002_+00dB.npy,EQFM,P4,4,13,0,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
EQFM_P4_000_002_+03dB,dual/train/signals/EQFM_P4_000_002_+03dB.npy,EQFM,P4,4,13,3,0.2885370622018375,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
