signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
Frank_Frank_000_000_-12dB,dual/train/signals/Frank_Frank_000_000_-12dB.npy,Frank,Frank,9,9,-12,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_-09dB,dual/train/signals/Frank_Frank_000_000_-09dB.npy,Frank,Frank,9,9,-9,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_-06dB,dual/train/signals/Frank_Frank_000_000_-06dB.npy,Frank,Frank,9,9,-6,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_-03dB,dual/train/signals/Frank_Frank_000_000_-03dB.npy,Frank,Frank,9,9,-3,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+00dB,dual/train/signals/Frank_Frank_000_000_+00dB.npy,Frank,Frank,9,9,0,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+03dB,dual/train/signals/Frank_Frank_000_000_+03dB.npy,Frank,Frank,9,9,3,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+06dB,dual/train/signals/Frank_Frank_000_000_+06dB.npy,Frank,Frank,9,9,6,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+09dB,dual/train/signals/Frank_Frank_000_000_+09dB.npy,Frank,Frank,9,9,9,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+12dB,dual/train/signals/Frank_Frank_000_000_+12dB.npy,Frank,Frank,9,9,12,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+15dB,dual/train/signals/Frank_Frank_000_000_+15dB.npy,Frank,Frank,9,9,15,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_000_+18dB,dual/train/signals/Frank_Frank_000_000_+18dB.npy,Frank,Frank,9,9,18,0.37063483527350716,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_-12dB,dual/train/signals/Frank_Frank_000_001_-12dB.npy,Frank,Frank,9,9,-12,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_-09dB,dual/train/signals/Frank_Frank_000_001_-09dB.npy,Frank,Frank,9,9,-9,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_-06dB,dual/train/signals/Frank_Frank_000_001_-06dB.npy,Frank,Frank,9,9,-6,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_-03dB,dual/train/signals/Frank_Frank_000_001_-03dB.npy,Frank,Frank,9,9,-3,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+00dB,dual/train/signals/Frank_Frank_000_001_+00dB.npy,Frank,Frank,9,9,0,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+03dB,dual/train/signals/Frank_Frank_000_001_+03dB.npy,Frank,Frank,9,9,3,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+06dB,dual/train/signals/Frank_Frank_000_001_+06dB.npy,Frank,Frank,9,9,6,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+09dB,dual/train/signals/Frank_Frank_000_001_+09dB.npy,Frank,Frank,9,9,9,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+12dB,dual/train/signals/Frank_Frank_000_001_+12dB.npy,Frank,Frank,9,9,12,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+15dB,dual/train/signals/Frank_Frank_000_001_+15dB.npy,Frank,Frank,9,9,15,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_001_+18dB,dual/train/signals/Frank_Frank_000_001_+18dB.npy,Frank,Frank,9,9,18,0.4266560699230828,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_-12dB,dual/train/signals/Frank_Frank_000_002_-12dB.npy,Frank,Frank,9,9,-12,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_-09dB,dual/train/signals/Frank_Frank_000_002_-09dB.npy,Frank,Frank,9,9,-9,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_-06dB,dual/train/signals/Frank_Frank_000_002_-06dB.npy,Frank,Frank,9,9,-6,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_-03dB,dual/train/signals/Frank_Frank_000_002_-03dB.npy,Frank,Frank,9,9,-3,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+00dB,dual/train/signals/Frank_Frank_000_002_+00dB.npy,Frank,Frank,9,9,0,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+03dB,dual/train/signals/Frank_Frank_000_002_+03dB.npy,Frank,Frank,9,9,3,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+06dB,dual/train/signals/Frank_Frank_000_002_+06dB.npy,Frank,Frank,9,9,6,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+09dB,dual/train/signals/Frank_Frank_000_002_+09dB.npy,Frank,Frank,9,9,9,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+12dB,dual/train/signals/Frank_Frank_000_002_+12dB.npy,Frank,Frank,9,9,12,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+15dB,dual/train/signals/Frank_Frank_000_002_+15dB.npy,Frank,Frank,9,9,15,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_002_+18dB,dual/train/signals/Frank_Frank_000_002_+18dB.npy,Frank,Frank,9,9,18,0.40847508537593546,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_003_-12dB,dual/train/signals/Frank_Frank_000_003_-12dB.npy,Frank,Frank,9,9,-12,0.25427594270633147,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_003_-09dB,dual/train/signals/Frank_Frank_000_003_-09dB.npy,Frank,Frank,9,9,-9,0.25427594270633147,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_003_-06dB,dual/train/signals/Frank_Frank_000_003_-06dB.npy,Frank,Frank,9,9,-6,0.25427594270633147,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_003_-03dB,dual/train/signals/Frank_Frank_000_003_-03dB.npy,Frank,Frank,9,9,-3,0.25427594270633147,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Frank_Frank_000_003_+00dB,dual/train/signals/Frank_Frank_000_003_+00dB.npy,Frank,Frank,9,9,0,0.25427594270633147,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
