signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
Frank_P4_000_000_-12dB,dual/train/signals/Frank_P4_000_000_-12dB.npy,Frank,P4,9,13,-12,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-09dB,dual/train/signals/Frank_P4_000_000_-09dB.npy,Frank,P4,9,13,-9,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-06dB,dual/train/signals/Frank_P4_000_000_-06dB.npy,Frank,P4,9,13,-6,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-03dB,dual/train/signals/Frank_P4_000_000_-03dB.npy,Frank,P4,9,13,-3,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+00dB,dual/train/signals/Frank_P4_000_000_+00dB.npy,Frank,P4,9,13,0,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+03dB,dual/train/signals/Frank_P4_000_000_+03dB.npy,Frank,P4,9,13,3,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+06dB,dual/train/signals/Frank_P4_000_000_+06dB.npy,Frank,P4,9,13,6,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+09dB,dual/train/signals/Frank_P4_000_000_+09dB.npy,Frank,P4,9,13,9,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+12dB,dual/train/signals/Frank_P4_000_000_+12dB.npy,Frank,P4,9,13,12,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+15dB,dual/train/signals/Frank_P4_000_000_+15dB.npy,Frank,P4,9,13,15,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+18dB,dual/train/signals/Frank_P4_000_000_+18dB.npy,Frank,P4,9,13,18,0.2944686392559787,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-12dB,dual/train/signals/Frank_P4_000_001_-12dB.npy,Frank,P4,9,13,-12,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-09dB,dual/train/signals/Frank_P4_000_001_-09dB.npy,Frank,P4,9,13,-9,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-06dB,dual/train/signals/Frank_P4_000_001_-06dB.npy,Frank,P4,9,13,-6,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-03dB,dual/train/signals/Frank_P4_000_001_-03dB.npy,Frank,P4,9,13,-3,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+00dB,dual/train/signals/Frank_P4_000_001_+00dB.npy,Frank,P4,9,13,0,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+03dB,dual/train/signals/Frank_P4_000_001_+03dB.npy,Frank,P4,9,13,3,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+06dB,dual/train/signals/Frank_P4_000_001_+06dB.npy,Frank,P4,9,13,6,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+09dB,dual/train/signals/Frank_P4_000_001_+09dB.npy,Frank,P4,9,13,9,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+12dB,dual/train/signals/Frank_P4_000_001_+12dB.npy,Frank,P4,9,13,12,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+15dB,dual/train/signals/Frank_P4_000_001_+15dB.npy,Frank,P4,9,13,15,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+18dB,dual/train/signals/Frank_P4_000_001_+18dB.npy,Frank,P4,9,13,18,0.45824577371878294,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_002_-12dB,dual/train/signals/Frank_P4_000_002_-12dB.npy,Frank,P4,9,13,-12,0.3223257673303245,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
