signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_BFSK_000_000_-12dB,dual/train/signals/MLFM_BFSK_000_000_-12dB.npy,MLFM,BFSK,3,6,-12,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-09dB,dual/train/signals/MLFM_BFSK_000_000_-09dB.npy,MLFM,BFSK,3,6,-9,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-06dB,dual/train/signals/MLFM_BFSK_000_000_-06dB.npy,MLFM,BFSK,3,6,-6,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-03dB,dual/train/signals/MLFM_BFSK_000_000_-03dB.npy,MLFM,BFSK,3,6,-3,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+00dB,dual/train/signals/MLFM_BFSK_000_000_+00dB.npy,MLFM,BFSK,3,6,0,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+03dB,dual/train/signals/MLFM_BFSK_000_000_+03dB.npy,MLFM,BFSK,3,6,3,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+06dB,dual/train/signals/MLFM_BFSK_000_000_+06dB.npy,MLFM,BFSK,3,6,6,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+09dB,dual/train/signals/MLFM_BFSK_000_000_+09dB.npy,MLFM,BFSK,3,6,9,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+12dB,dual/train/signals/MLFM_BFSK_000_000_+12dB.npy,MLFM,BFSK,3,6,12,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+15dB,dual/train/signals/MLFM_BFSK_000_000_+15dB.npy,MLFM,BFSK,3,6,15,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+18dB,dual/train/signals/MLFM_BFSK_000_000_+18dB.npy,MLFM,BFSK,3,6,18,0.4852914148074836,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-12dB,dual/train/signals/MLFM_BFSK_000_001_-12dB.npy,MLFM,BFSK,3,6,-12,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-09dB,dual/train/signals/MLFM_BFSK_000_001_-09dB.npy,MLFM,BFSK,3,6,-9,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-06dB,dual/train/signals/MLFM_BFSK_000_001_-06dB.npy,MLFM,BFSK,3,6,-6,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-03dB,dual/train/signals/MLFM_BFSK_000_001_-03dB.npy,MLFM,BFSK,3,6,-3,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+00dB,dual/train/signals/MLFM_BFSK_000_001_+00dB.npy,MLFM,BFSK,3,6,0,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+03dB,dual/train/signals/MLFM_BFSK_000_001_+03dB.npy,MLFM,BFSK,3,6,3,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+06dB,dual/train/signals/MLFM_BFSK_000_001_+06dB.npy,MLFM,BFSK,3,6,6,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+09dB,dual/train/signals/MLFM_BFSK_000_001_+09dB.npy,MLFM,BFSK,3,6,9,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+12dB,dual/train/signals/MLFM_BFSK_000_001_+12dB.npy,MLFM,BFSK,3,6,12,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+15dB,dual/train/signals/MLFM_BFSK_000_001_+15dB.npy,MLFM,BFSK,3,6,15,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+18dB,dual/train/signals/MLFM_BFSK_000_001_+18dB.npy,MLFM,BFSK,3,6,18,0.28091124558272906,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-12dB,dual/train/signals/MLFM_BFSK_000_002_-12dB.npy,MLFM,BFSK,3,6,-12,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-09dB,dual/train/signals/MLFM_BFSK_000_002_-09dB.npy,MLFM,BFSK,3,6,-9,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-06dB,dual/train/signals/MLFM_BFSK_000_002_-06dB.npy,MLFM,BFSK,3,6,-6,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-03dB,dual/train/signals/MLFM_BFSK_000_002_-03dB.npy,MLFM,BFSK,3,6,-3,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+00dB,dual/train/signals/MLFM_BFSK_000_002_+00dB.npy,MLFM,BFSK,3,6,0,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+03dB,dual/train/signals/MLFM_BFSK_000_002_+03dB.npy,MLFM,BFSK,3,6,3,0.4935115859205139,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
