signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_Frank_000_000_-12dB,dual/train/signals/MLFM_Frank_000_000_-12dB.npy,MLFM,Frank,3,9,-12,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_-09dB,dual/train/signals/MLFM_Frank_000_000_-09dB.npy,MLFM,Frank,3,9,-9,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_-06dB,dual/train/signals/MLFM_Frank_000_000_-06dB.npy,MLFM,Frank,3,9,-6,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_-03dB,dual/train/signals/MLFM_Frank_000_000_-03dB.npy,MLFM,Frank,3,9,-3,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+00dB,dual/train/signals/MLFM_Frank_000_000_+00dB.npy,MLFM,Frank,3,9,0,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+03dB,dual/train/signals/MLFM_Frank_000_000_+03dB.npy,MLFM,Frank,3,9,3,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+06dB,dual/train/signals/MLFM_Frank_000_000_+06dB.npy,MLFM,Frank,3,9,6,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+09dB,dual/train/signals/MLFM_Frank_000_000_+09dB.npy,MLFM,Frank,3,9,9,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+12dB,dual/train/signals/MLFM_Frank_000_000_+12dB.npy,MLFM,Frank,3,9,12,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+15dB,dual/train/signals/MLFM_Frank_000_000_+15dB.npy,MLFM,Frank,3,9,15,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+18dB,dual/train/signals/MLFM_Frank_000_000_+18dB.npy,MLFM,Frank,3,9,18,0.263766976738003,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-12dB,dual/train/signals/MLFM_Frank_000_001_-12dB.npy,MLFM,Frank,3,9,-12,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-09dB,dual/train/signals/MLFM_Frank_000_001_-09dB.npy,MLFM,Frank,3,9,-9,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-06dB,dual/train/signals/MLFM_Frank_000_001_-06dB.npy,MLFM,Frank,3,9,-6,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-03dB,dual/train/signals/MLFM_Frank_000_001_-03dB.npy,MLFM,Frank,3,9,-3,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+00dB,dual/train/signals/MLFM_Frank_000_001_+00dB.npy,MLFM,Frank,3,9,0,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+03dB,dual/train/signals/MLFM_Frank_000_001_+03dB.npy,MLFM,Frank,3,9,3,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+06dB,dual/train/signals/MLFM_Frank_000_001_+06dB.npy,MLFM,Frank,3,9,6,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+09dB,dual/train/signals/MLFM_Frank_000_001_+09dB.npy,MLFM,Frank,3,9,9,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+12dB,dual/train/signals/MLFM_Frank_000_001_+12dB.npy,MLFM,Frank,3,9,12,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+15dB,dual/train/signals/MLFM_Frank_000_001_+15dB.npy,MLFM,Frank,3,9,15,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+18dB,dual/train/signals/MLFM_Frank_000_001_+18dB.npy,MLFM,Frank,3,9,18,0.30744520171918555,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-12dB,dual/train/signals/MLFM_Frank_000_002_-12dB.npy,MLFM,Frank,3,9,-12,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-09dB,dual/train/signals/MLFM_Frank_000_002_-09dB.npy,MLFM,Frank,3,9,-9,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-06dB,dual/train/signals/MLFM_Frank_000_002_-06dB.npy,MLFM,Frank,3,9,-6,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-03dB,dual/train/signals/MLFM_Frank_000_002_-03dB.npy,MLFM,Frank,3,9,-3,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+00dB,dual/train/signals/MLFM_Frank_000_002_+00dB.npy,MLFM,Frank,3,9,0,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+03dB,dual/train/signals/MLFM_Frank_000_002_+03dB.npy,MLFM,Frank,3,9,3,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+06dB,dual/train/signals/MLFM_Frank_000_002_+06dB.npy,MLFM,Frank,3,9,6,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+09dB,dual/train/signals/MLFM_Frank_000_002_+09dB.npy,MLFM,Frank,3,9,9,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+12dB,dual/train/signals/MLFM_Frank_000_002_+12dB.npy,MLFM,Frank,3,9,12,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+15dB,dual/train/signals/MLFM_Frank_000_002_+15dB.npy,MLFM,Frank,3,9,15,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+18dB,dual/train/signals/MLFM_Frank_000_002_+18dB.npy,MLFM,Frank,3,9,18,0.26896233512020873,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-12dB,dual/train/signals/MLFM_Frank_000_003_-12dB.npy,MLFM,Frank,3,9,-12,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-09dB,dual/train/signals/MLFM_Frank_000_003_-09dB.npy,MLFM,Frank,3,9,-9,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-06dB,dual/train/signals/MLFM_Frank_000_003_-06dB.npy,MLFM,Frank,3,9,-6,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-03dB,dual/train/signals/MLFM_Frank_000_003_-03dB.npy,MLFM,Frank,3,9,-3,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+00dB,dual/train/signals/MLFM_Frank_000_003_+00dB.npy,MLFM,Frank,3,9,0,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+03dB,dual/train/signals/MLFM_Frank_000_003_+03dB.npy,MLFM,Frank,3,9,3,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+06dB,dual/train/signals/MLFM_Frank_000_003_+06dB.npy,MLFM,Frank,3,9,6,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+09dB,dual/train/signals/MLFM_Frank_000_003_+09dB.npy,MLFM,Frank,3,9,9,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+12dB,dual/train/signals/MLFM_Frank_000_003_+12dB.npy,MLFM,Frank,3,9,12,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+15dB,dual/train/signals/MLFM_Frank_000_003_+15dB.npy,MLFM,Frank,3,9,15,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+18dB,dual/train/signals/MLFM_Frank_000_003_+18dB.npy,MLFM,Frank,3,9,18,0.39358191263685705,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-12dB,dual/train/signals/MLFM_Frank_000_004_-12dB.npy,MLFM,Frank,3,9,-12,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-09dB,dual/train/signals/MLFM_Frank_000_004_-09dB.npy,MLFM,Frank,3,9,-9,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-06dB,dual/train/signals/MLFM_Frank_000_004_-06dB.npy,MLFM,Frank,3,9,-6,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-03dB,dual/train/signals/MLFM_Frank_000_004_-03dB.npy,MLFM,Frank,3,9,-3,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+00dB,dual/train/signals/MLFM_Frank_000_004_+00dB.npy,MLFM,Frank,3,9,0,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+03dB,dual/train/signals/MLFM_Frank_000_004_+03dB.npy,MLFM,Frank,3,9,3,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+06dB,dual/train/signals/MLFM_Frank_000_004_+06dB.npy,MLFM,Frank,3,9,6,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+09dB,dual/train/signals/MLFM_Frank_000_004_+09dB.npy,MLFM,Frank,3,9,9,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+12dB,dual/train/signals/MLFM_Frank_000_004_+12dB.npy,MLFM,Frank,3,9,12,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+15dB,dual/train/signals/MLFM_Frank_000_004_+15dB.npy,MLFM,Frank,3,9,15,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+18dB,dual/train/signals/MLFM_Frank_000_004_+18dB.npy,MLFM,Frank,3,9,18,0.326658311355178,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-12dB,dual/train/signals/MLFM_Frank_000_005_-12dB.npy,MLFM,Frank,3,9,-12,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-09dB,dual/train/signals/MLFM_Frank_000_005_-09dB.npy,MLFM,Frank,3,9,-9,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-06dB,dual/train/signals/MLFM_Frank_000_005_-06dB.npy,MLFM,Frank,3,9,-6,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-03dB,dual/train/signals/MLFM_Frank_000_005_-03dB.npy,MLFM,Frank,3,9,-3,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+00dB,dual/train/signals/MLFM_Frank_000_005_+00dB.npy,MLFM,Frank,3,9,0,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+03dB,dual/train/signals/MLFM_Frank_000_005_+03dB.npy,MLFM,Frank,3,9,3,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+06dB,dual/train/signals/MLFM_Frank_000_005_+06dB.npy,MLFM,Frank,3,9,6,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+09dB,dual/train/signals/MLFM_Frank_000_005_+09dB.npy,MLFM,Frank,3,9,9,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+12dB,dual/train/signals/MLFM_Frank_000_005_+12dB.npy,MLFM,Frank,3,9,12,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+15dB,dual/train/signals/MLFM_Frank_000_005_+15dB.npy,MLFM,Frank,3,9,15,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+18dB,dual/train/signals/MLFM_Frank_000_005_+18dB.npy,MLFM,Frank,3,9,18,0.4223830818433255,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-12dB,dual/train/signals/MLFM_Frank_000_006_-12dB.npy,MLFM,Frank,3,9,-12,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-09dB,dual/train/signals/MLFM_Frank_000_006_-09dB.npy,MLFM,Frank,3,9,-9,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-06dB,dual/train/signals/MLFM_Frank_000_006_-06dB.npy,MLFM,Frank,3,9,-6,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-03dB,dual/train/signals/MLFM_Frank_000_006_-03dB.npy,MLFM,Frank,3,9,-3,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+00dB,dual/train/signals/MLFM_Frank_000_006_+00dB.npy,MLFM,Frank,3,9,0,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+03dB,dual/train/signals/MLFM_Frank_000_006_+03dB.npy,MLFM,Frank,3,9,3,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+06dB,dual/train/signals/MLFM_Frank_000_006_+06dB.npy,MLFM,Frank,3,9,6,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+09dB,dual/train/signals/MLFM_Frank_000_006_+09dB.npy,MLFM,Frank,3,9,9,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+12dB,dual/train/signals/MLFM_Frank_000_006_+12dB.npy,MLFM,Frank,3,9,12,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+15dB,dual/train/signals/MLFM_Frank_000_006_+15dB.npy,MLFM,Frank,3,9,15,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+18dB,dual/train/signals/MLFM_Frank_000_006_+18dB.npy,MLFM,Frank,3,9,18,0.4550796068470422,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-12dB,dual/train/signals/MLFM_Frank_000_007_-12dB.npy,MLFM,Frank,3,9,-12,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-09dB,dual/train/signals/MLFM_Frank_000_007_-09dB.npy,MLFM,Frank,3,9,-9,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-06dB,dual/train/signals/MLFM_Frank_000_007_-06dB.npy,MLFM,Frank,3,9,-6,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-03dB,dual/train/signals/MLFM_Frank_000_007_-03dB.npy,MLFM,Frank,3,9,-3,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+00dB,dual/train/signals/MLFM_Frank_000_007_+00dB.npy,MLFM,Frank,3,9,0,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+03dB,dual/train/signals/MLFM_Frank_000_007_+03dB.npy,MLFM,Frank,3,9,3,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+06dB,dual/train/signals/MLFM_Frank_000_007_+06dB.npy,MLFM,Frank,3,9,6,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+09dB,dual/train/signals/MLFM_Frank_000_007_+09dB.npy,MLFM,Frank,3,9,9,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+12dB,dual/train/signals/MLFM_Frank_000_007_+12dB.npy,MLFM,Frank,3,9,12,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+15dB,dual/train/signals/MLFM_Frank_000_007_+15dB.npy,MLFM,Frank,3,9,15,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+18dB,dual/train/signals/MLFM_Frank_000_007_+18dB.npy,MLFM,Frank,3,9,18,0.29026441294259203,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_-12dB,dual/train/signals/MLFM_Frank_000_008_-12dB.npy,MLFM,Frank,3,9,-12,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_-09dB,dual/train/signals/MLFM_Frank_000_008_-09dB.npy,MLFM,Frank,3,9,-9,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_-06dB,dual/train/signals/MLFM_Frank_000_008_-06dB.npy,MLFM,Frank,3,9,-6,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_-03dB,dual/train/signals/MLFM_Frank_000_008_-03dB.npy,MLFM,Frank,3,9,-3,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+00dB,dual/train/signals/MLFM_Frank_000_008_+00dB.npy,MLFM,Frank,3,9,0,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+03dB,dual/train/signals/MLFM_Frank_000_008_+03dB.npy,MLFM,Frank,3,9,3,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+06dB,dual/train/signals/MLFM_Frank_000_008_+06dB.npy,MLFM,Frank,3,9,6,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+09dB,dual/train/signals/MLFM_Frank_000_008_+09dB.npy,MLFM,Frank,3,9,9,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+12dB,dual/train/signals/MLFM_Frank_000_008_+12dB.npy,MLFM,Frank,3,9,12,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+15dB,dual/train/signals/MLFM_Frank_000_008_+15dB.npy,MLFM,Frank,3,9,15,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_008_+18dB,dual/train/signals/MLFM_Frank_000_008_+18dB.npy,MLFM,Frank,3,9,18,0.43109798307702485,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_009_-12dB,dual/train/signals/MLFM_Frank_000_009_-12dB.npy,MLFM,Frank,3,9,-12,0.3391544642815145,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
