signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_MLFM_000_000_-12dB,dual/train/signals/MLFM_MLFM_000_000_-12dB.npy,MLFM,MLFM,3,3,-12,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-09dB,dual/train/signals/MLFM_MLFM_000_000_-09dB.npy,MLFM,MLFM,3,3,-9,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-06dB,dual/train/signals/MLFM_MLFM_000_000_-06dB.npy,MLFM,MLFM,3,3,-6,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_-03dB,dual/train/signals/MLFM_MLFM_000_000_-03dB.npy,MLFM,MLFM,3,3,-3,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+00dB,dual/train/signals/MLFM_MLFM_000_000_+00dB.npy,MLFM,MLFM,3,3,0,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+03dB,dual/train/signals/MLFM_MLFM_000_000_+03dB.npy,MLFM,MLFM,3,3,3,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+06dB,dual/train/signals/MLFM_MLFM_000_000_+06dB.npy,MLFM,MLFM,3,3,6,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+09dB,dual/train/signals/MLFM_MLFM_000_000_+09dB.npy,MLFM,MLFM,3,3,9,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+12dB,dual/train/signals/MLFM_MLFM_000_000_+12dB.npy,MLFM,MLFM,3,3,12,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+15dB,dual/train/signals/MLFM_MLFM_000_000_+15dB.npy,MLFM,MLFM,3,3,15,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_000_+18dB,dual/train/signals/MLFM_MLFM_000_000_+18dB.npy,MLFM,MLFM,3,3,18,0.35013109342726323,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-12dB,dual/train/signals/MLFM_MLFM_000_001_-12dB.npy,MLFM,MLFM,3,3,-12,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-09dB,dual/train/signals/MLFM_MLFM_000_001_-09dB.npy,MLFM,MLFM,3,3,-9,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-06dB,dual/train/signals/MLFM_MLFM_000_001_-06dB.npy,MLFM,MLFM,3,3,-6,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_-03dB,dual/train/signals/MLFM_MLFM_000_001_-03dB.npy,MLFM,MLFM,3,3,-3,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+00dB,dual/train/signals/MLFM_MLFM_000_001_+00dB.npy,MLFM,MLFM,3,3,0,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+03dB,dual/train/signals/MLFM_MLFM_000_001_+03dB.npy,MLFM,MLFM,3,3,3,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+06dB,dual/train/signals/MLFM_MLFM_000_001_+06dB.npy,MLFM,MLFM,3,3,6,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+09dB,dual/train/signals/MLFM_MLFM_000_001_+09dB.npy,MLFM,MLFM,3,3,9,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_MLFM_000_001_+12dB,dual/train/signals/MLFM_MLFM_000_001_+12dB.npy,MLFM,MLFM,3,3,12,0.4487507351170821,1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
