signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_P3_000_000_-12dB,dual/train/signals/MLFM_P3_000_000_-12dB.npy,MLFM,P3,3,12,-12,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_-09dB,dual/train/signals/MLFM_P3_000_000_-09dB.npy,MLFM,P3,3,12,-9,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_-06dB,dual/train/signals/MLFM_P3_000_000_-06dB.npy,MLFM,P3,3,12,-6,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_-03dB,dual/train/signals/MLFM_P3_000_000_-03dB.npy,MLFM,P3,3,12,-3,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+00dB,dual/train/signals/MLFM_P3_000_000_+00dB.npy,MLFM,P3,3,12,0,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+03dB,dual/train/signals/MLFM_P3_000_000_+03dB.npy,MLFM,P3,3,12,3,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+06dB,dual/train/signals/MLFM_P3_000_000_+06dB.npy,MLFM,P3,3,12,6,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+09dB,dual/train/signals/MLFM_P3_000_000_+09dB.npy,MLFM,P3,3,12,9,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+12dB,dual/train/signals/MLFM_P3_000_000_+12dB.npy,MLFM,P3,3,12,12,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+15dB,dual/train/signals/MLFM_P3_000_000_+15dB.npy,MLFM,P3,3,12,15,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_000_+18dB,dual/train/signals/MLFM_P3_000_000_+18dB.npy,MLFM,P3,3,12,18,0.4662603967508012,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_-12dB,dual/train/signals/MLFM_P3_000_001_-12dB.npy,MLFM,P3,3,12,-12,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_-09dB,dual/train/signals/MLFM_P3_000_001_-09dB.npy,MLFM,P3,3,12,-9,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_-06dB,dual/train/signals/MLFM_P3_000_001_-06dB.npy,MLFM,P3,3,12,-6,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_-03dB,dual/train/signals/MLFM_P3_000_001_-03dB.npy,MLFM,P3,3,12,-3,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+00dB,dual/train/signals/MLFM_P3_000_001_+00dB.npy,MLFM,P3,3,12,0,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+03dB,dual/train/signals/MLFM_P3_000_001_+03dB.npy,MLFM,P3,3,12,3,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+06dB,dual/train/signals/MLFM_P3_000_001_+06dB.npy,MLFM,P3,3,12,6,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+09dB,dual/train/signals/MLFM_P3_000_001_+09dB.npy,MLFM,P3,3,12,9,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+12dB,dual/train/signals/MLFM_P3_000_001_+12dB.npy,MLFM,P3,3,12,12,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+15dB,dual/train/signals/MLFM_P3_000_001_+15dB.npy,MLFM,P3,3,12,15,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_001_+18dB,dual/train/signals/MLFM_P3_000_001_+18dB.npy,MLFM,P3,3,12,18,0.3940082977448037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_002_-12dB,dual/train/signals/MLFM_P3_000_002_-12dB.npy,MLFM,P3,3,12,-12,0.41170066078293244,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_002_-09dB,dual/train/signals/MLFM_P3_000_002_-09dB.npy,MLFM,P3,3,12,-9,0.41170066078293244,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_002_-06dB,dual/train/signals/MLFM_P3_000_002_-06dB.npy,MLFM,P3,3,12,-6,0.41170066078293244,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
MLFM_P3_000_002_-03dB,dual/train/signals/MLFM_P3_000_002_-03dB.npy,MLFM,P3,3,12,-3,0.41170066078293244,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
