signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_QFSK_000_000_-12dB,dual/train/signals/MLFM_QFSK_000_000_-12dB.npy,MLFM,QFSK,3,7,-12,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_-09dB,dual/train/signals/MLFM_QFSK_000_000_-09dB.npy,MLFM,QFSK,3,7,-9,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_-06dB,dual/train/signals/MLFM_QFSK_000_000_-06dB.npy,MLFM,QFSK,3,7,-6,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_-03dB,dual/train/signals/MLFM_QFSK_000_000_-03dB.npy,MLFM,QFSK,3,7,-3,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+00dB,dual/train/signals/MLFM_QFSK_000_000_+00dB.npy,MLFM,QFSK,3,7,0,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+03dB,dual/train/signals/MLFM_QFSK_000_000_+03dB.npy,MLFM,QFSK,3,7,3,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+06dB,dual/train/signals/MLFM_QFSK_000_000_+06dB.npy,MLFM,QFSK,3,7,6,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+09dB,dual/train/signals/MLFM_QFSK_000_000_+09dB.npy,MLFM,QFSK,3,7,9,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+12dB,dual/train/signals/MLFM_QFSK_000_000_+12dB.npy,MLFM,QFSK,3,7,12,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+15dB,dual/train/signals/MLFM_QFSK_000_000_+15dB.npy,MLFM,QFSK,3,7,15,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_000_+18dB,dual/train/signals/MLFM_QFSK_000_000_+18dB.npy,MLFM,QFSK,3,7,18,0.40335413957078703,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_-12dB,dual/train/signals/MLFM_QFSK_000_001_-12dB.npy,MLFM,QFSK,3,7,-12,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_-09dB,dual/train/signals/MLFM_QFSK_000_001_-09dB.npy,MLFM,QFSK,3,7,-9,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_-06dB,dual/train/signals/MLFM_QFSK_000_001_-06dB.npy,MLFM,QFSK,3,7,-6,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_-03dB,dual/train/signals/MLFM_QFSK_000_001_-03dB.npy,MLFM,QFSK,3,7,-3,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+00dB,dual/train/signals/MLFM_QFSK_000_001_+00dB.npy,MLFM,QFSK,3,7,0,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+03dB,dual/train/signals/MLFM_QFSK_000_001_+03dB.npy,MLFM,QFSK,3,7,3,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+06dB,dual/train/signals/MLFM_QFSK_000_001_+06dB.npy,MLFM,QFSK,3,7,6,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+09dB,dual/train/signals/MLFM_QFSK_000_001_+09dB.npy,MLFM,QFSK,3,7,9,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+12dB,dual/train/signals/MLFM_QFSK_000_001_+12dB.npy,MLFM,QFSK,3,7,12,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+15dB,dual/train/signals/MLFM_QFSK_000_001_+15dB.npy,MLFM,QFSK,3,7,15,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_001_+18dB,dual/train/signals/MLFM_QFSK_000_001_+18dB.npy,MLFM,QFSK,3,7,18,0.33114227434576726,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_002_-12dB,dual/train/signals/MLFM_QFSK_000_002_-12dB.npy,MLFM,QFSK,3,7,-12,0.48157586807158603,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_002_-09dB,dual/train/signals/MLFM_QFSK_000_002_-09dB.npy,MLFM,QFSK,3,7,-9,0.48157586807158603,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_002_-06dB,dual/train/signals/MLFM_QFSK_000_002_-06dB.npy,MLFM,QFSK,3,7,-6,0.48157586807158603,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_002_-03dB,dual/train/signals/MLFM_QFSK_000_002_-03dB.npy,MLFM,QFSK,3,7,-3,0.48157586807158603,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_QFSK_000_002_+00dB,dual/train/signals/MLFM_QFSK_000_002_+00dB.npy,MLFM,QFSK,3,7,0,0.48157586807158603,1,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
