signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_BFSK_000_000_-12dB,dual/train/signals/NM_BFSK_000_000_-12dB.npy,NM,BFSK,0,6,-12,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-09dB,dual/train/signals/NM_BFSK_000_000_-09dB.npy,NM,BFSK,0,6,-9,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-06dB,dual/train/signals/NM_BFSK_000_000_-06dB.npy,NM,BFSK,0,6,-6,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-03dB,dual/train/signals/NM_BFSK_000_000_-03dB.npy,NM,BFSK,0,6,-3,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+00dB,dual/train/signals/NM_BFSK_000_000_+00dB.npy,NM,BFSK,0,6,0,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+03dB,dual/train/signals/NM_BFSK_000_000_+03dB.npy,NM,BFSK,0,6,3,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+06dB,dual/train/signals/NM_BFSK_000_000_+06dB.npy,NM,BFSK,0,6,6,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+09dB,dual/train/signals/NM_BFSK_000_000_+09dB.npy,NM,BFSK,0,6,9,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+12dB,dual/train/signals/NM_BFSK_000_000_+12dB.npy,NM,BFSK,0,6,12,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+15dB,dual/train/signals/NM_BFSK_000_000_+15dB.npy,NM,BFSK,0,6,15,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+18dB,dual/train/signals/NM_BFSK_000_000_+18dB.npy,NM,BFSK,0,6,18,0.269933272076372,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-12dB,dual/train/signals/NM_BFSK_000_001_-12dB.npy,NM,BFSK,0,6,-12,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-09dB,dual/train/signals/NM_BFSK_000_001_-09dB.npy,NM,BFSK,0,6,-9,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-06dB,dual/train/signals/NM_BFSK_000_001_-06dB.npy,NM,BFSK,0,6,-6,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-03dB,dual/train/signals/NM_BFSK_000_001_-03dB.npy,NM,BFSK,0,6,-3,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+00dB,dual/train/signals/NM_BFSK_000_001_+00dB.npy,NM,BFSK,0,6,0,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+03dB,dual/train/signals/NM_BFSK_000_001_+03dB.npy,NM,BFSK,0,6,3,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+06dB,dual/train/signals/NM_BFSK_000_001_+06dB.npy,NM,BFSK,0,6,6,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+09dB,dual/train/signals/NM_BFSK_000_001_+09dB.npy,NM,BFSK,0,6,9,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+12dB,dual/train/signals/NM_BFSK_000_001_+12dB.npy,NM,BFSK,0,6,12,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+15dB,dual/train/signals/NM_BFSK_000_001_+15dB.npy,NM,BFSK,0,6,15,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+18dB,dual/train/signals/NM_BFSK_000_001_+18dB.npy,NM,BFSK,0,6,18,0.34061265028707904,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-12dB,dual/train/signals/NM_BFSK_000_002_-12dB.npy,NM,BFSK,0,6,-12,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-09dB,dual/train/signals/NM_BFSK_000_002_-09dB.npy,NM,BFSK,0,6,-9,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-06dB,dual/train/signals/NM_BFSK_000_002_-06dB.npy,NM,BFSK,0,6,-6,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-03dB,dual/train/signals/NM_BFSK_000_002_-03dB.npy,NM,BFSK,0,6,-3,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+00dB,dual/train/signals/NM_BFSK_000_002_+00dB.npy,NM,BFSK,0,6,0,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+03dB,dual/train/signals/NM_BFSK_000_002_+03dB.npy,NM,BFSK,0,6,3,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+06dB,dual/train/signals/NM_BFSK_000_002_+06dB.npy,NM,BFSK,0,6,6,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+09dB,dual/train/signals/NM_BFSK_000_002_+09dB.npy,NM,BFSK,0,6,9,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+12dB,dual/train/signals/NM_BFSK_000_002_+12dB.npy,NM,BFSK,0,6,12,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+15dB,dual/train/signals/NM_BFSK_000_002_+15dB.npy,NM,BFSK,0,6,15,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+18dB,dual/train/signals/NM_BFSK_000_002_+18dB.npy,NM,BFSK,0,6,18,0.3333044566167036,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_-12dB,dual/train/signals/NM_BFSK_000_003_-12dB.npy,NM,BFSK,0,6,-12,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_-09dB,dual/train/signals/NM_BFSK_000_003_-09dB.npy,NM,BFSK,0,6,-9,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_-06dB,dual/train/signals/NM_BFSK_000_003_-06dB.npy,NM,BFSK,0,6,-6,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_-03dB,dual/train/signals/NM_BFSK_000_003_-03dB.npy,NM,BFSK,0,6,-3,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+00dB,dual/train/signals/NM_BFSK_000_003_+00dB.npy,NM,BFSK,0,6,0,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+03dB,dual/train/signals/NM_BFSK_000_003_+03dB.npy,NM,BFSK,0,6,3,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+06dB,dual/train/signals/NM_BFSK_000_003_+06dB.npy,NM,BFSK,0,6,6,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+09dB,dual/train/signals/NM_BFSK_000_003_+09dB.npy,NM,BFSK,0,6,9,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+12dB,dual/train/signals/NM_BFSK_000_003_+12dB.npy,NM,BFSK,0,6,12,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+15dB,dual/train/signals/NM_BFSK_000_003_+15dB.npy,NM,BFSK,0,6,15,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_003_+18dB,dual/train/signals/NM_BFSK_000_003_+18dB.npy,NM,BFSK,0,6,18,0.3046634632378489,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_-12dB,dual/train/signals/NM_BFSK_000_004_-12dB.npy,NM,BFSK,0,6,-12,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_-09dB,dual/train/signals/NM_BFSK_000_004_-09dB.npy,NM,BFSK,0,6,-9,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_-06dB,dual/train/signals/NM_BFSK_000_004_-06dB.npy,NM,BFSK,0,6,-6,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_-03dB,dual/train/signals/NM_BFSK_000_004_-03dB.npy,NM,BFSK,0,6,-3,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+00dB,dual/train/signals/NM_BFSK_000_004_+00dB.npy,NM,BFSK,0,6,0,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+03dB,dual/train/signals/NM_BFSK_000_004_+03dB.npy,NM,BFSK,0,6,3,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+06dB,dual/train/signals/NM_BFSK_000_004_+06dB.npy,NM,BFSK,0,6,6,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+09dB,dual/train/signals/NM_BFSK_000_004_+09dB.npy,NM,BFSK,0,6,9,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+12dB,dual/train/signals/NM_BFSK_000_004_+12dB.npy,NM,BFSK,0,6,12,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+15dB,dual/train/signals/NM_BFSK_000_004_+15dB.npy,NM,BFSK,0,6,15,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_004_+18dB,dual/train/signals/NM_BFSK_000_004_+18dB.npy,NM,BFSK,0,6,18,0.4089023754344786,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_-12dB,dual/train/signals/NM_BFSK_000_005_-12dB.npy,NM,BFSK,0,6,-12,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_-09dB,dual/train/signals/NM_BFSK_000_005_-09dB.npy,NM,BFSK,0,6,-9,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_-06dB,dual/train/signals/NM_BFSK_000_005_-06dB.npy,NM,BFSK,0,6,-6,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_-03dB,dual/train/signals/NM_BFSK_000_005_-03dB.npy,NM,BFSK,0,6,-3,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+00dB,dual/train/signals/NM_BFSK_000_005_+00dB.npy,NM,BFSK,0,6,0,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+03dB,dual/train/signals/NM_BFSK_000_005_+03dB.npy,NM,BFSK,0,6,3,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+06dB,dual/train/signals/NM_BFSK_000_005_+06dB.npy,NM,BFSK,0,6,6,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+09dB,dual/train/signals/NM_BFSK_000_005_+09dB.npy,NM,BFSK,0,6,9,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+12dB,dual/train/signals/NM_BFSK_000_005_+12dB.npy,NM,BFSK,0,6,12,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+15dB,dual/train/signals/NM_BFSK_000_005_+15dB.npy,NM,BFSK,0,6,15,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_005_+18dB,dual/train/signals/NM_BFSK_000_005_+18dB.npy,NM,BFSK,0,6,18,0.3469045444355887,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_-12dB,dual/train/signals/NM_BFSK_000_006_-12dB.npy,NM,BFSK,0,6,-12,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_-09dB,dual/train/signals/NM_BFSK_000_006_-09dB.npy,NM,BFSK,0,6,-9,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_-06dB,dual/train/signals/NM_BFSK_000_006_-06dB.npy,NM,BFSK,0,6,-6,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_-03dB,dual/train/signals/NM_BFSK_000_006_-03dB.npy,NM,BFSK,0,6,-3,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_+00dB,dual/train/signals/NM_BFSK_000_006_+00dB.npy,NM,BFSK,0,6,0,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_+03dB,dual/train/signals/NM_BFSK_000_006_+03dB.npy,NM,BFSK,0,6,3,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_+06dB,dual/train/signals/NM_BFSK_000_006_+06dB.npy,NM,BFSK,0,6,6,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_006_+09dB,dual/train/signals/NM_BFSK_000_006_+09dB.npy,NM,BFSK,0,6,9,0.31781363703980675,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
