signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_EQFM_000_000_-12dB,dual/train/signals/NM_EQFM_000_000_-12dB.npy,NM,EQFM,0,4,-12,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_-09dB,dual/train/signals/NM_EQFM_000_000_-09dB.npy,NM,EQFM,0,4,-9,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_-06dB,dual/train/signals/NM_EQFM_000_000_-06dB.npy,NM,EQFM,0,4,-6,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_-03dB,dual/train/signals/NM_EQFM_000_000_-03dB.npy,NM,EQFM,0,4,-3,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+00dB,dual/train/signals/NM_EQFM_000_000_+00dB.npy,NM,EQFM,0,4,0,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+03dB,dual/train/signals/NM_EQFM_000_000_+03dB.npy,NM,EQFM,0,4,3,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+06dB,dual/train/signals/NM_EQFM_000_000_+06dB.npy,NM,EQFM,0,4,6,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+09dB,dual/train/signals/NM_EQFM_000_000_+09dB.npy,NM,EQFM,0,4,9,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+12dB,dual/train/signals/NM_EQFM_000_000_+12dB.npy,NM,EQFM,0,4,12,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+15dB,dual/train/signals/NM_EQFM_000_000_+15dB.npy,NM,EQFM,0,4,15,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+18dB,dual/train/signals/NM_EQFM_000_000_+18dB.npy,NM,EQFM,0,4,18,0.3516348405635712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-12dB,dual/train/signals/NM_EQFM_000_001_-12dB.npy,NM,EQFM,0,4,-12,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-09dB,dual/train/signals/NM_EQFM_000_001_-09dB.npy,NM,EQFM,0,4,-9,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-06dB,dual/train/signals/NM_EQFM_000_001_-06dB.npy,NM,EQFM,0,4,-6,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-03dB,dual/train/signals/NM_EQFM_000_001_-03dB.npy,NM,EQFM,0,4,-3,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+00dB,dual/train/signals/NM_EQFM_000_001_+00dB.npy,NM,EQFM,0,4,0,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+03dB,dual/train/signals/NM_EQFM_000_001_+03dB.npy,NM,EQFM,0,4,3,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+06dB,dual/train/signals/NM_EQFM_000_001_+06dB.npy,NM,EQFM,0,4,6,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+09dB,dual/train/signals/NM_EQFM_000_001_+09dB.npy,NM,EQFM,0,4,9,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+12dB,dual/train/signals/NM_EQFM_000_001_+12dB.npy,NM,EQFM,0,4,12,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+15dB,dual/train/signals/NM_EQFM_000_001_+15dB.npy,NM,EQFM,0,4,15,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+18dB,dual/train/signals/NM_EQFM_000_001_+18dB.npy,NM,EQFM,0,4,18,0.3958426011426294,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_-12dB,dual/train/signals/NM_EQFM_000_002_-12dB.npy,NM,EQFM,0,4,-12,0.3198583678416712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_-09dB,dual/train/signals/NM_EQFM_000_002_-09dB.npy,NM,EQFM,0,4,-9,0.3198583678416712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_-06dB,dual/train/signals/NM_EQFM_000_002_-06dB.npy,NM,EQFM,0,4,-6,0.3198583678416712,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
