signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_Frank_000_000_-12dB,dual/train/signals/NM_Frank_000_000_-12dB.npy,NM,Frank,0,9,-12,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_-09dB,dual/train/signals/NM_Frank_000_000_-09dB.npy,NM,Frank,0,9,-9,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_-06dB,dual/train/signals/NM_Frank_000_000_-06dB.npy,NM,Frank,0,9,-6,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_-03dB,dual/train/signals/NM_Frank_000_000_-03dB.npy,NM,Frank,0,9,-3,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+00dB,dual/train/signals/NM_Frank_000_000_+00dB.npy,NM,Frank,0,9,0,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+03dB,dual/train/signals/NM_Frank_000_000_+03dB.npy,NM,Frank,0,9,3,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+06dB,dual/train/signals/NM_Frank_000_000_+06dB.npy,NM,Frank,0,9,6,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+09dB,dual/train/signals/NM_Frank_000_000_+09dB.npy,NM,Frank,0,9,9,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+12dB,dual/train/signals/NM_Frank_000_000_+12dB.npy,NM,Frank,0,9,12,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+15dB,dual/train/signals/NM_Frank_000_000_+15dB.npy,NM,Frank,0,9,15,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+18dB,dual/train/signals/NM_Frank_000_000_+18dB.npy,NM,Frank,0,9,18,0.30801898769841873,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-12dB,dual/train/signals/NM_Frank_000_001_-12dB.npy,NM,Frank,0,9,-12,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-09dB,dual/train/signals/NM_Frank_000_001_-09dB.npy,NM,Frank,0,9,-9,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-06dB,dual/train/signals/NM_Frank_000_001_-06dB.npy,NM,Frank,0,9,-6,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-03dB,dual/train/signals/NM_Frank_000_001_-03dB.npy,NM,Frank,0,9,-3,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+00dB,dual/train/signals/NM_Frank_000_001_+00dB.npy,NM,Frank,0,9,0,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+03dB,dual/train/signals/NM_Frank_000_001_+03dB.npy,NM,Frank,0,9,3,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+06dB,dual/train/signals/NM_Frank_000_001_+06dB.npy,NM,Frank,0,9,6,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+09dB,dual/train/signals/NM_Frank_000_001_+09dB.npy,NM,Frank,0,9,9,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+12dB,dual/train/signals/NM_Frank_000_001_+12dB.npy,NM,Frank,0,9,12,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+15dB,dual/train/signals/NM_Frank_000_001_+15dB.npy,NM,Frank,0,9,15,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+18dB,dual/train/signals/NM_Frank_000_001_+18dB.npy,NM,Frank,0,9,18,0.36125882353245203,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-12dB,dual/train/signals/NM_Frank_000_002_-12dB.npy,NM,Frank,0,9,-12,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-09dB,dual/train/signals/NM_Frank_000_002_-09dB.npy,NM,Frank,0,9,-9,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-06dB,dual/train/signals/NM_Frank_000_002_-06dB.npy,NM,Frank,0,9,-6,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-03dB,dual/train/signals/NM_Frank_000_002_-03dB.npy,NM,Frank,0,9,-3,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+00dB,dual/train/signals/NM_Frank_000_002_+00dB.npy,NM,Frank,0,9,0,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+03dB,dual/train/signals/NM_Frank_000_002_+03dB.npy,NM,Frank,0,9,3,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+06dB,dual/train/signals/NM_Frank_000_002_+06dB.npy,NM,Frank,0,9,6,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+09dB,dual/train/signals/NM_Frank_000_002_+09dB.npy,NM,Frank,0,9,9,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+12dB,dual/train/signals/NM_Frank_000_002_+12dB.npy,NM,Frank,0,9,12,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+15dB,dual/train/signals/NM_Frank_000_002_+15dB.npy,NM,Frank,0,9,15,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+18dB,dual/train/signals/NM_Frank_000_002_+18dB.npy,NM,Frank,0,9,18,0.4241208963344453,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-12dB,dual/train/signals/NM_Frank_000_003_-12dB.npy,NM,Frank,0,9,-12,0.38356974794219867,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-09dB,dual/train/signals/NM_Frank_000_003_-09dB.npy,NM,Frank,0,9,-9,0.38356974794219867,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-06dB,dual/train/signals/NM_Frank_000_003_-06dB.npy,NM,Frank,0,9,-6,0.38356974794219867,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-03dB,dual/train/signals/NM_Frank_000_003_-03dB.npy,NM,Frank,0,9,-3,0.38356974794219867,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
