signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_P1_000_000_-12dB,dual/train/signals/NM_P1_000_000_-12dB.npy,NM,P1,0,10,-12,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_-09dB,dual/train/signals/NM_P1_000_000_-09dB.npy,NM,P1,0,10,-9,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_-06dB,dual/train/signals/NM_P1_000_000_-06dB.npy,NM,P1,0,10,-6,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_-03dB,dual/train/signals/NM_P1_000_000_-03dB.npy,NM,P1,0,10,-3,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+00dB,dual/train/signals/NM_P1_000_000_+00dB.npy,NM,P1,0,10,0,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+03dB,dual/train/signals/NM_P1_000_000_+03dB.npy,NM,P1,0,10,3,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+06dB,dual/train/signals/NM_P1_000_000_+06dB.npy,NM,P1,0,10,6,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+09dB,dual/train/signals/NM_P1_000_000_+09dB.npy,NM,P1,0,10,9,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+12dB,dual/train/signals/NM_P1_000_000_+12dB.npy,NM,P1,0,10,12,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+15dB,dual/train/signals/NM_P1_000_000_+15dB.npy,NM,P1,0,10,15,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_000_+18dB,dual/train/signals/NM_P1_000_000_+18dB.npy,NM,P1,0,10,18,0.3895261214877869,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_-12dB,dual/train/signals/NM_P1_000_001_-12dB.npy,NM,P1,0,10,-12,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_-09dB,dual/train/signals/NM_P1_000_001_-09dB.npy,NM,P1,0,10,-9,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_-06dB,dual/train/signals/NM_P1_000_001_-06dB.npy,NM,P1,0,10,-6,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_-03dB,dual/train/signals/NM_P1_000_001_-03dB.npy,NM,P1,0,10,-3,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+00dB,dual/train/signals/NM_P1_000_001_+00dB.npy,NM,P1,0,10,0,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+03dB,dual/train/signals/NM_P1_000_001_+03dB.npy,NM,P1,0,10,3,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+06dB,dual/train/signals/NM_P1_000_001_+06dB.npy,NM,P1,0,10,6,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+09dB,dual/train/signals/NM_P1_000_001_+09dB.npy,NM,P1,0,10,9,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+12dB,dual/train/signals/NM_P1_000_001_+12dB.npy,NM,P1,0,10,12,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+15dB,dual/train/signals/NM_P1_000_001_+15dB.npy,NM,P1,0,10,15,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_001_+18dB,dual/train/signals/NM_P1_000_001_+18dB.npy,NM,P1,0,10,18,0.36415724099809993,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_-12dB,dual/train/signals/NM_P1_000_002_-12dB.npy,NM,P1,0,10,-12,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_-09dB,dual/train/signals/NM_P1_000_002_-09dB.npy,NM,P1,0,10,-9,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_-06dB,dual/train/signals/NM_P1_000_002_-06dB.npy,NM,P1,0,10,-6,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_-03dB,dual/train/signals/NM_P1_000_002_-03dB.npy,NM,P1,0,10,-3,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+00dB,dual/train/signals/NM_P1_000_002_+00dB.npy,NM,P1,0,10,0,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+03dB,dual/train/signals/NM_P1_000_002_+03dB.npy,NM,P1,0,10,3,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+06dB,dual/train/signals/NM_P1_000_002_+06dB.npy,NM,P1,0,10,6,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+09dB,dual/train/signals/NM_P1_000_002_+09dB.npy,NM,P1,0,10,9,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+12dB,dual/train/signals/NM_P1_000_002_+12dB.npy,NM,P1,0,10,12,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+15dB,dual/train/signals/NM_P1_000_002_+15dB.npy,NM,P1,0,10,15,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_002_+18dB,dual/train/signals/NM_P1_000_002_+18dB.npy,NM,P1,0,10,18,0.48769907447895033,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_-12dB,dual/train/signals/NM_P1_000_003_-12dB.npy,NM,P1,0,10,-12,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_-09dB,dual/train/signals/NM_P1_000_003_-09dB.npy,NM,P1,0,10,-9,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_-06dB,dual/train/signals/NM_P1_000_003_-06dB.npy,NM,P1,0,10,-6,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_-03dB,dual/train/signals/NM_P1_000_003_-03dB.npy,NM,P1,0,10,-3,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_+00dB,dual/train/signals/NM_P1_000_003_+00dB.npy,NM,P1,0,10,0,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_+03dB,dual/train/signals/NM_P1_000_003_+03dB.npy,NM,P1,0,10,3,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_+06dB,dual/train/signals/NM_P1_000_003_+06dB.npy,NM,P1,0,10,6,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
NM_P1_000_003_+09dB,dual/train/signals/NM_P1_000_003_+09dB.npy,NM,P1,0,10,9,0.37325752072729035,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
