signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_QFSK_000_000_-12dB,dual/train/signals/NM_QFSK_000_000_-12dB.npy,NM,QFSK,0,7,-12,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-09dB,dual/train/signals/NM_QFSK_000_000_-09dB.npy,NM,QFSK,0,7,-9,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-06dB,dual/train/signals/NM_QFSK_000_000_-06dB.npy,NM,QFSK,0,7,-6,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_-03dB,dual/train/signals/NM_QFSK_000_000_-03dB.npy,NM,QFSK,0,7,-3,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+00dB,dual/train/signals/NM_QFSK_000_000_+00dB.npy,NM,QFSK,0,7,0,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+03dB,dual/train/signals/NM_QFSK_000_000_+03dB.npy,NM,QFSK,0,7,3,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+06dB,dual/train/signals/NM_QFSK_000_000_+06dB.npy,NM,QFSK,0,7,6,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+09dB,dual/train/signals/NM_QFSK_000_000_+09dB.npy,NM,QFSK,0,7,9,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+12dB,dual/train/signals/NM_QFSK_000_000_+12dB.npy,NM,QFSK,0,7,12,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+15dB,dual/train/signals/NM_QFSK_000_000_+15dB.npy,NM,QFSK,0,7,15,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_000_+18dB,dual/train/signals/NM_QFSK_000_000_+18dB.npy,NM,QFSK,0,7,18,0.36858929600004053,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-12dB,dual/train/signals/NM_QFSK_000_001_-12dB.npy,NM,QFSK,0,7,-12,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-09dB,dual/train/signals/NM_QFSK_000_001_-09dB.npy,NM,QFSK,0,7,-9,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-06dB,dual/train/signals/NM_QFSK_000_001_-06dB.npy,NM,QFSK,0,7,-6,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_-03dB,dual/train/signals/NM_QFSK_000_001_-03dB.npy,NM,QFSK,0,7,-3,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+00dB,dual/train/signals/NM_QFSK_000_001_+00dB.npy,NM,QFSK,0,7,0,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+03dB,dual/train/signals/NM_QFSK_000_001_+03dB.npy,NM,QFSK,0,7,3,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+06dB,dual/train/signals/NM_QFSK_000_001_+06dB.npy,NM,QFSK,0,7,6,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+09dB,dual/train/signals/NM_QFSK_000_001_+09dB.npy,NM,QFSK,0,7,9,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+12dB,dual/train/signals/NM_QFSK_000_001_+12dB.npy,NM,QFSK,0,7,12,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+15dB,dual/train/signals/NM_QFSK_000_001_+15dB.npy,NM,QFSK,0,7,15,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_001_+18dB,dual/train/signals/NM_QFSK_000_001_+18dB.npy,NM,QFSK,0,7,18,0.4314977880675003,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_-12dB,dual/train/signals/NM_QFSK_000_002_-12dB.npy,NM,QFSK,0,7,-12,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_-09dB,dual/train/signals/NM_QFSK_000_002_-09dB.npy,NM,QFSK,0,7,-9,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_-06dB,dual/train/signals/NM_QFSK_000_002_-06dB.npy,NM,QFSK,0,7,-6,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_-03dB,dual/train/signals/NM_QFSK_000_002_-03dB.npy,NM,QFSK,0,7,-3,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+00dB,dual/train/signals/NM_QFSK_000_002_+00dB.npy,NM,QFSK,0,7,0,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+03dB,dual/train/signals/NM_QFSK_000_002_+03dB.npy,NM,QFSK,0,7,3,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+06dB,dual/train/signals/NM_QFSK_000_002_+06dB.npy,NM,QFSK,0,7,6,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+09dB,dual/train/signals/NM_QFSK_000_002_+09dB.npy,NM,QFSK,0,7,9,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+12dB,dual/train/signals/NM_QFSK_000_002_+12dB.npy,NM,QFSK,0,7,12,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+15dB,dual/train/signals/NM_QFSK_000_002_+15dB.npy,NM,QFSK,0,7,15,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_002_+18dB,dual/train/signals/NM_QFSK_000_002_+18dB.npy,NM,QFSK,0,7,18,0.27127595158126805,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_-12dB,dual/train/signals/NM_QFSK_000_003_-12dB.npy,NM,QFSK,0,7,-12,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_-09dB,dual/train/signals/NM_QFSK_000_003_-09dB.npy,NM,QFSK,0,7,-9,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_-06dB,dual/train/signals/NM_QFSK_000_003_-06dB.npy,NM,QFSK,0,7,-6,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_-03dB,dual/train/signals/NM_QFSK_000_003_-03dB.npy,NM,QFSK,0,7,-3,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+00dB,dual/train/signals/NM_QFSK_000_003_+00dB.npy,NM,QFSK,0,7,0,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+03dB,dual/train/signals/NM_QFSK_000_003_+03dB.npy,NM,QFSK,0,7,3,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+06dB,dual/train/signals/NM_QFSK_000_003_+06dB.npy,NM,QFSK,0,7,6,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+09dB,dual/train/signals/NM_QFSK_000_003_+09dB.npy,NM,QFSK,0,7,9,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+12dB,dual/train/signals/NM_QFSK_000_003_+12dB.npy,NM,QFSK,0,7,12,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+15dB,dual/train/signals/NM_QFSK_000_003_+15dB.npy,NM,QFSK,0,7,15,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_003_+18dB,dual/train/signals/NM_QFSK_000_003_+18dB.npy,NM,QFSK,0,7,18,0.3999149905563977,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_004_-12dB,dual/train/signals/NM_QFSK_000_004_-12dB.npy,NM,QFSK,0,7,-12,0.48028372917483586,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_004_-09dB,dual/train/signals/NM_QFSK_000_004_-09dB.npy,NM,QFSK,0,7,-9,0.48028372917483586,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_QFSK_000_004_-06dB,dual/train/signals/NM_QFSK_000_004_-06dB.npy,NM,QFSK,0,7,-6,0.48028372917483586,1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
