signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_BPSK_000_000_-12dB,dual/train/signals/SFM_BPSK_000_000_-12dB.npy,SFM,BPSK,5,8,-12,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-09dB,dual/train/signals/SFM_BPSK_000_000_-09dB.npy,SFM,BPSK,5,8,-9,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-06dB,dual/train/signals/SFM_BPSK_000_000_-06dB.npy,SFM,BPSK,5,8,-6,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_-03dB,dual/train/signals/SFM_BPSK_000_000_-03dB.npy,SFM,BPSK,5,8,-3,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+00dB,dual/train/signals/SFM_BPSK_000_000_+00dB.npy,SFM,BPSK,5,8,0,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+03dB,dual/train/signals/SFM_BPSK_000_000_+03dB.npy,SFM,BPSK,5,8,3,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+06dB,dual/train/signals/SFM_BPSK_000_000_+06dB.npy,SFM,BPSK,5,8,6,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+09dB,dual/train/signals/SFM_BPSK_000_000_+09dB.npy,SFM,BPSK,5,8,9,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+12dB,dual/train/signals/SFM_BPSK_000_000_+12dB.npy,SFM,BPSK,5,8,12,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+15dB,dual/train/signals/SFM_BPSK_000_000_+15dB.npy,SFM,BPSK,5,8,15,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_000_+18dB,dual/train/signals/SFM_BPSK_000_000_+18dB.npy,SFM,BPSK,5,8,18,0.3269023554763969,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-12dB,dual/train/signals/SFM_BPSK_000_001_-12dB.npy,SFM,BPSK,5,8,-12,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-09dB,dual/train/signals/SFM_BPSK_000_001_-09dB.npy,SFM,BPSK,5,8,-9,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-06dB,dual/train/signals/SFM_BPSK_000_001_-06dB.npy,SFM,BPSK,5,8,-6,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_-03dB,dual/train/signals/SFM_BPSK_000_001_-03dB.npy,SFM,BPSK,5,8,-3,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+00dB,dual/train/signals/SFM_BPSK_000_001_+00dB.npy,SFM,BPSK,5,8,0,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+03dB,dual/train/signals/SFM_BPSK_000_001_+03dB.npy,SFM,BPSK,5,8,3,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+06dB,dual/train/signals/SFM_BPSK_000_001_+06dB.npy,SFM,BPSK,5,8,6,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+09dB,dual/train/signals/SFM_BPSK_000_001_+09dB.npy,SFM,BPSK,5,8,9,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+12dB,dual/train/signals/SFM_BPSK_000_001_+12dB.npy,SFM,BPSK,5,8,12,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+15dB,dual/train/signals/SFM_BPSK_000_001_+15dB.npy,SFM,BPSK,5,8,15,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_001_+18dB,dual/train/signals/SFM_BPSK_000_001_+18dB.npy,SFM,BPSK,5,8,18,0.4908451388761168,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-12dB,dual/train/signals/SFM_BPSK_000_002_-12dB.npy,SFM,BPSK,5,8,-12,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-09dB,dual/train/signals/SFM_BPSK_000_002_-09dB.npy,SFM,BPSK,5,8,-9,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-06dB,dual/train/signals/SFM_BPSK_000_002_-06dB.npy,SFM,BPSK,5,8,-6,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_-03dB,dual/train/signals/SFM_BPSK_000_002_-03dB.npy,SFM,BPSK,5,8,-3,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+00dB,dual/train/signals/SFM_BPSK_000_002_+00dB.npy,SFM,BPSK,5,8,0,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+03dB,dual/train/signals/SFM_BPSK_000_002_+03dB.npy,SFM,BPSK,5,8,3,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+06dB,dual/train/signals/SFM_BPSK_000_002_+06dB.npy,SFM,BPSK,5,8,6,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+09dB,dual/train/signals/SFM_BPSK_000_002_+09dB.npy,SFM,BPSK,5,8,9,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+12dB,dual/train/signals/SFM_BPSK_000_002_+12dB.npy,SFM,BPSK,5,8,12,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+15dB,dual/train/signals/SFM_BPSK_000_002_+15dB.npy,SFM,BPSK,5,8,15,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_002_+18dB,dual/train/signals/SFM_BPSK_000_002_+18dB.npy,SFM,BPSK,5,8,18,0.2553501287113942,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-12dB,dual/train/signals/SFM_BPSK_000_003_-12dB.npy,SFM,BPSK,5,8,-12,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-09dB,dual/train/signals/SFM_BPSK_000_003_-09dB.npy,SFM,BPSK,5,8,-9,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-06dB,dual/train/signals/SFM_BPSK_000_003_-06dB.npy,SFM,BPSK,5,8,-6,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-03dB,dual/train/signals/SFM_BPSK_000_003_-03dB.npy,SFM,BPSK,5,8,-3,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+00dB,dual/train/signals/SFM_BPSK_000_003_+00dB.npy,SFM,BPSK,5,8,0,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+03dB,dual/train/signals/SFM_BPSK_000_003_+03dB.npy,SFM,BPSK,5,8,3,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+06dB,dual/train/signals/SFM_BPSK_000_003_+06dB.npy,SFM,BPSK,5,8,6,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+09dB,dual/train/signals/SFM_BPSK_000_003_+09dB.npy,SFM,BPSK,5,8,9,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+12dB,dual/train/signals/SFM_BPSK_000_003_+12dB.npy,SFM,BPSK,5,8,12,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+15dB,dual/train/signals/SFM_BPSK_000_003_+15dB.npy,SFM,BPSK,5,8,15,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+18dB,dual/train/signals/SFM_BPSK_000_003_+18dB.npy,SFM,BPSK,5,8,18,0.27338541023424906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-12dB,dual/train/signals/SFM_BPSK_000_004_-12dB.npy,SFM,BPSK,5,8,-12,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-09dB,dual/train/signals/SFM_BPSK_000_004_-09dB.npy,SFM,BPSK,5,8,-9,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-06dB,dual/train/signals/SFM_BPSK_000_004_-06dB.npy,SFM,BPSK,5,8,-6,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-03dB,dual/train/signals/SFM_BPSK_000_004_-03dB.npy,SFM,BPSK,5,8,-3,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+00dB,dual/train/signals/SFM_BPSK_000_004_+00dB.npy,SFM,BPSK,5,8,0,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+03dB,dual/train/signals/SFM_BPSK_000_004_+03dB.npy,SFM,BPSK,5,8,3,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+06dB,dual/train/signals/SFM_BPSK_000_004_+06dB.npy,SFM,BPSK,5,8,6,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+09dB,dual/train/signals/SFM_BPSK_000_004_+09dB.npy,SFM,BPSK,5,8,9,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+12dB,dual/train/signals/SFM_BPSK_000_004_+12dB.npy,SFM,BPSK,5,8,12,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+15dB,dual/train/signals/SFM_BPSK_000_004_+15dB.npy,SFM,BPSK,5,8,15,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+18dB,dual/train/signals/SFM_BPSK_000_004_+18dB.npy,SFM,BPSK,5,8,18,0.2552806819041271,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-12dB,dual/train/signals/SFM_BPSK_000_005_-12dB.npy,SFM,BPSK,5,8,-12,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-09dB,dual/train/signals/SFM_BPSK_000_005_-09dB.npy,SFM,BPSK,5,8,-9,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-06dB,dual/train/signals/SFM_BPSK_000_005_-06dB.npy,SFM,BPSK,5,8,-6,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-03dB,dual/train/signals/SFM_BPSK_000_005_-03dB.npy,SFM,BPSK,5,8,-3,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+00dB,dual/train/signals/SFM_BPSK_000_005_+00dB.npy,SFM,BPSK,5,8,0,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+03dB,dual/train/signals/SFM_BPSK_000_005_+03dB.npy,SFM,BPSK,5,8,3,0.27332630835121074,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
