signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_Frank_000_000_-12dB,dual/train/signals/SFM_Frank_000_000_-12dB.npy,SFM,Frank,5,9,-12,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-09dB,dual/train/signals/SFM_Frank_000_000_-09dB.npy,SFM,Frank,5,9,-9,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-06dB,dual/train/signals/SFM_Frank_000_000_-06dB.npy,SFM,Frank,5,9,-6,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-03dB,dual/train/signals/SFM_Frank_000_000_-03dB.npy,SFM,Frank,5,9,-3,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+00dB,dual/train/signals/SFM_Frank_000_000_+00dB.npy,SFM,Frank,5,9,0,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+03dB,dual/train/signals/SFM_Frank_000_000_+03dB.npy,SFM,Frank,5,9,3,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+06dB,dual/train/signals/SFM_Frank_000_000_+06dB.npy,SFM,Frank,5,9,6,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+09dB,dual/train/signals/SFM_Frank_000_000_+09dB.npy,SFM,Frank,5,9,9,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+12dB,dual/train/signals/SFM_Frank_000_000_+12dB.npy,SFM,Frank,5,9,12,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+15dB,dual/train/signals/SFM_Frank_000_000_+15dB.npy,SFM,Frank,5,9,15,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+18dB,dual/train/signals/SFM_Frank_000_000_+18dB.npy,SFM,Frank,5,9,18,0.4244389675758154,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-12dB,dual/train/signals/SFM_Frank_000_001_-12dB.npy,SFM,Frank,5,9,-12,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-09dB,dual/train/signals/SFM_Frank_000_001_-09dB.npy,SFM,Frank,5,9,-9,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-06dB,dual/train/signals/SFM_Frank_000_001_-06dB.npy,SFM,Frank,5,9,-6,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-03dB,dual/train/signals/SFM_Frank_000_001_-03dB.npy,SFM,Frank,5,9,-3,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+00dB,dual/train/signals/SFM_Frank_000_001_+00dB.npy,SFM,Frank,5,9,0,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+03dB,dual/train/signals/SFM_Frank_000_001_+03dB.npy,SFM,Frank,5,9,3,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+06dB,dual/train/signals/SFM_Frank_000_001_+06dB.npy,SFM,Frank,5,9,6,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+09dB,dual/train/signals/SFM_Frank_000_001_+09dB.npy,SFM,Frank,5,9,9,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+12dB,dual/train/signals/SFM_Frank_000_001_+12dB.npy,SFM,Frank,5,9,12,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+15dB,dual/train/signals/SFM_Frank_000_001_+15dB.npy,SFM,Frank,5,9,15,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_+18dB,dual/train/signals/SFM_Frank_000_001_+18dB.npy,SFM,Frank,5,9,18,0.4675998814375176,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_-12dB,dual/train/signals/SFM_Frank_000_002_-12dB.npy,SFM,Frank,5,9,-12,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_-09dB,dual/train/signals/SFM_Frank_000_002_-09dB.npy,SFM,Frank,5,9,-9,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_-06dB,dual/train/signals/SFM_Frank_000_002_-06dB.npy,SFM,Frank,5,9,-6,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_-03dB,dual/train/signals/SFM_Frank_000_002_-03dB.npy,SFM,Frank,5,9,-3,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+00dB,dual/train/signals/SFM_Frank_000_002_+00dB.npy,SFM,Frank,5,9,0,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+03dB,dual/train/signals/SFM_Frank_000_002_+03dB.npy,SFM,Frank,5,9,3,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+06dB,dual/train/signals/SFM_Frank_000_002_+06dB.npy,SFM,Frank,5,9,6,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+09dB,dual/train/signals/SFM_Frank_000_002_+09dB.npy,SFM,Frank,5,9,9,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+12dB,dual/train/signals/SFM_Frank_000_002_+12dB.npy,SFM,Frank,5,9,12,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+15dB,dual/train/signals/SFM_Frank_000_002_+15dB.npy,SFM,Frank,5,9,15,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_002_+18dB,dual/train/signals/SFM_Frank_000_002_+18dB.npy,SFM,Frank,5,9,18,0.3604369015572422,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_-12dB,dual/train/signals/SFM_Frank_000_003_-12dB.npy,SFM,Frank,5,9,-12,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_-09dB,dual/train/signals/SFM_Frank_000_003_-09dB.npy,SFM,Frank,5,9,-9,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_-06dB,dual/train/signals/SFM_Frank_000_003_-06dB.npy,SFM,Frank,5,9,-6,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_-03dB,dual/train/signals/SFM_Frank_000_003_-03dB.npy,SFM,Frank,5,9,-3,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+00dB,dual/train/signals/SFM_Frank_000_003_+00dB.npy,SFM,Frank,5,9,0,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+03dB,dual/train/signals/SFM_Frank_000_003_+03dB.npy,SFM,Frank,5,9,3,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+06dB,dual/train/signals/SFM_Frank_000_003_+06dB.npy,SFM,Frank,5,9,6,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+09dB,dual/train/signals/SFM_Frank_000_003_+09dB.npy,SFM,Frank,5,9,9,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+12dB,dual/train/signals/SFM_Frank_000_003_+12dB.npy,SFM,Frank,5,9,12,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+15dB,dual/train/signals/SFM_Frank_000_003_+15dB.npy,SFM,Frank,5,9,15,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_003_+18dB,dual/train/signals/SFM_Frank_000_003_+18dB.npy,SFM,Frank,5,9,18,0.28079114167493635,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_-12dB,dual/train/signals/SFM_Frank_000_004_-12dB.npy,SFM,Frank,5,9,-12,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_-09dB,dual/train/signals/SFM_Frank_000_004_-09dB.npy,SFM,Frank,5,9,-9,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_-06dB,dual/train/signals/SFM_Frank_000_004_-06dB.npy,SFM,Frank,5,9,-6,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_-03dB,dual/train/signals/SFM_Frank_000_004_-03dB.npy,SFM,Frank,5,9,-3,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+00dB,dual/train/signals/SFM_Frank_000_004_+00dB.npy,SFM,Frank,5,9,0,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+03dB,dual/train/signals/SFM_Frank_000_004_+03dB.npy,SFM,Frank,5,9,3,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+06dB,dual/train/signals/SFM_Frank_000_004_+06dB.npy,SFM,Frank,5,9,6,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+09dB,dual/train/signals/SFM_Frank_000_004_+09dB.npy,SFM,Frank,5,9,9,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+12dB,dual/train/signals/SFM_Frank_000_004_+12dB.npy,SFM,Frank,5,9,12,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+15dB,dual/train/signals/SFM_Frank_000_004_+15dB.npy,SFM,Frank,5,9,15,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_004_+18dB,dual/train/signals/SFM_Frank_000_004_+18dB.npy,SFM,Frank,5,9,18,0.3860030172369925,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_-12dB,dual/train/signals/SFM_Frank_000_005_-12dB.npy,SFM,Frank,5,9,-12,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_-09dB,dual/train/signals/SFM_Frank_000_005_-09dB.npy,SFM,Frank,5,9,-9,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_-06dB,dual/train/signals/SFM_Frank_000_005_-06dB.npy,SFM,Frank,5,9,-6,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_-03dB,dual/train/signals/SFM_Frank_000_005_-03dB.npy,SFM,Frank,5,9,-3,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+00dB,dual/train/signals/SFM_Frank_000_005_+00dB.npy,SFM,Frank,5,9,0,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+03dB,dual/train/signals/SFM_Frank_000_005_+03dB.npy,SFM,Frank,5,9,3,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+06dB,dual/train/signals/SFM_Frank_000_005_+06dB.npy,SFM,Frank,5,9,6,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+09dB,dual/train/signals/SFM_Frank_000_005_+09dB.npy,SFM,Frank,5,9,9,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+12dB,dual/train/signals/SFM_Frank_000_005_+12dB.npy,SFM,Frank,5,9,12,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+15dB,dual/train/signals/SFM_Frank_000_005_+15dB.npy,SFM,Frank,5,9,15,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_005_+18dB,dual/train/signals/SFM_Frank_000_005_+18dB.npy,SFM,Frank,5,9,18,0.3311429101887765,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_-12dB,dual/train/signals/SFM_Frank_000_006_-12dB.npy,SFM,Frank,5,9,-12,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_-09dB,dual/train/signals/SFM_Frank_000_006_-09dB.npy,SFM,Frank,5,9,-9,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_-06dB,dual/train/signals/SFM_Frank_000_006_-06dB.npy,SFM,Frank,5,9,-6,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_-03dB,dual/train/signals/SFM_Frank_000_006_-03dB.npy,SFM,Frank,5,9,-3,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+00dB,dual/train/signals/SFM_Frank_000_006_+00dB.npy,SFM,Frank,5,9,0,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+03dB,dual/train/signals/SFM_Frank_000_006_+03dB.npy,SFM,Frank,5,9,3,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+06dB,dual/train/signals/SFM_Frank_000_006_+06dB.npy,SFM,Frank,5,9,6,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+09dB,dual/train/signals/SFM_Frank_000_006_+09dB.npy,SFM,Frank,5,9,9,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+12dB,dual/train/signals/SFM_Frank_000_006_+12dB.npy,SFM,Frank,5,9,12,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_006_+15dB,dual/train/signals/SFM_Frank_000_006_+15dB.npy,SFM,Frank,5,9,15,0.27294263248511785,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
