signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_SFM_000_000_-12dB,dual/train/signals/SFM_SFM_000_000_-12dB.npy,SFM,SFM,5,5,-12,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_-09dB,dual/train/signals/SFM_SFM_000_000_-09dB.npy,SFM,SFM,5,5,-9,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_-06dB,dual/train/signals/SFM_SFM_000_000_-06dB.npy,SFM,SFM,5,5,-6,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_-03dB,dual/train/signals/SFM_SFM_000_000_-03dB.npy,SFM,SFM,5,5,-3,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+00dB,dual/train/signals/SFM_SFM_000_000_+00dB.npy,SFM,SFM,5,5,0,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+03dB,dual/train/signals/SFM_SFM_000_000_+03dB.npy,SFM,SFM,5,5,3,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+06dB,dual/train/signals/SFM_SFM_000_000_+06dB.npy,SFM,SFM,5,5,6,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+09dB,dual/train/signals/SFM_SFM_000_000_+09dB.npy,SFM,SFM,5,5,9,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+12dB,dual/train/signals/SFM_SFM_000_000_+12dB.npy,SFM,SFM,5,5,12,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+15dB,dual/train/signals/SFM_SFM_000_000_+15dB.npy,SFM,SFM,5,5,15,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+18dB,dual/train/signals/SFM_SFM_000_000_+18dB.npy,SFM,SFM,5,5,18,0.2684579720901065,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-12dB,dual/train/signals/SFM_SFM_000_001_-12dB.npy,SFM,SFM,5,5,-12,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-09dB,dual/train/signals/SFM_SFM_000_001_-09dB.npy,SFM,SFM,5,5,-9,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-06dB,dual/train/signals/SFM_SFM_000_001_-06dB.npy,SFM,SFM,5,5,-6,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-03dB,dual/train/signals/SFM_SFM_000_001_-03dB.npy,SFM,SFM,5,5,-3,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+00dB,dual/train/signals/SFM_SFM_000_001_+00dB.npy,SFM,SFM,5,5,0,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+03dB,dual/train/signals/SFM_SFM_000_001_+03dB.npy,SFM,SFM,5,5,3,0.33691307862272024,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
