signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
BFSK_0000_-12dB,single/train/signals/BFSK_0000_-12dB.npy,BFSK,6,-12,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_-09dB,single/train/signals/BFSK_0000_-09dB.npy,BFSK,6,-9,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_-06dB,single/train/signals/BFSK_0000_-06dB.npy,BFSK,6,-6,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_-03dB,single/train/signals/BFSK_0000_-03dB.npy,BFSK,6,-3,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+00dB,single/train/signals/BFSK_0000_+00dB.npy,BFSK,6,0,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+03dB,single/train/signals/BFSK_0000_+03dB.npy,BFSK,6,3,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+06dB,single/train/signals/BFSK_0000_+06dB.npy,BFSK,6,6,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+09dB,single/train/signals/BFSK_0000_+09dB.npy,BFSK,6,9,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+12dB,single/train/signals/BFSK_0000_+12dB.npy,BFSK,6,12,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+15dB,single/train/signals/BFSK_0000_+15dB.npy,BFSK,6,15,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+18dB,single/train/signals/BFSK_0000_+18dB.npy,BFSK,6,18,"{'f1': 0.0747682441378521, 'f2': 0.37146113370354117, 'N': np.int64(11), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
