signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
BPSK_0000_-12dB,single/train/signals/BPSK_0000_-12dB.npy,BPSK,8,-12,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_-09dB,single/train/signals/BPSK_0000_-09dB.npy,BPSK,8,-9,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_-06dB,single/train/signals/BPSK_0000_-06dB.npy,BPSK,8,-6,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_-03dB,single/train/signals/BPSK_0000_-03dB.npy,BPSK,8,-3,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+00dB,single/train/signals/BPSK_0000_+00dB.npy,BPSK,8,0,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+03dB,single/train/signals/BPSK_0000_+03dB.npy,BPSK,8,3,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+06dB,single/train/signals/BPSK_0000_+06dB.npy,BPSK,8,6,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+09dB,single/train/signals/BPSK_0000_+09dB.npy,BPSK,8,9,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+12dB,single/train/signals/BPSK_0000_+12dB.npy,BPSK,8,12,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+15dB,single/train/signals/BPSK_0000_+15dB.npy,BPSK,8,15,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+18dB,single/train/signals/BPSK_0000_+18dB.npy,BPSK,8,18,"{'f0': 0.24339001949996103, 'N': np.int64(13), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_-12dB,single/train/signals/BPSK_0001_-12dB.npy,BPSK,8,-12,"{'f0': 0.09679274024692064, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_-09dB,single/train/signals/BPSK_0001_-09dB.npy,BPSK,8,-9,"{'f0': 0.09679274024692064, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_-06dB,single/train/signals/BPSK_0001_-06dB.npy,BPSK,8,-6,"{'f0': 0.09679274024692064, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
