signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
EQFM_0000_-12dB,single/train/signals/EQFM_0000_-12dB.npy,EQFM,4,-12,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-09dB,single/train/signals/EQFM_0000_-09dB.npy,EQFM,4,-9,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-06dB,single/train/signals/EQFM_0000_-06dB.npy,EQFM,4,-6,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-03dB,single/train/signals/EQFM_0000_-03dB.npy,EQFM,4,-3,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+00dB,single/train/signals/EQFM_0000_+00dB.npy,EQFM,4,0,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+03dB,single/train/signals/EQFM_0000_+03dB.npy,EQFM,4,3,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+06dB,single/train/signals/EQFM_0000_+06dB.npy,EQFM,4,6,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+09dB,single/train/signals/EQFM_0000_+09dB.npy,EQFM,4,9,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+12dB,single/train/signals/EQFM_0000_+12dB.npy,EQFM,4,12,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+15dB,single/train/signals/EQFM_0000_+15dB.npy,EQFM,4,15,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+18dB,single/train/signals/EQFM_0000_+18dB.npy,EQFM,4,18,"{'fmin': 0.18054178507828342, 'delta_f': 0.07585409883074377}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-12dB,single/train/signals/EQFM_0001_-12dB.npy,EQFM,4,-12,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-09dB,single/train/signals/EQFM_0001_-09dB.npy,EQFM,4,-9,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-06dB,single/train/signals/EQFM_0001_-06dB.npy,EQFM,4,-6,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-03dB,single/train/signals/EQFM_0001_-03dB.npy,EQFM,4,-3,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+00dB,single/train/signals/EQFM_0001_+00dB.npy,EQFM,4,0,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+03dB,single/train/signals/EQFM_0001_+03dB.npy,EQFM,4,3,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+06dB,single/train/signals/EQFM_0001_+06dB.npy,EQFM,4,6,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+09dB,single/train/signals/EQFM_0001_+09dB.npy,EQFM,4,9,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+12dB,single/train/signals/EQFM_0001_+12dB.npy,EQFM,4,12,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+15dB,single/train/signals/EQFM_0001_+15dB.npy,EQFM,4,15,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+18dB,single/train/signals/EQFM_0001_+18dB.npy,EQFM,4,18,"{'fmin': 0.14827429508318363, 'delta_f': 0.28817157403935917}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_-12dB,single/train/signals/EQFM_0002_-12dB.npy,EQFM,4,-12,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_-09dB,single/train/signals/EQFM_0002_-09dB.npy,EQFM,4,-9,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_-06dB,single/train/signals/EQFM_0002_-06dB.npy,EQFM,4,-6,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_-03dB,single/train/signals/EQFM_0002_-03dB.npy,EQFM,4,-3,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+00dB,single/train/signals/EQFM_0002_+00dB.npy,EQFM,4,0,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+03dB,single/train/signals/EQFM_0002_+03dB.npy,EQFM,4,3,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+06dB,single/train/signals/EQFM_0002_+06dB.npy,EQFM,4,6,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+09dB,single/train/signals/EQFM_0002_+09dB.npy,EQFM,4,9,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+12dB,single/train/signals/EQFM_0002_+12dB.npy,EQFM,4,12,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+15dB,single/train/signals/EQFM_0002_+15dB.npy,EQFM,4,15,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0002_+18dB,single/train/signals/EQFM_0002_+18dB.npy,EQFM,4,18,"{'fmin': 0.3979953672070163, 'delta_f': 0.05257764908082681}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_-12dB,single/train/signals/EQFM_0003_-12dB.npy,EQFM,4,-12,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_-09dB,single/train/signals/EQFM_0003_-09dB.npy,EQFM,4,-9,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_-06dB,single/train/signals/EQFM_0003_-06dB.npy,EQFM,4,-6,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_-03dB,single/train/signals/EQFM_0003_-03dB.npy,EQFM,4,-3,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_+00dB,single/train/signals/EQFM_0003_+00dB.npy,EQFM,4,0,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0003_+03dB,single/train/signals/EQFM_0003_+03dB.npy,EQFM,4,3,"{'fmin': 0.05394814435854878, 'delta_f': 0.20489456009558965}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
