signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
Frank_0000_-12dB,single/train/signals/Frank_0000_-12dB.npy,Frank,9,-12,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_-09dB,single/train/signals/Frank_0000_-09dB.npy,Frank,9,-9,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_-06dB,single/train/signals/Frank_0000_-06dB.npy,Frank,9,-6,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_-03dB,single/train/signals/Frank_0000_-03dB.npy,Frank,9,-3,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+00dB,single/train/signals/Frank_0000_+00dB.npy,Frank,9,0,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+03dB,single/train/signals/Frank_0000_+03dB.npy,Frank,9,3,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+06dB,single/train/signals/Frank_0000_+06dB.npy,Frank,9,6,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+09dB,single/train/signals/Frank_0000_+09dB.npy,Frank,9,9,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+12dB,single/train/signals/Frank_0000_+12dB.npy,Frank,9,12,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+15dB,single/train/signals/Frank_0000_+15dB.npy,Frank,9,15,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+18dB,single/train/signals/Frank_0000_+18dB.npy,Frank,9,18,"{'f0': 0.23436755359912287, 'N': np.int64(6), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-12dB,single/train/signals/Frank_0001_-12dB.npy,Frank,9,-12,"{'f0': 0.26353556848060644, 'N': np.int64(8), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-09dB,single/train/signals/Frank_0001_-09dB.npy,Frank,9,-9,"{'f0': 0.26353556848060644, 'N': np.int64(8), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-06dB,single/train/signals/Frank_0001_-06dB.npy,Frank,9,-6,"{'f0': 0.26353556848060644, 'N': np.int64(8), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-03dB,single/train/signals/Frank_0001_-03dB.npy,Frank,9,-3,"{'f0': 0.26353556848060644, 'N': np.int64(8), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
