signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_BPSK_0000_-12dB,single/train/signals/LFM_BPSK_0000_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-09dB,single/train/signals/LFM_BPSK_0000_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-06dB,single/train/signals/LFM_BPSK_0000_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-03dB,single/train/signals/LFM_BPSK_0000_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+00dB,single/train/signals/LFM_BPSK_0000_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+03dB,single/train/signals/LFM_BPSK_0000_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+06dB,single/train/signals/LFM_BPSK_0000_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+09dB,single/train/signals/LFM_BPSK_0000_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+12dB,single/train/signals/LFM_BPSK_0000_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+15dB,single/train/signals/LFM_BPSK_0000_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+18dB,single/train/signals/LFM_BPSK_0000_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.29649412188342533, 'delta_f': 0.38009424764736216, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-12dB,single/train/signals/LFM_BPSK_0001_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-09dB,single/train/signals/LFM_BPSK_0001_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-06dB,single/train/signals/LFM_BPSK_0001_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-03dB,single/train/signals/LFM_BPSK_0001_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+00dB,single/train/signals/LFM_BPSK_0001_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+03dB,single/train/signals/LFM_BPSK_0001_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+06dB,single/train/signals/LFM_BPSK_0001_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+09dB,single/train/signals/LFM_BPSK_0001_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+12dB,single/train/signals/LFM_BPSK_0001_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+15dB,single/train/signals/LFM_BPSK_0001_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+18dB,single/train/signals/LFM_BPSK_0001_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.06463480179591943, 'delta_f': 0.25258819652257325, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-12dB,single/train/signals/LFM_BPSK_0002_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-09dB,single/train/signals/LFM_BPSK_0002_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-06dB,single/train/signals/LFM_BPSK_0002_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-03dB,single/train/signals/LFM_BPSK_0002_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+00dB,single/train/signals/LFM_BPSK_0002_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+03dB,single/train/signals/LFM_BPSK_0002_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+06dB,single/train/signals/LFM_BPSK_0002_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+09dB,single/train/signals/LFM_BPSK_0002_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+12dB,single/train/signals/LFM_BPSK_0002_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+15dB,single/train/signals/LFM_BPSK_0002_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+18dB,single/train/signals/LFM_BPSK_0002_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.27722378806660697, 'delta_f': 0.07283438889042015, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_-12dB,single/train/signals/LFM_BPSK_0003_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_-09dB,single/train/signals/LFM_BPSK_0003_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_-06dB,single/train/signals/LFM_BPSK_0003_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_-03dB,single/train/signals/LFM_BPSK_0003_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+00dB,single/train/signals/LFM_BPSK_0003_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+03dB,single/train/signals/LFM_BPSK_0003_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+06dB,single/train/signals/LFM_BPSK_0003_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+09dB,single/train/signals/LFM_BPSK_0003_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+12dB,single/train/signals/LFM_BPSK_0003_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+15dB,single/train/signals/LFM_BPSK_0003_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0003_+18dB,single/train/signals/LFM_BPSK_0003_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.09304577405325483, 'delta_f': 0.2104045828843264, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_-12dB,single/train/signals/LFM_BPSK_0004_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_-09dB,single/train/signals/LFM_BPSK_0004_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_-06dB,single/train/signals/LFM_BPSK_0004_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_-03dB,single/train/signals/LFM_BPSK_0004_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+00dB,single/train/signals/LFM_BPSK_0004_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+03dB,single/train/signals/LFM_BPSK_0004_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+06dB,single/train/signals/LFM_BPSK_0004_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+09dB,single/train/signals/LFM_BPSK_0004_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+12dB,single/train/signals/LFM_BPSK_0004_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+15dB,single/train/signals/LFM_BPSK_0004_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0004_+18dB,single/train/signals/LFM_BPSK_0004_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.1485828168289378, 'delta_f': 0.13768985751052992, 'N': np.int64(5)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_-12dB,single/train/signals/LFM_BPSK_0005_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_-09dB,single/train/signals/LFM_BPSK_0005_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_-06dB,single/train/signals/LFM_BPSK_0005_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_-03dB,single/train/signals/LFM_BPSK_0005_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+00dB,single/train/signals/LFM_BPSK_0005_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+03dB,single/train/signals/LFM_BPSK_0005_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+06dB,single/train/signals/LFM_BPSK_0005_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+09dB,single/train/signals/LFM_BPSK_0005_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+12dB,single/train/signals/LFM_BPSK_0005_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+15dB,single/train/signals/LFM_BPSK_0005_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0005_+18dB,single/train/signals/LFM_BPSK_0005_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.4421941182833608, 'delta_f': 0.32906779004812825, 'N': np.int64(13)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_-12dB,single/train/signals/LFM_BPSK_0006_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_-09dB,single/train/signals/LFM_BPSK_0006_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_-06dB,single/train/signals/LFM_BPSK_0006_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_-03dB,single/train/signals/LFM_BPSK_0006_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+00dB,single/train/signals/LFM_BPSK_0006_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+03dB,single/train/signals/LFM_BPSK_0006_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+06dB,single/train/signals/LFM_BPSK_0006_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+09dB,single/train/signals/LFM_BPSK_0006_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+12dB,single/train/signals/LFM_BPSK_0006_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+15dB,single/train/signals/LFM_BPSK_0006_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0006_+18dB,single/train/signals/LFM_BPSK_0006_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.222179537341836, 'delta_f': 0.39047505360908463, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_-12dB,single/train/signals/LFM_BPSK_0007_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_-09dB,single/train/signals/LFM_BPSK_0007_-09dB.npy,LFM_BPSK,14,-9,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_-06dB,single/train/signals/LFM_BPSK_0007_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_-03dB,single/train/signals/LFM_BPSK_0007_-03dB.npy,LFM_BPSK,14,-3,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+00dB,single/train/signals/LFM_BPSK_0007_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+03dB,single/train/signals/LFM_BPSK_0007_+03dB.npy,LFM_BPSK,14,3,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+06dB,single/train/signals/LFM_BPSK_0007_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+09dB,single/train/signals/LFM_BPSK_0007_+09dB.npy,LFM_BPSK,14,9,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+12dB,single/train/signals/LFM_BPSK_0007_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+15dB,single/train/signals/LFM_BPSK_0007_+15dB.npy,LFM_BPSK,14,15,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0007_+18dB,single/train/signals/LFM_BPSK_0007_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.13162321581349296, 'delta_f': 0.24419981919502937, 'N': np.int64(7)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
