signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_0000_-12dB,single/train/signals/LFM_0000_-12dB.npy,LFM,1,-12,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-09dB,single/train/signals/LFM_0000_-09dB.npy,LFM,1,-9,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-06dB,single/train/signals/LFM_0000_-06dB.npy,LFM,1,-6,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-03dB,single/train/signals/LFM_0000_-03dB.npy,LFM,1,-3,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+00dB,single/train/signals/LFM_0000_+00dB.npy,LFM,1,0,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+03dB,single/train/signals/LFM_0000_+03dB.npy,LFM,1,3,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+06dB,single/train/signals/LFM_0000_+06dB.npy,LFM,1,6,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+09dB,single/train/signals/LFM_0000_+09dB.npy,LFM,1,9,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+12dB,single/train/signals/LFM_0000_+12dB.npy,LFM,1,12,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+15dB,single/train/signals/LFM_0000_+15dB.npy,LFM,1,15,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+18dB,single/train/signals/LFM_0000_+18dB.npy,LFM,1,18,"{'f0': 0.13701434752475275, 'delta_f': 0.05348119796124726, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-12dB,single/train/signals/LFM_0001_-12dB.npy,LFM,1,-12,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-09dB,single/train/signals/LFM_0001_-09dB.npy,LFM,1,-9,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-06dB,single/train/signals/LFM_0001_-06dB.npy,LFM,1,-6,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-03dB,single/train/signals/LFM_0001_-03dB.npy,LFM,1,-3,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+00dB,single/train/signals/LFM_0001_+00dB.npy,LFM,1,0,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+03dB,single/train/signals/LFM_0001_+03dB.npy,LFM,1,3,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+06dB,single/train/signals/LFM_0001_+06dB.npy,LFM,1,6,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+09dB,single/train/signals/LFM_0001_+09dB.npy,LFM,1,9,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+12dB,single/train/signals/LFM_0001_+12dB.npy,LFM,1,12,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+15dB,single/train/signals/LFM_0001_+15dB.npy,LFM,1,15,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+18dB,single/train/signals/LFM_0001_+18dB.npy,LFM,1,18,"{'f0': 0.2294392765674018, 'delta_f': 0.3276852364126223, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_-12dB,single/train/signals/LFM_0002_-12dB.npy,LFM,1,-12,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_-09dB,single/train/signals/LFM_0002_-09dB.npy,LFM,1,-9,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_-06dB,single/train/signals/LFM_0002_-06dB.npy,LFM,1,-6,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_-03dB,single/train/signals/LFM_0002_-03dB.npy,LFM,1,-3,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_+00dB,single/train/signals/LFM_0002_+00dB.npy,LFM,1,0,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_+03dB,single/train/signals/LFM_0002_+03dB.npy,LFM,1,3,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0002_+06dB,single/train/signals/LFM_0002_+06dB.npy,LFM,1,6,"{'f0': 0.3415090525590411, 'delta_f': 0.09338789942888157, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
