signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
NM_0000_-12dB,single/train/signals/NM_0000_-12dB.npy,NM,0,-12,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_-09dB,single/train/signals/NM_0000_-09dB.npy,NM,0,-9,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_-06dB,single/train/signals/NM_0000_-06dB.npy,NM,0,-6,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_-03dB,single/train/signals/NM_0000_-03dB.npy,NM,0,-3,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+00dB,single/train/signals/NM_0000_+00dB.npy,NM,0,0,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+03dB,single/train/signals/NM_0000_+03dB.npy,NM,0,3,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+06dB,single/train/signals/NM_0000_+06dB.npy,NM,0,6,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+09dB,single/train/signals/NM_0000_+09dB.npy,NM,0,9,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+12dB,single/train/signals/NM_0000_+12dB.npy,NM,0,12,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+15dB,single/train/signals/NM_0000_+15dB.npy,NM,0,15,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+18dB,single/train/signals/NM_0000_+18dB.npy,NM,0,18,{'f0': 0.386201056507846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-12dB,single/train/signals/NM_0001_-12dB.npy,NM,0,-12,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-09dB,single/train/signals/NM_0001_-09dB.npy,NM,0,-9,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-06dB,single/train/signals/NM_0001_-06dB.npy,NM,0,-6,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-03dB,single/train/signals/NM_0001_-03dB.npy,NM,0,-3,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+00dB,single/train/signals/NM_0001_+00dB.npy,NM,0,0,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+03dB,single/train/signals/NM_0001_+03dB.npy,NM,0,3,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+06dB,single/train/signals/NM_0001_+06dB.npy,NM,0,6,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+09dB,single/train/signals/NM_0001_+09dB.npy,NM,0,9,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+12dB,single/train/signals/NM_0001_+12dB.npy,NM,0,12,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+15dB,single/train/signals/NM_0001_+15dB.npy,NM,0,15,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+18dB,single/train/signals/NM_0001_+18dB.npy,NM,0,18,{'f0': 0.166383373389844},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-12dB,single/train/signals/NM_0002_-12dB.npy,NM,0,-12,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-09dB,single/train/signals/NM_0002_-09dB.npy,NM,0,-9,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-06dB,single/train/signals/NM_0002_-06dB.npy,NM,0,-6,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-03dB,single/train/signals/NM_0002_-03dB.npy,NM,0,-3,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+00dB,single/train/signals/NM_0002_+00dB.npy,NM,0,0,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+03dB,single/train/signals/NM_0002_+03dB.npy,NM,0,3,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+06dB,single/train/signals/NM_0002_+06dB.npy,NM,0,6,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+09dB,single/train/signals/NM_0002_+09dB.npy,NM,0,9,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+12dB,single/train/signals/NM_0002_+12dB.npy,NM,0,12,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+15dB,single/train/signals/NM_0002_+15dB.npy,NM,0,15,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+18dB,single/train/signals/NM_0002_+18dB.npy,NM,0,18,{'f0': 0.3242120735007149},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-12dB,single/train/signals/NM_0003_-12dB.npy,NM,0,-12,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-09dB,single/train/signals/NM_0003_-09dB.npy,NM,0,-9,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-06dB,single/train/signals/NM_0003_-06dB.npy,NM,0,-6,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-03dB,single/train/signals/NM_0003_-03dB.npy,NM,0,-3,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+00dB,single/train/signals/NM_0003_+00dB.npy,NM,0,0,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+03dB,single/train/signals/NM_0003_+03dB.npy,NM,0,3,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+06dB,single/train/signals/NM_0003_+06dB.npy,NM,0,6,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+09dB,single/train/signals/NM_0003_+09dB.npy,NM,0,9,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+12dB,single/train/signals/NM_0003_+12dB.npy,NM,0,12,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+15dB,single/train/signals/NM_0003_+15dB.npy,NM,0,15,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+18dB,single/train/signals/NM_0003_+18dB.npy,NM,0,18,{'f0': 0.1088087602076275},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-12dB,single/train/signals/NM_0004_-12dB.npy,NM,0,-12,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-09dB,single/train/signals/NM_0004_-09dB.npy,NM,0,-9,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-06dB,single/train/signals/NM_0004_-06dB.npy,NM,0,-6,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-03dB,single/train/signals/NM_0004_-03dB.npy,NM,0,-3,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+00dB,single/train/signals/NM_0004_+00dB.npy,NM,0,0,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+03dB,single/train/signals/NM_0004_+03dB.npy,NM,0,3,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+06dB,single/train/signals/NM_0004_+06dB.npy,NM,0,6,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+09dB,single/train/signals/NM_0004_+09dB.npy,NM,0,9,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+12dB,single/train/signals/NM_0004_+12dB.npy,NM,0,12,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+15dB,single/train/signals/NM_0004_+15dB.npy,NM,0,15,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+18dB,single/train/signals/NM_0004_+18dB.npy,NM,0,18,{'f0': 0.1478366693723061},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-12dB,single/train/signals/NM_0005_-12dB.npy,NM,0,-12,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-09dB,single/train/signals/NM_0005_-09dB.npy,NM,0,-9,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-06dB,single/train/signals/NM_0005_-06dB.npy,NM,0,-6,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-03dB,single/train/signals/NM_0005_-03dB.npy,NM,0,-3,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+00dB,single/train/signals/NM_0005_+00dB.npy,NM,0,0,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+03dB,single/train/signals/NM_0005_+03dB.npy,NM,0,3,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+06dB,single/train/signals/NM_0005_+06dB.npy,NM,0,6,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+09dB,single/train/signals/NM_0005_+09dB.npy,NM,0,9,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+12dB,single/train/signals/NM_0005_+12dB.npy,NM,0,12,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+15dB,single/train/signals/NM_0005_+15dB.npy,NM,0,15,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+18dB,single/train/signals/NM_0005_+18dB.npy,NM,0,18,{'f0': 0.12988898413217456},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-12dB,single/train/signals/NM_0006_-12dB.npy,NM,0,-12,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-09dB,single/train/signals/NM_0006_-09dB.npy,NM,0,-9,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-06dB,single/train/signals/NM_0006_-06dB.npy,NM,0,-6,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-03dB,single/train/signals/NM_0006_-03dB.npy,NM,0,-3,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+00dB,single/train/signals/NM_0006_+00dB.npy,NM,0,0,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+03dB,single/train/signals/NM_0006_+03dB.npy,NM,0,3,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+06dB,single/train/signals/NM_0006_+06dB.npy,NM,0,6,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+09dB,single/train/signals/NM_0006_+09dB.npy,NM,0,9,{'f0': 0.24239123404589077},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
