signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
P3_0000_-12dB,single/train/signals/P3_0000_-12dB.npy,P3,12,-12,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_-09dB,single/train/signals/P3_0000_-09dB.npy,P3,12,-9,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_-06dB,single/train/signals/P3_0000_-06dB.npy,P3,12,-6,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_-03dB,single/train/signals/P3_0000_-03dB.npy,P3,12,-3,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+00dB,single/train/signals/P3_0000_+00dB.npy,P3,12,0,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+03dB,single/train/signals/P3_0000_+03dB.npy,P3,12,3,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+06dB,single/train/signals/P3_0000_+06dB.npy,P3,12,6,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+09dB,single/train/signals/P3_0000_+09dB.npy,P3,12,9,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+12dB,single/train/signals/P3_0000_+12dB.npy,P3,12,12,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+15dB,single/train/signals/P3_0000_+15dB.npy,P3,12,15,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0000_+18dB,single/train/signals/P3_0000_+18dB.npy,P3,12,18,"{'f0': 0.17303819288662858, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_-12dB,single/train/signals/P3_0001_-12dB.npy,P3,12,-12,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_-09dB,single/train/signals/P3_0001_-09dB.npy,P3,12,-9,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_-06dB,single/train/signals/P3_0001_-06dB.npy,P3,12,-6,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_-03dB,single/train/signals/P3_0001_-03dB.npy,P3,12,-3,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_+00dB,single/train/signals/P3_0001_+00dB.npy,P3,12,0,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_+03dB,single/train/signals/P3_0001_+03dB.npy,P3,12,3,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_+06dB,single/train/signals/P3_0001_+06dB.npy,P3,12,6,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_+09dB,single/train/signals/P3_0001_+09dB.npy,P3,12,9,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
P3_0001_+12dB,single/train/signals/P3_0001_+12dB.npy,P3,12,12,"{'f0': 0.3570988734153018, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
