signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
SFM_0000_-12dB,single/train/signals/SFM_0000_-12dB.npy,SFM,5,-12,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-09dB,single/train/signals/SFM_0000_-09dB.npy,SFM,5,-9,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-06dB,single/train/signals/SFM_0000_-06dB.npy,SFM,5,-6,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-03dB,single/train/signals/SFM_0000_-03dB.npy,SFM,5,-3,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+00dB,single/train/signals/SFM_0000_+00dB.npy,SFM,5,0,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+03dB,single/train/signals/SFM_0000_+03dB.npy,SFM,5,3,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+06dB,single/train/signals/SFM_0000_+06dB.npy,SFM,5,6,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+09dB,single/train/signals/SFM_0000_+09dB.npy,SFM,5,9,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+12dB,single/train/signals/SFM_0000_+12dB.npy,SFM,5,12,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+15dB,single/train/signals/SFM_0000_+15dB.npy,SFM,5,15,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+18dB,single/train/signals/SFM_0000_+18dB.npy,SFM,5,18,"{'fmin': 0.04047978365790908, 'delta_f': 0.26831680349570447, 'fSFM': 9.210803469546919, 'phiSFM': 0.26343194212078114}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-12dB,single/train/signals/SFM_0001_-12dB.npy,SFM,5,-12,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-09dB,single/train/signals/SFM_0001_-09dB.npy,SFM,5,-9,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-06dB,single/train/signals/SFM_0001_-06dB.npy,SFM,5,-6,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-03dB,single/train/signals/SFM_0001_-03dB.npy,SFM,5,-3,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+00dB,single/train/signals/SFM_0001_+00dB.npy,SFM,5,0,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+03dB,single/train/signals/SFM_0001_+03dB.npy,SFM,5,3,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+06dB,single/train/signals/SFM_0001_+06dB.npy,SFM,5,6,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+09dB,single/train/signals/SFM_0001_+09dB.npy,SFM,5,9,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+12dB,single/train/signals/SFM_0001_+12dB.npy,SFM,5,12,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+15dB,single/train/signals/SFM_0001_+15dB.npy,SFM,5,15,"{'fmin': 0.10644144988491483, 'delta_f': 0.298134824586704, 'fSFM': 6.884778083202699, 'phiSFM': 0.8890561359082357}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
