signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_BFSK_000_000_-12dB,dual/train/signals/BFSK_BFSK_000_000_-12dB.npy,BFSK,BFSK,6,6,-12,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_000_-06dB,dual/train/signals/BFSK_BFSK_000_000_-06dB.npy,BFSK,BFSK,6,6,-6,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_000_+00dB,dual/train/signals/BFSK_BFSK_000_000_+00dB.npy,BFSK,BFSK,6,6,0,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_000_+06dB,dual/train/signals/BFSK_BFSK_000_000_+06dB.npy,BFSK,BFSK,6,6,6,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_000_+12dB,dual/train/signals/BFSK_BFSK_000_000_+12dB.npy,BFSK,BFSK,6,6,12,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_000_+18dB,dual/train/signals/BFSK_BFSK_000_000_+18dB.npy,BFSK,BFSK,6,6,18,0.2741189911939731,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_-12dB,dual/train/signals/BFSK_BFSK_000_001_-12dB.npy,BFSK,BFSK,6,6,-12,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_-06dB,dual/train/signals/BFSK_BFSK_000_001_-06dB.npy,BFSK,BFSK,6,6,-6,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_+00dB,dual/train/signals/BFSK_BFSK_000_001_+00dB.npy,BFSK,BFSK,6,6,0,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_+06dB,dual/train/signals/BFSK_BFSK_000_001_+06dB.npy,BFSK,BFSK,6,6,6,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_+12dB,dual/train/signals/BFSK_BFSK_000_001_+12dB.npy,BFSK,BFSK,6,6,12,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_001_+18dB,dual/train/signals/BFSK_BFSK_000_001_+18dB.npy,BFSK,BFSK,6,6,18,0.32125414093038196,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_002_-12dB,dual/train/signals/BFSK_BFSK_000_002_-12dB.npy,BFSK,BFSK,6,6,-12,0.3592991755469905,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_002_-06dB,dual/train/signals/BFSK_BFSK_000_002_-06dB.npy,BFSK,BFSK,6,6,-6,0.3592991755469905,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_002_+00dB,dual/train/signals/BFSK_BFSK_000_002_+00dB.npy,BFSK,BFSK,6,6,0,0.3592991755469905,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_BFSK_000_002_+06dB,dual/train/signals/BFSK_BFSK_000_002_+06dB.npy,BFSK,BFSK,6,6,6,0.3592991755469905,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
