signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_P1_000_000_-12dB,dual/train/signals/BFSK_P1_000_000_-12dB.npy,BFSK,P1,6,10,-12,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_-06dB,dual/train/signals/BFSK_P1_000_000_-06dB.npy,BFSK,P1,6,10,-6,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+00dB,dual/train/signals/BFSK_P1_000_000_+00dB.npy,BFSK,P1,6,10,0,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+06dB,dual/train/signals/BFSK_P1_000_000_+06dB.npy,BFSK,P1,6,10,6,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+12dB,dual/train/signals/BFSK_P1_000_000_+12dB.npy,BFSK,P1,6,10,12,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_000_+18dB,dual/train/signals/BFSK_P1_000_000_+18dB.npy,BFSK,P1,6,10,18,0.3366564629569909,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-12dB,dual/train/signals/BFSK_P1_000_001_-12dB.npy,BFSK,P1,6,10,-12,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_-06dB,dual/train/signals/BFSK_P1_000_001_-06dB.npy,BFSK,P1,6,10,-6,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+00dB,dual/train/signals/BFSK_P1_000_001_+00dB.npy,BFSK,P1,6,10,0,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+06dB,dual/train/signals/BFSK_P1_000_001_+06dB.npy,BFSK,P1,6,10,6,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+12dB,dual/train/signals/BFSK_P1_000_001_+12dB.npy,BFSK,P1,6,10,12,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_001_+18dB,dual/train/signals/BFSK_P1_000_001_+18dB.npy,BFSK,P1,6,10,18,0.4305173790383883,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-12dB,dual/train/signals/BFSK_P1_000_002_-12dB.npy,BFSK,P1,6,10,-12,0.33068401493446586,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_-06dB,dual/train/signals/BFSK_P1_000_002_-06dB.npy,BFSK,P1,6,10,-6,0.33068401493446586,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
BFSK_P1_000_002_+00dB,dual/train/signals/BFSK_P1_000_002_+00dB.npy,BFSK,P1,6,10,0,0.33068401493446586,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
