signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BFSK_QFSK_000_000_-12dB,dual/train/signals/BFSK_QFSK_000_000_-12dB.npy,BFSK,QFSK,6,7,-12,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_-06dB,dual/train/signals/BFSK_QFSK_000_000_-06dB.npy,BFSK,QFSK,6,7,-6,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+00dB,dual/train/signals/BFSK_QFSK_000_000_+00dB.npy,BFSK,QFSK,6,7,0,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+06dB,dual/train/signals/BFSK_QFSK_000_000_+06dB.npy,BFSK,QFSK,6,7,6,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+12dB,dual/train/signals/BFSK_QFSK_000_000_+12dB.npy,BFSK,QFSK,6,7,12,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_000_+18dB,dual/train/signals/BFSK_QFSK_000_000_+18dB.npy,BFSK,QFSK,6,7,18,0.4529207259292177,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-12dB,dual/train/signals/BFSK_QFSK_000_001_-12dB.npy,BFSK,QFSK,6,7,-12,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_-06dB,dual/train/signals/BFSK_QFSK_000_001_-06dB.npy,BFSK,QFSK,6,7,-6,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+00dB,dual/train/signals/BFSK_QFSK_000_001_+00dB.npy,BFSK,QFSK,6,7,0,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+06dB,dual/train/signals/BFSK_QFSK_000_001_+06dB.npy,BFSK,QFSK,6,7,6,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+12dB,dual/train/signals/BFSK_QFSK_000_001_+12dB.npy,BFSK,QFSK,6,7,12,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_001_+18dB,dual/train/signals/BFSK_QFSK_000_001_+18dB.npy,BFSK,QFSK,6,7,18,0.3226374604165848,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-12dB,dual/train/signals/BFSK_QFSK_000_002_-12dB.npy,BFSK,QFSK,6,7,-12,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_-06dB,dual/train/signals/BFSK_QFSK_000_002_-06dB.npy,BFSK,QFSK,6,7,-6,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+00dB,dual/train/signals/BFSK_QFSK_000_002_+00dB.npy,BFSK,QFSK,6,7,0,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+06dB,dual/train/signals/BFSK_QFSK_000_002_+06dB.npy,BFSK,QFSK,6,7,6,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+12dB,dual/train/signals/BFSK_QFSK_000_002_+12dB.npy,BFSK,QFSK,6,7,12,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_002_+18dB,dual/train/signals/BFSK_QFSK_000_002_+18dB.npy,BFSK,QFSK,6,7,18,0.49984319403343924,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-12dB,dual/train/signals/BFSK_QFSK_000_003_-12dB.npy,BFSK,QFSK,6,7,-12,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_-06dB,dual/train/signals/BFSK_QFSK_000_003_-06dB.npy,BFSK,QFSK,6,7,-6,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+00dB,dual/train/signals/BFSK_QFSK_000_003_+00dB.npy,BFSK,QFSK,6,7,0,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+06dB,dual/train/signals/BFSK_QFSK_000_003_+06dB.npy,BFSK,QFSK,6,7,6,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+12dB,dual/train/signals/BFSK_QFSK_000_003_+12dB.npy,BFSK,QFSK,6,7,12,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_003_+18dB,dual/train/signals/BFSK_QFSK_000_003_+18dB.npy,BFSK,QFSK,6,7,18,0.4866865158119053,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_-12dB,dual/train/signals/BFSK_QFSK_000_004_-12dB.npy,BFSK,QFSK,6,7,-12,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_-06dB,dual/train/signals/BFSK_QFSK_000_004_-06dB.npy,BFSK,QFSK,6,7,-6,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_+00dB,dual/train/signals/BFSK_QFSK_000_004_+00dB.npy,BFSK,QFSK,6,7,0,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_+06dB,dual/train/signals/BFSK_QFSK_000_004_+06dB.npy,BFSK,QFSK,6,7,6,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_+12dB,dual/train/signals/BFSK_QFSK_000_004_+12dB.npy,BFSK,QFSK,6,7,12,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_004_+18dB,dual/train/signals/BFSK_QFSK_000_004_+18dB.npy,BFSK,QFSK,6,7,18,0.2968203739492288,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_-12dB,dual/train/signals/BFSK_QFSK_000_005_-12dB.npy,BFSK,QFSK,6,7,-12,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_-06dB,dual/train/signals/BFSK_QFSK_000_005_-06dB.npy,BFSK,QFSK,6,7,-6,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_+00dB,dual/train/signals/BFSK_QFSK_000_005_+00dB.npy,BFSK,QFSK,6,7,0,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_+06dB,dual/train/signals/BFSK_QFSK_000_005_+06dB.npy,BFSK,QFSK,6,7,6,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_+12dB,dual/train/signals/BFSK_QFSK_000_005_+12dB.npy,BFSK,QFSK,6,7,12,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_005_+18dB,dual/train/signals/BFSK_QFSK_000_005_+18dB.npy,BFSK,QFSK,6,7,18,0.43814243537513103,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_-12dB,dual/train/signals/BFSK_QFSK_000_006_-12dB.npy,BFSK,QFSK,6,7,-12,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_-06dB,dual/train/signals/BFSK_QFSK_000_006_-06dB.npy,BFSK,QFSK,6,7,-6,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_+00dB,dual/train/signals/BFSK_QFSK_000_006_+00dB.npy,BFSK,QFSK,6,7,0,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_+06dB,dual/train/signals/BFSK_QFSK_000_006_+06dB.npy,BFSK,QFSK,6,7,6,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_+12dB,dual/train/signals/BFSK_QFSK_000_006_+12dB.npy,BFSK,QFSK,6,7,12,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_006_+18dB,dual/train/signals/BFSK_QFSK_000_006_+18dB.npy,BFSK,QFSK,6,7,18,0.36917239483350095,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_-12dB,dual/train/signals/BFSK_QFSK_000_007_-12dB.npy,BFSK,QFSK,6,7,-12,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_-06dB,dual/train/signals/BFSK_QFSK_000_007_-06dB.npy,BFSK,QFSK,6,7,-6,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_+00dB,dual/train/signals/BFSK_QFSK_000_007_+00dB.npy,BFSK,QFSK,6,7,0,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_+06dB,dual/train/signals/BFSK_QFSK_000_007_+06dB.npy,BFSK,QFSK,6,7,6,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_+12dB,dual/train/signals/BFSK_QFSK_000_007_+12dB.npy,BFSK,QFSK,6,7,12,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_000_007_+18dB,dual/train/signals/BFSK_QFSK_000_007_+18dB.npy,BFSK,QFSK,6,7,18,0.4134177526653691,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_-12dB,dual/train/signals/BFSK_QFSK_001_000_-12dB.npy,BFSK,QFSK,6,7,-12,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_-06dB,dual/train/signals/BFSK_QFSK_001_000_-06dB.npy,BFSK,QFSK,6,7,-6,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_+00dB,dual/train/signals/BFSK_QFSK_001_000_+00dB.npy,BFSK,QFSK,6,7,0,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_+06dB,dual/train/signals/BFSK_QFSK_001_000_+06dB.npy,BFSK,QFSK,6,7,6,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_+12dB,dual/train/signals/BFSK_QFSK_001_000_+12dB.npy,BFSK,QFSK,6,7,12,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
BFSK_QFSK_001_000_+18dB,dual/train/signals/BFSK_QFSK_001_000_+18dB.npy,BFSK,QFSK,6,7,18,0.2800267241641142,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
