signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BPSK_Frank_000_000_-12dB,dual/train/signals/BPSK_Frank_000_000_-12dB.npy,BPSK,Frank,8,9,-12,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_000_-06dB,dual/train/signals/BPSK_Frank_000_000_-06dB.npy,BPSK,Frank,8,9,-6,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_000_+00dB,dual/train/signals/BPSK_Frank_000_000_+00dB.npy,BPSK,Frank,8,9,0,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_000_+06dB,dual/train/signals/BPSK_Frank_000_000_+06dB.npy,BPSK,Frank,8,9,6,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_000_+12dB,dual/train/signals/BPSK_Frank_000_000_+12dB.npy,BPSK,Frank,8,9,12,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_000_+18dB,dual/train/signals/BPSK_Frank_000_000_+18dB.npy,BPSK,Frank,8,9,18,0.36502736085580134,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_-12dB,dual/train/signals/BPSK_Frank_000_001_-12dB.npy,BPSK,Frank,8,9,-12,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_-06dB,dual/train/signals/BPSK_Frank_000_001_-06dB.npy,BPSK,Frank,8,9,-6,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_+00dB,dual/train/signals/BPSK_Frank_000_001_+00dB.npy,BPSK,Frank,8,9,0,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_+06dB,dual/train/signals/BPSK_Frank_000_001_+06dB.npy,BPSK,Frank,8,9,6,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_+12dB,dual/train/signals/BPSK_Frank_000_001_+12dB.npy,BPSK,Frank,8,9,12,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_001_+18dB,dual/train/signals/BPSK_Frank_000_001_+18dB.npy,BPSK,Frank,8,9,18,0.4834832693680714,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_-12dB,dual/train/signals/BPSK_Frank_000_002_-12dB.npy,BPSK,Frank,8,9,-12,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_-06dB,dual/train/signals/BPSK_Frank_000_002_-06dB.npy,BPSK,Frank,8,9,-6,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_+00dB,dual/train/signals/BPSK_Frank_000_002_+00dB.npy,BPSK,Frank,8,9,0,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_+06dB,dual/train/signals/BPSK_Frank_000_002_+06dB.npy,BPSK,Frank,8,9,6,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_+12dB,dual/train/signals/BPSK_Frank_000_002_+12dB.npy,BPSK,Frank,8,9,12,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_002_+18dB,dual/train/signals/BPSK_Frank_000_002_+18dB.npy,BPSK,Frank,8,9,18,0.3499344232610582,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_-12dB,dual/train/signals/BPSK_Frank_000_003_-12dB.npy,BPSK,Frank,8,9,-12,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_-06dB,dual/train/signals/BPSK_Frank_000_003_-06dB.npy,BPSK,Frank,8,9,-6,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_+00dB,dual/train/signals/BPSK_Frank_000_003_+00dB.npy,BPSK,Frank,8,9,0,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_+06dB,dual/train/signals/BPSK_Frank_000_003_+06dB.npy,BPSK,Frank,8,9,6,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_+12dB,dual/train/signals/BPSK_Frank_000_003_+12dB.npy,BPSK,Frank,8,9,12,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_003_+18dB,dual/train/signals/BPSK_Frank_000_003_+18dB.npy,BPSK,Frank,8,9,18,0.41411044057592694,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_004_-12dB,dual/train/signals/BPSK_Frank_000_004_-12dB.npy,BPSK,Frank,8,9,-12,0.4883191451625498,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_004_-06dB,dual/train/signals/BPSK_Frank_000_004_-06dB.npy,BPSK,Frank,8,9,-6,0.4883191451625498,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_004_+00dB,dual/train/signals/BPSK_Frank_000_004_+00dB.npy,BPSK,Frank,8,9,0,0.4883191451625498,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
BPSK_Frank_000_004_+06dB,dual/train/signals/BPSK_Frank_000_004_+06dB.npy,BPSK,Frank,8,9,6,0.4883191451625498,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
